,"This is a citation overview for a set of 140 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 21 (Of the 140 documents considered for the h-Index, 21 have been cited at least 21 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1063,280,270,550,209,1822
2009,"Microsphere-based tracing and molecular delivery in embryonic stem cells","Tsakiridis A., Alexander L.M., Gennet N., Sanchez-Martin R.M., Livigni A., Li M., Bradley M., Brickman J.M.",01429612,"Biomaterials",30, 29,0,0,0,0,0,0
2009,"Association analysis of the PHOX2B gene with Hirschsprung disease in the Han Chinese population of Southeastern China","Liu C.-P., Li J.-C., Lou J.-T., Xue Y., Luo C.-F., Chen F., Li X., Li M.",00223468,"Journal of Pediatric Surgery",44, 9,0,0,0,0,0,0
2009,"Renal ischemia/reperfusion injury in rats is attenuated by a synthetic glycine derivative","Bi W., Li M., Baudy-Floc'h M., Robinson S.C., Ngerebara N., Bi L., Wang F., Bi Y., Wang T., Xue P., Zhang Y., Gao X., Liu S., Wang Z.",00142999,"European Journal of Pharmacology",616, 1-3,0,0,0,0,0,0
2009,"Comments on serious anaphylaxis caused by nine Chinese herbal injections used to treat common colds and upper respiratory tract infections","Ji K., Chen J., Li M., Liu Z., Xia L., Wang C., Zhan Z., Wu X.",02732300,"Regulatory Toxicology and Pharmacology",, ,0,0,0,0,0,0
2009,"Microspheres as a vehicle for biomolecule delivery to neural stem cells","Gennet N., Alexander L.M., Sanchez-Martin R.M., Behrendt J.M., Sutherland A.J., Brickman J.M., Bradley M., Li M.",18716784,"New Biotechnology",, ,0,0,0,0,0,0
2009,"Effects of cranberry juice on pharmacokinetics of ?-lactam antibiotics following oral administration","Li M., Andrew M.A., Wang J., Salinger D.H., Vicini P., Grady R.W., Phillips B., Shen D.D., Anderson G.D.",00664804,"Antimicrobial Agents and Chemotherapy",53, 7,0,0,0,0,0,0
2009,"Infiltration characteristics of water in forest soils in the Simian mountains, Chongqing City, southwestern China","Wang W., Zhang H., Li M., Cheng J., Wang B.",16733517,"Frontiers of Forestry in China",, ,0,0,0,0,0,0
2009,"Laparoscopic splenectomy: Color Doppler flow imaging for preoperative evaluation","Xu W.-L., Li S.-L., Wang Y., Shi B.-J., Li M., Li Y.-C., Zhong Z.-Y., Li Z.-D.",03666999,"Chinese Medical Journal",122, 10,0,0,0,0,0,0
2009,"Anaphylactic shock and lethal anaphylaxis caused by food consumption in China","Ji K., Chen J., Li M., Liu Z., Wang C., Zhan Z., Wu X., Xia Q.",09242244,"Trends in Food Science and Technology",20, 5,0,0,0,0,0,0
2009,"Granulation process of high shear granulator","He M.-X., Li J., Wang K., Bi Z.-C., Li M.",10059954,"Huaxue Gongcheng/Chemical Engineering (China)",37, 4,0,0,0,0,0,0
2009,"APE1 overexpression is associated with cisplatin resistance in non-small cell lung cancer and targeted inhibition of APE1 enhances the activity of cisplatin in A549 cells","Wang D., Xiang D.-B., Li M.-X., Zhong Z.-Y., Zhang Y.-S.",01695002,"Lung Cancer",, ,0,0,0,0,0,0
2009,"The clinical features and treatment of pediatric intracranial aneurysm","Liang J., Bao Y., Zhang H., Wrede K.H., Zhi X., Li M., Ling F.",02567040,"Child's Nervous System",25, 3,0,0,0,0,0,0
2009,"Preparation and magnetic and ferroelectric properties of CdMnS","Wang H., Li M., Zhou L., Ren K., Guo L., Fu D.",02533219,"He Jishu/Nuclear Techniques",32, 3,0,0,0,0,0,0
2009,"Atomic layer deposition of aluminum oxide on carboxylic acid-terminated self-assembled monolayers","Li M., Dai M., Chabal Y.J.",07437463,"Langmuir",25, 4,0,0,0,0,0,0
2009,"Role of color Doppler flow imaging in applicable anatomy of spleen vessels","Xu W.-L., Wang Y., Li M., Niu A.-G.",10079327,"World Journal of Gastroenterology",15, 5,0,0,0,0,0,0
2009,"""100% of anything looks good"": The appeal of one hundred percent","Li M., Chapman G.B.",10699384,"Psychonomic Bulletin and Review",16, 1,0,0,0,0,0,0
2009,"Food allergen labeling during the 2008 Beijing Olympics and Paralympics and beyond","Li M., Ji K., Liu Z., Wang C., Chen J., Zhan Z., Wu X.",09242244,"Trends in Food Science and Technology",20, 2,0,0,0,0,1,1
2009,"Identification of proteins interacting with interceptive AIF","Fu Y.-R., Yi Z.-J., Li M., Shao L.-J.",10003282,"Progress in Biochemistry and Biophysics",36, 1,0,0,0,0,0,0
2009,"A new strain of Streptomyces avermitilis produces high yield of oligomycin A with potent anti-tumor activity on human cancer cell lines in vitro","Lin X., Wen Y., Li M., Chen Z., Guo J., Song Y., Li J.",01757598,"Applied Microbiology and Biotechnology",81, 5,0,0,0,0,0,0
2009,"Intracellularly expressed granulysin induced apoptosis in hepatoma cells and role of mitochondrial apoptotic pathway","Yi Z., Fu Y., Jin G., Li M., Zhang X., Song W.",00088749,"Cellular Immunology",255, 1-2,0,0,0,0,0,0
2009,"The expression of APE1 and Its correlation with prognostic significance after252Cf radiotherapy in Cervical cancer","Qing Y., Wang D., Lei X., Xiang D.-B., Li M.-X., Li Z.-P., Shan J.I.-L.",1672173X,"Journal of Sichuan University (Medical Science Edition)",40, 1,0,0,0,0,0,0
2008,"A vision based inspection method for wood veneer classification","Li M.-X., Wu C.-D.",,"2008 IEEE International Conference on Robotics, Automation and Mechatronics, RAM 2008",, ,0,0,0,0,0,0
2008,"Effect of superficial temporal artery-middle cerebral artery anastomosis on the cerebral blood flow of ischemic lesions in carotid artery system","Mo D.-P., Duan H.-Z., Li L., Jiao L.-Q., Li M., Ling F., Hua Y.",16725921,"Chinese Journal of Cerebrovascular Diseases",5, 12,0,0,0,0,0,0
2008,"The feedback system of nano-vibration isolation based on tunneling effect","Chen F., Fu X., Li M.-C., Sun F.-M.",0277786X,"Proceedings of SPIE - The International Society for Optical Engineering",7130, ,0,0,0,0,0,0
2008,"An overall construction of smis in chinese enterprises","Liu R., Li M.",,"Proceedings - International Conference on Computer Science and Software Engineering, CSSE 2008",3, ,0,0,0,0,0,0
2008,"Engineering of avermectin biosynthetic genes to improve production of ivermectin in Streptomyces avermitilis","Li M., Chen Z., Lin X., Zhang X., Song Y., Wen Y., Li J.",0960894X,"Bioorganic and Medicinal Chemistry Letters",18, 20,0,0,0,0,0,0
2008,"Relationship between nm23H1 genetic instability and clinical pathological characteristics in Chinese digestive system cancer patients","Yang Y.-Q., Li J.-C., Wu L., Chen J.-X., Sun J.-Z., Li M., Li D.-M., Lu H.-Y., Su Z.-H., Lin X.-Q.",10079327,"World Journal of Gastroenterology",14, 36,0,0,0,0,1,1
2008,"Staphylococcal enterotoxin C injection in combination with ascorbic acid promotes the differentiation of bone marrow-derived mesenchymal stem cells into osteoblasts in vitro","Wan X.-C., Liu C.-P., Li M., Hong D., Li D.-M., Chen H.-X., Li J.-C.",0006291X,"Biochemical and Biophysical Research Communications",373, 4,0,0,0,0,1,1
2008,"Identification of interspecies difference in efflux transporters of hepatocytes from dog, rat, monkey and human","Li M., Lai Y., Yuan H., Li N., Song G., Zheng Y., Baratta M., Hua F., Thurston A., Wang J.",09280987,"European Journal of Pharmaceutical Sciences",35, 1-2,0,0,0,0,4,4
2008,"Targeting truncated APE1 in mitochondria enhances cell survival after oxidative stress","Li M.-X., Wang D., Zhong Z.-Y., Xiang D.-B., Li Z.-P., Xie J.-Y., Yang Z.-Z., Jin F., Qing Y.",08915849,"Free Radical Biology and Medicine",45, 5,0,0,0,0,0,0
2008,"Automobile supervising system based on MMA7260 sensor","Li M., Li G., Zheng Y.",1671024X,"Journal of Tianjin Polytechnic University",27, 4,0,0,0,0,0,0
