,"Author: Libri, Vincenzo",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 10 (Of the 19 documents considered for the h-Index, 10 have been cited at least 10 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,422,39,47,86,44,552
2009,"Interaction of the amyloid imaging tracer FDDNP with hallmark Alzheimer's disease pathologies","Thompson P.W., Ye L., Morgenstern J.L., Sue L., Beach T.G., Judd D.J., Shipley N.J., Libri V., Lockhart A.",00223042,"Journal of Neurochemistry",109, 2,0,0,0,0,3,3
2008,"Voxel-based analysis of11C-PIB scans for diagnosing Alzheimer's disease","Mikhno A., Parsey R.V., Devanand D., Pelton G., Cuasay K., Gunn R., Upton N., Lai R.Y., Libri V., Mann J.J.",01615505,"Journal of Nuclear Medicine",49, 8,0,0,1,1,2,3
2008,"AMPA receptor potentiation can prevent ethanol-induced intoxication","Jones N., Williams S.C.R., Messenger M.J., O'Neill M.J., Oldershaw A., Gilmour G., Simmons R.M.A., Iyengar S., Libri V., Tricklebank M.",0893133X,"Neuropsychopharmacology",33, 7,0,0,0,0,0,0
2008,"In vitro high affinity ?-synuclein binding sites for the amyloid imaging agent PIB are not matched by binding to Lewy bodies in postmortem human brain","Ye L., Lockhart A., Velasco A., Fraser G., Beach T.G., Sue L., Osredkar T., Libri V., Spillantini M.G., Goedert M.",00223042,"Journal of Neurochemistry",105, 4,0,0,4,4,6,10
2007,"PIB is a non-specific imaging marker of amyloid-beta (A?) peptide-related cerebral amyloidosis","Lockhart A., Lamb J.R., Osredkar T., Sue L.I., Joyce J.N., Ye L., Libri V., Leppert D., Beach T.G.",00068950,"Brain",130, 10,0,2,19,21,18,39
2005,"Examining the neural targets of the AMPA receptor potentiator LY404187 in the rat brain using pharmacological magnetic resonance imaging","Jones N., O'Neill M.J., Tricklebank M., Libri V., Williams S.C.R.",00333158,"Psychopharmacology",180, 4,4,6,4,10,0,14
2003,"Effect of the adenosine A1 receptor agonist GR79236 on trigeminal nociception with blink reflex recordings in healthy human subjects","Giffin N.J., Kowacs F., Libri V., Williams P., Goadsby P.J., Kaube H.",03331024,"Cephalalgia",23, 4,20,4,2,6,0,26
2001,"Erratum: Single-nucleotide polymorphism alleles in the insulin receptor gene are associated with typical migraine (Genomics (2001) 78 (135-149))","McCarthy L.C., Lea R.A., Bhatti S.M., Hosking L.K., Hood C.M., Jones K.W., Handley A.R., Rallan R., Lewis K.F., Yeo A.J.M., Williams P.M., Hosford D.A., Priest R.C., Khan P., Donnelly C., Lumsden S.M., O'Sullivan J., Chee G.S., Smart D.H., Shaw-Hawkins S., Patel J., Langrish T.C., Riley J.H., Feniuk W., Knowles R.G., Thomas M., Libri V., Montgomery D.S., Manasco P.K., Xu C.-F., Dykes C., Humphrey P.P.A., Roses A.D., Bird M.I., Purvis I.J., White N.J., Hewett D.R., Peroutka S.J., Griffiths L.R., Boyd P.R.",08887543,"Genomics",79, 2,1,0,0,0,0,1
2001,"Single-nucleotide polymorphism alleles in the insulin receptor gene are associated with typical migraine","McCarthy L.C., Lea R.A., Bhatti S.M., Hosking L.K., Hood C.M., Jones K.W., Handley A.R., Rallan R., Lewis K.F., Yeo A.J.M., Williams P.M., Hosford D.A., Priest R.C., Khan P., Donnelly C., Lumsden S.M., O'Sullivan J., See C.G., Smart D.H., Shaw-Hawkins S., Patel J., Langrish T.C., Riley J.H., Feniuk W., Knowles R.G., Thomas M., Libri V., Montgomery D.S., Manasco P.K., Xu C.-F., Dykes C., Humphrey P.P.A., Roses A.D., Bird M.I., Purvis I.J., White N.J., Hewett D.R., Peroutka S.J., Griffiths L.R., Boyd P.R.",08887543,"Genomics",78, 3,53,11,3,14,4,71
2000,"Investigation of the role of intracellular Ca2+ stores in generation of the muscarinic agonist-induced slow afterdepolarization (sADP) in guinea-pig olfactory cortical neurones in vitro","Postlethwaite M., Constanti A., Libri V.",00071188,"British Journal of Pharmacology",129, 7,3,0,1,1,0,4
1998,"Blockade of GABA(B) receptors facilitates muscarinic agonist-induced epileptiform activity in immature rat piriform cortex in vitro","Libri V., Constanti A., Postlethwaite M., Bowery N.G.",00281298,"Naunyn-Schmiedeberg's Archives of Pharmacology",358, 2,6,0,0,0,0,6
1998,"3,5-Dihydro-4H-2,3-benzodiazepine-4-thiones: A new class of AMPA receptor antagonists","Chimirri A., De Sarro G., De Sarro A., Gitto R., Quartarone S., Zappala M., Constanti A., Libri V.",00222623,"Journal of Medicinal Chemistry",41, 18,32,0,2,2,2,36
1998,"Muscarinic agonist-induced burst firing in immature rat olfactory cortex neurons in vitro","Postlethwaite M., Constanti A., Libri V.",00223077,"Journal of Neurophysiology",79, 4,10,0,0,0,0,10
1997,"1-aryl-3,5-dihydro-4H-2,3-benzodiazepin-4-ones: Novel AMPA receptor antagonists","Chimirri A., Constanti A., Chapman A.G., De Sarro G., De Sarro A., Gitto R., Grasso S., Quartarone S., Zappala M., Giusti P., Libri V.",00222623,"Journal of Medicinal Chemistry",40, 8,62,4,3,7,1,70
1997,"Inhibition of nitric oxide synthase prevents magnesium-free-induced epilleptiform activity in guinea-pig piriform cortex neurones in vitro","Libri V., Santarelli R., Nistico S., Azzena G.B.",00281298,"Naunyn-Schmiedeberg's Archives of Pharmacology",355, 4,5,2,0,2,1,8
1997,"Metabotropic glutamate receptor subtypes mediating slow inward tail current (I(ADP)) induction and inhibition of synaptic transmission in olfactory cortical neurones","Libri V., Constanti A., Zibetti M., Postlethwaite M.",00071188,"British Journal of Pharmacology",120, 6,14,0,1,1,1,16
1996,"Role of GABAB receptor down-regulation in the generation of epileptiform activity in disinhibited rat olfactory cortical neurones","Libri V., Constanti A., Bowery N.G.",10288945,"Pharmacology Reviews and Communications",8, 2-3,1,0,0,0,0,1
1996,"Effects of felbamate on muscarinic and metabotropic-glutamate agonist-mediated responses and magnesium-free or 4-aminopyridine-induced epileptiform activity in guinea pig olfactory cortex neurons in vitro","Libri V., Constanti A., Zibetti M., Nistico S.",00223565,"Journal of Pharmacology and Experimental Therapeutics",277, 3,12,0,0,0,1,13
1996,"Role of GABA(B) receptor down-regulation in the generation of epileptiform activity in disinhibited rat olfactory cortical neurones","Libri V., Constanti A., Bowery N.G.",10604456,"Pharmacology Communications",8, 2-3,1,0,0,0,0,1
1995,"Chronic (-)baclofen or CGP 36742 alters GABA(B) receptor sensitivity in rat brain and spinal cord","Malcangio M., Libri V., Teoh H., Constanti A., Bowery N.G.",09594965,"NeuroReport",6, 2,23,0,2,2,1,26
1994,"Selective blockade of the hyperpolarization-activated cationic current (I(h)) in guinea pig substantia nigra pars compacta neurones by a novel bradycardic agent, Zeneca ZM 227189","Harris N.C., Libri V., Constanti A.",03043940,"Neuroscience Letters",176, 2,8,0,1,1,0,9
1994,"Long-term potentiation of synaptic transmission in rodents: Effects of pramiracetam sulfate","Libri V., Scorsa A.M., Dawe G., Nistico G.",10604456,"Pharmacology Communications",4, 2,2,0,0,0,0,2
