,"Author: Little, Mark P.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 19 (Of the 92 documents considered for the h-Index, 19 have been cited at least 19 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,881,151,150,301,116,1298
2009,"Comments: The non-cancer mortality experience of male workers at British Nuclear Fuels plc, 1946-2005","Little M.P., Tawn E.J., Tzoulaki I., Wakeford R., Hildebrandt G., Tapio S., Elliott P.",03005771,"International Journal of Epidemiology",38, 4,0,0,0,0,0,0
2009,"Heterogeneity of variation of relative risk by age at exposure in the Japanese atomic bomb survivors","Little M.P.",0301634X,"Radiation and Environmental Biophysics",, ,0,0,0,0,0,0
2009,"Risks associated with low doses and low dose rates of ionizing radiation: Why linearity may be (almost) the best we can do","Little M.P., Wakeford R., Tawn E.J., Bouffler S.D., De Gonzalez A.B.",00338419,"Radiology",251, 1,0,0,0,0,3,3
2008,"Leukaemia following childhood radiation exposure in the Japanese atomic bomb survivors and in medically exposed groups","Little M.P.",01448420,"Radiation Protection Dosimetry",132, 2,0,0,0,0,1,1
2008,"Systematic review of worldwide variations of the prevalence of wheezing symptoms in children","Patel S.P., Jarvelin M.-R., Little M.P.",1476069X,"Environmental Health: A Global Access Science Source",7, ,0,0,0,0,1,1
2008,"Erratum to ""A stochastic carcinogenesis model incorporating multiple types of genomic instability fitted to colon cancer data"" [J. Theor. Biol. 254 (2008) 229-238] (DOI:10.1016/j.jtbi.2008.05.027)","Little M.P., Vineis P., Li G.",00225193,"Journal of Theoretical Biology",255, 2,0,0,0,0,0,0
2008,"A stochastic carcinogenesis model incorporating multiple types of genomic instability fitted to colon cancer data","Little M.P., Vineis P., Li G.",00225193,"Journal of Theoretical Biology",254, 2,0,0,0,0,0,0
2008,"New models for evaluation of radiation-induced lifetime cancer risk and its uncertainty employed in the UNSCEAR 2006 report","Little M.P., Hoel D.G., Molitor J., Boice Jr. J.D., Wakeforde R., Muirhead C.R.",00337587,"Radiation Research",169, 6,0,0,0,0,2,2
