,"This is a citation overview for a set of 66 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 28 (Of the 66 documents considered for the h-Index, 28 have been cited at least 28 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2739,383,347,730,267,3736
2009,"Pathophysiological features of asthma develop in parallel in house dust mite-exposed neonatal mice","Saglani S., Mathie S.A., Gregory L.G., Bell M.J., Bush A., Lloyd C.M.",10441549,"American Journal of Respiratory Cell and Molecular Biology",41, 3,0,0,0,0,0,0
2009,"Activin and transforming growth factor-? signaling pathways are activated after allergen challenge in mild asthma","Kariyawasam H.H., Pegorier S., Barkans J., Xanthou G., Aizen M., Ying S., Kay A.B., Lloyd C.M., Robinson D.S.",00916749,"Journal of Allergy and Clinical Immunology",124, 3,0,0,0,0,0,0
2009,"Phosphatidylethanolamine-esterified eicosanoids in the mouse. Tissue localization and inflammation-dependent formation in Th-2 disease","Morgan A.H., Coles B.C., Taylor P.R., Jones S.A., O'Donnell V.B., Dioszeghy V., Maskrey B.H., Thomas C.P., Clark S.R., Mathie S.A., Lloyd C.M., Kuhn H., Topley N.",00219258,"Journal of Biological Chemistry",284, 32,0,0,0,0,0,0
2009,"Activin-A induces regulatory T cells that suppress T helper cell immune responses and protect from allergic airway disease","Semitekolou M., Xanthou G., Alissafi T., Aggelakopoulou M., Kourepini E., Kariyawasam H.H., Kay A.B., Robinson D.S., Lloyd C.M., Panoutsakopoulou V.",00221007,"Journal of Experimental Medicine",206, 8,0,0,0,0,0,0
2009,"Peptide immunotherapy in allergic asthma generates IL-10-dependent immunological tolerance associated with linked epitope suppression","Campbell J.D., Boyton R.J., Cobbold S.P., Kay A.B., Altmann D.M., Lloyd C.M., Larche M., Buckland K.F., McMillan S.J., Kearley J., Oldfield W.L.G., Stern L.J., Gronlund H., Van Hage M., Reynolds C.J.",00221007,"Journal of Experimental Medicine",206, 7,0,0,0,0,0,0
2009,"Resolution of allergic inflammation and airway hyperreactivity is dependent upon disruption of the T1/ST2-IL-33 pathway","Kearley J., Buckland K.F., Mathie S.A., Lloyd C.M.",1073449X,"American Journal of Respiratory and Critical Care Medicine",179, 9,0,0,0,0,0,0
2009,"Dust mites' dirty dealings in the lung","Lloyd C.M.",10788956,"Nature Medicine",15, 4,0,0,0,0,0,0
2008,"Innate responsiveness of CD8 memory T-cell populations nonspecifically inhibits allergic sensitization","Leggat J.A., Gibbons D.L., Haque S.F.Y., Smith A.L., Wells J.W., Choy K., Lloyd C.M., Hayday A.C., Noble A.",00916749,"Journal of Allergy and Clinical Immunology",122, 5,0,0,0,0,5,5
2008,"CD4+CD25+ regulatory T cells reverse established allergic airway inflammation and prevent airway remodeling","Kearley J., Robinson D.S., Lloyd C.M.",00916749,"Journal of Allergy and Clinical Immunology",122, 3,0,0,0,0,7,7
2008,"Elevated CCR6+ CD4+ T lymphocytes in tissue compared with blood and induction of CCL20 during the asthmatic late response","Francis J.N., Sabroe I., Lloyd C.M., Durham S.R., Till S.J.",00099104,"Clinical and Experimental Immunology",152, 3,0,0,0,0,2,2
2008,"Mouse models of rhinovirus-induced disease and exacerbation of allergic airway inflammation","Bartlett N.W., Burnet J., Tuthill T.J., Pedrick M.S., Hurle M.J., Plumpton C., Sharp N.A., Bussell J.N., Swallow D.M., Schwarze J., Guy B., Walton R.P., Almond J.W., Jeffery P.K., Lloyd C.M., Papi A., Killington R.A., Rowlands D.J., Blair E.D., Clarke N.J., Johnston S.L., Edwards M.R., Aniscenko J., Caramori G., Zhu J., Glanville N., Choy K.J., Jourdan P.",10788956,"Nature Medicine",14, 2,0,0,9,9,11,20
2007,"Th2-driven, allergen-induced airway inflammation is reduced after treatment with anti-Tim-3 antibody in vivo","Kearley J., McMillan S.J., Lloyd C.M.",00221007,"Journal of Experimental Medicine",204, 6,0,0,2,2,2,4
2007,"Building better mouse models of asthma","Lloyd C.M.",15297322,"Current Allergy and Asthma Reports",7, 3,0,0,2,2,4,6
