,"Authors: Low-Beer, Naomi; Low-beer, Naomi",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 3 (Of the 7 documents considered for the h-Index, 3 have been cited at least 3 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,44,2,3,5,12,61
2008,"Adapting and implementing PACES as a tool for undergraduate assessment","Low-Beer N., Lupton M., Warner J., Booton P., Blair M., Serrano A.A., Higham J.",17434971,"Clinical Teacher",5, 4,0,0,0,0,0,0
2008,"British HIV association and children's HIV association guidelines for the management of HIV infection in pregnant women 2008","de Ruiter A., Lyall H., O'shea S., Penn Z., Short J., Smith R., Sonecha S., Tookey P., Wood C., Taylor G., Mercey D., Anderson J., Chakraborty R., Clayden P., Foster G., Gilling-Smith C., Hawkins D., Low-beer N.",14642662,"HIV Medicine",9, 7,0,0,1,1,8,9
2005,"A dose-ranging phase I study of dextrin sulphate, a vaginal microbicide, in HIV-negative and HIV-positive female volunteers","McCormack S., Jespers V., Low-Beer N., Gabe R., Kaganson N., Chapman A., Nunn A., Lacey C., Van Damme L.",01485717,"Sexually Transmitted Diseases",32, 12,2,0,0,0,1,3
2004,"The CONRAD/WHO update 2000 colposcopy manual: How well is it working?","Njoroge B., Chirenje Z.M., Pandey B., Mirembe F., Joshi S., Low-Beer N., Maslankowski L.A., Mauck C.",15254135,"Journal of Acquired Immune Deficiency Syndromes",37, 3,2,0,1,1,0,3
2004,"The role of biopsy in vaginal microbicide development","Low-Beer N.",15254135,"Journal of Acquired Immune Deficiency Syndromes",37, 3,2,0,0,0,0,2
2002,"Dextrin sulfate as a vaginal microbicide: Randomized, double-blind, placebo-controlled trial including healthy female volunteers and their male partners","Low-Beer N., Gabe R., McCormack S., Kitchen V.S., Lacey C.J., Nunn A.J.",15254135,"Journal of Acquired Immune Deficiency Syndromes",31, 4,18,1,1,2,1,21
2001,"Antiretroviral therapy in pregnancy: A focus on safety","Taylor G.P., Low-Beer N.",01145916,"Drug Safety",24, 9,20,1,0,1,2,23
