,"This is a citation overview for a set of 12 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 8 (Of the 12 documents considered for the h-Index, 8 have been cited at least 8 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,114,107,123,35,265,0,379
2009,"The nervous heart: A case report and discussion of an under-recognized clinical problem","Agarwal S., Lyon A., Nachev P., Everitt A.",14602725,"QJM",102, 11,0,0,0,0,0,0,0
2009,"Loss of T-tubules and other changes to surface topography in ventricular myocytes from failing human and rat heart","Lyon A.R., MacLeod K.T., Zhang Y., Garcia E., Kanda G.K., Lab M.J., Korchev Y.E., Harding S.E., Gorelik J.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",106, 16,1,11,14,9,34,0,35
2008,"Cardiac stem cell therapy and arrhythmogenicity: prometheus and the arrows of Apollo and Artemis.","Lyon A.R., Harding S.E., Peters N.S.",19375395,"Journal of cardiovascular translational research",1, 3,0,0,0,0,0,0,0
2008,"Myocardial tissue engineering","Jawad H., Lyon A.R., Harding S.E., Ali N.N., Boccaccini A.R.",00071420,"British Medical Bulletin",87, 1,8,11,9,3,23,0,31
2008,"Arrhythmia mechanisms in the failing heart","Jin H., Lyon A.R., Akar F.G.",01478389,"PACE - Pacing and Clinical Electrophysiology",31, 8,2,10,4,1,15,0,17
2008,"Biomaterials in cardiac tissue engineering: Ten years of research survey","Chen Q.-Z., Harding S.E., Ali N.N., Lyon A.R., Boccaccini A.R.",0927796X,"Materials Science and Engineering R: Reports",59, 1-6,7,14,17,7,38,0,45
2008,"Gene therapy: Targeting the myocardium","Lyon A.R., Sato M., Hajjar R.J., Samulski R.J., Harding S.E.",13556037,"Heart",94, 1,14,10,15,0,25,0,39
2008,"Stress (Takotsubo) cardiomyopathy - A novel pathophysiological hypothesis to explain catecholamine-induced acute myocardial stunning","Lyon A.R., Rees P.S.C., Prasad S., Poole-Wilson P.A., Harding S.E.",17434297,"Nature Clinical Practice Cardiovascular Medicine",5, 1,51,35,42,9,86,0,137
2007,"Myocardial tissue engineering: a review.","Jawad H., Ali N.N., Lyon A.R., Chen Q.Z., Harding S.E., Boccaccini A.R.",19326254,"Journal of tissue engineering and regenerative medicine",1, 5,17,15,20,6,41,0,58
2007,"The potential of cardiac stem cell therapy for heart failure","Lyon A., Harding S.",14714892,"Current Opinion in Pharmacology",7, 2,12,1,2,0,3,0,15
2006,"A commentary on clinical trials in chronic heart failure","Poole-Wilson P.A., Lyon A.R., Jacques A.M.",10892532,"Seminars in Cardiothoracic and Vascular Anesthesia",10, 3,0,0,0,0,0,0,0
2006,"Treatment of angina: A commentary on new therapeutic approaches","Poole-Wilson P.A., Jacques A., Lyon A.",1520765X,"European Heart Journal, Supplement",8, ,2,0,0,0,0,0,2
