,"Authors: Magee, Tony; Magee, Anthony I.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 21 (Of the 57 documents considered for the h-Index, 21 have been cited at least 21 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,4028,316,290,606,200,4834
2009,"Overexpression of the transcription factor Hand1 causes predisposition towards arrhythmia in mice","Breckenridge R.A., Birks E.J., Barton P.J.R., Tinker A., Mohun T.J., Zuberi Z., Gomes J., Orford R., Dupays L., Felkin L.E., Clark J.E., Magee A.I., Ehler E.",00222828,"Journal of Molecular and Cellular Cardiology",47, 1,0,0,0,0,1,1
2009,"Analysis of protein acylation","Zeidman R., Jackson C.S., Magee A.I.",19343655,"Current Protocols in Protein Science",, 55,0,0,0,0,0,0
2009,"Foreword: Protein acylation and microdomains in membrane function","Magee A.I.",09687688,"Molecular Membrane Biology",26, 1-2,0,0,0,0,0,0
2009,"Protein acyl thioesterases (Review)","Zeidman R., Jackson C.S., Magee A.I.",09687688,"Molecular Membrane Biology",26, 1-2,0,0,0,0,0,0
2009,"Acyltransferases for secreted signalling proteins (Review)","Chang S.-C., Magee A.I.",09687688,"Molecular Membrane Biology",26, 1-2,0,0,0,0,0,0
2009,"Molecular Membrane Biology: Editorial","Magee A.I.",09687688,"Molecular Membrane Biology",26, 1-2,0,0,0,0,0,0
2008,"The Salmonella SPI-2 effector SseJ exhibits eukaryotic activator-dependent phospholipase A and glycerophospholipid: Cholesterol acyltransferase activity","Lossi N.S., Rolhion N., Magee A.I., Boyle C., Holden D.W.",13500872,"Microbiology",154, 9,0,0,1,1,2,3
2008,"A compact, multidimensional spectrofluorometer exploiting supercontinuum generation.","Manning H.B., Kennedy G.T., Owen D.M., Grant D.M., Magee A.I., Neil M.A., Itoh Y., Dunsby C., French P.M.",18640648,"Journal of biophotonics",1, 6,0,0,0,0,0,0
2008,"CD1a and MHC class I follow a similar endocytic recycling pathway","Barral D.C., Cavallari M., McCormick P.J., Garg S., Magee A.I., Bonifacino J.S., De Libero G., Brenner M.B.",13989219,"Traffic",9, 9,0,0,0,0,6,6
2007,"High speed optically sectioned fluorescence lifetime imaging permits study of live cell signaling events","Grant D.M., Lanigan P.M.P., Kennedy G.T., Dunsby C., Magee A.I., Courtney P., Katan M., Neil M.A.A., French P.M.W., McGinty J., McGhee E.J., Bunney T.D., Owen D.M., Talbot C.B., Zhang W., Kumar S., Munro I.",10944087,"Optics Express",15, 24,0,0,2,2,4,6
2007,"Applications of rapid time-gated hyperspectral FLIM: Live cell imaging of membrane order and 6-D microscopy","Manning H.B., Neil M.A.A., French P.M.W., Owen D.M., Auksorius E., De Beule P.A.A., Oddos S., Talbot C.B., Dunsby C., Munro I., Magee A.I.",16057422,"Progress in Biomedical Optics and Imaging - Proceedings of SPIE",6630, ,0,0,0,0,0,0
2007,"Sorafenib functions to potently suppress RET tyrosine kinase activity by direct enzymatic inhibition and promoting RET lysosomal degradation independent of proteasomal targeting","Plaza-Menacho I., Mologni L., Sala E., Gambacorti-Passerini C., Magee A.I., Links T.P., Hofstra R.M.W., Barford D., Isacke C.M.",00219258,"Journal of Biological Chemistry",282, 40,0,1,1,2,7,9
2007,"Optical techniques for imaging membrane lipid microdomains in living cells","Owen D.M., Neil M.A.A., French P.M.W., Magee A.I.",10849521,"Seminars in Cell and Developmental Biology",18, 5,0,0,1,1,5,6
2007,"Editorial","Magee T.",10849521,"Seminars in Cell and Developmental Biology",18, 5,0,0,0,0,0,0
2007,"Ras/ERK1/2-mediated STAT3 Ser727 phosphorylation by familial medullary thyroid carcinoma-associated RET mutants induces full activation of STAT3 and is required for c-fos promoter activation, cell mitogenicity, and transformation","Plaza-Menacho I., Van Der Sluis T., Hollema H., Gimm O., Buys C.H.C.M., Magee A.I., Isacke C.M., Hofstra R.M.W., Eggen B.J.L.",00219258,"Journal of Biological Chemistry",282, 9,0,3,4,7,4,11
2007,"Rab GTPases containing a CAAX motif are processed post-geranylgeranylation by proteolysis and methylation","Ka F.L., Baron R., Ali B.R., Magee A.I., Seabra M.C.",00219258,"Journal of Biological Chemistry",282, 2,0,4,6,10,1,11
2006,"Single-molecule diffusion reveals similar mobility for the Lck, H-Ras, and K-Ras membrane anchors","Lommerse P.H.M., Vastenhoud K., Pirinen N.J., Magee A.I., Spaink H.P., Schmidt T.",00063495,"Biophysical Journal",91, 3,0,3,2,5,4,9
