,"This is a citation overview for a set of 85 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 19 (Of the 85 documents considered for the h-Index, 19 have been cited at least 19 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1271,140,123,263,87,1621
2009,"Establishment of an outpatient and home parenteral antimicrobial therapy service at a London teaching hospital: A case series","Hitchcock J., Jepson A.P., Main J., Wickens H.J.",03057453,"Journal of Antimicrobial Chemotherapy",64, 3,0,0,0,0,0,0
2009,"Delayed anti-HCV antibody response in HIV-positive men acutely infected with HCV","Thomson E.C., Nastouli E., Main J., Karayiannis P., Eliahoo J., Muir D., McClure M.O.",02699370,"AIDS",23, 1,0,0,0,0,1,1
2009,"Diagnosing acute hepatitis C in HIV-infected patients: Nucleic acid testing compared with antibody and antigen-antibody detecting methods","Nastouli E., Thomson E.C., Karayiannis P., Main J., McClure M., Muir D.",13866532,"Journal of Clinical Virology",44, 1,0,0,0,0,1,1
2008,"NICE guidelines and a treatment algorithm for the management of chronic hepatitis B: A review of 12 years experience in west London","Kennedy P.T.F., Smith B., Brown A., Thomas H.C., Lee H.C., Jeyalingam L., Malik R., Karayiannis P., Muir D., Main J., Thursz M., Goldin R.",13596535,"Antiviral Therapy",13, 8,0,0,0,0,0,0
2008,"Epidemiology of hepatitis C virus infection in HIV-infected individuals","Thomson E.C., Main J.",13520504,"Journal of Viral Hepatitis",15, 11,0,0,0,0,0,0
2008,"Hepatic steatosis in HIV/HCV co-infected patients: Correlates, efficacy and outcomes of anti-HCV therapy: A paired liver biopsy study","Rodriguez-Torres M., Dieterich D.T., Govindarajan S., Sola R., Clumeck N., Lissen E., Pessoa M., Buggisch P., Main J., DePamphilis J.",01688278,"Journal of Hepatology",48, 5,0,0,2,2,5,7
2008,"Gene expression subtypes in patients with chronic fatigue syndrome/myalgic encephalomyelitis","Kerr J.R., Baldwin D.A., Kellam P., Harrison T.J., Griffin G.E., Main J., Enlander D., Nutt D.J., Holgate S.T., Petty R., Burke B., Gough J., Fear D., Sinclair L.I., Mattey D.L., Richards S.C.M., Montgomery J.",00221899,"Journal of Infectious Diseases",197, 8,0,0,4,4,3,7
2008,"HIV and hepatitis B co-infection in Africa","Lessells R.J., Main J., Cooke G.S.",14733099,"The Lancet Infectious Diseases",8, 4,0,0,0,0,1,1
2008,"Antibiotic-resistant Campylobacter: An increasing problem","Kent A.J., Farouk L., Main J., Hoare J.M.",00325473,"Postgraduate Medical Journal",84, 988,0,0,0,0,0,0
