,"This is a citation overview for a set of 372 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 69 (Of the 372 documents considered for the h-Index, 69 have been cited at least 69 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,17708,1845,1703,3548,1033,22289
2009,"Radiographic changes in rheumatoid arthritis patients attaining different disease activity states with methotrexate monotherapy and infliximab plus methotrexate: The impacts of remission and tumour necrosis factor blockade","Smolen J.S., Baker D., Han J., Bala M., St Clair E.W., Han C., Van Der Heijde D.M.F.M., Emery P., Bathon J.M., Keystone E., Maini R.N., Kalden J.R., Aletaha D.",00034967,"Annals of the Rheumatic Diseases",68, 6,0,0,0,0,0,0
2008,"Fatal cerebral toxoplasmosis in a heavily immune suppresed patient with waldentrom's disease","Maini R., Patil K.V., Rainey M.G., De Villiers F., Ames P.R.J.",00369330,"Scottish Medical Journal",53, 4,0,0,0,0,0,0
2008,"Introducing Arthritis research & therapy's 10th anniversary issue, 'The Scientific Basis of Rheumatology: A Decade of Progress'","Hrynaszkiewicz I., Lipsky P.E., Maini R.N.",14786354,"Arthritis Research and Therapy",10, 5,0,0,0,0,0,0
2008,"Treatment of rheumatoid arthritis with chimeric monoclonal antibodies to tumor necrosis factor alpha.","Elliot M.J., Woody J.N., Maini R.N., Feldmann M., Long-Fox A., Charles P., Katasikis P., Brennan F.M., Bijl H., Ghrayeb J.",00043591,"Arthritis and rheumatism",58, 2,0,0,0,0,0,0
2007,"The pitfalls in the development of biologic therapy","Maini R.N., Feldmann M.",17458382,"Nature Clinical Practice Rheumatology",3, 1,0,0,2,2,0,2
2006,"Double-blind randomized controlled clinical trial of the interleukin-6 receptor antagonist, tocilizumab, in European patients with rheumatoid arthritis who had an incomplete response to methotrexate","Maini R.N., Smolen J., Thomson D., Kishimoto T., Taylor P.C., Szechinski J., Pavelka K., Broll J., Balint G., Emery P., Raemen F., Petersen J.",00043591,"Arthritis and Rheumatism",54, 9,0,39,64,103,34,137
2006,"Interleukin-6: A new therapeutic target","Smolen J.S., Maini R.N.",14786354,"Arthritis Research and Therapy",8, 2,0,7,12,19,9,28
