,"This is a citation overview for a set of 75 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 24 (Of the 75 documents considered for the h-Index, 24 have been cited at least 24 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1221,319,264,73,656,0,1877
2009,"Bacterial contamination of pediatric whole blood transfusions in a Kenyan hospital","Hassall O., Maitland K., Pole L., Mwarumba S., Denje D., Wambua K., Lowe B., Parry C., Mandaliya K., Bates I.",00411132,"Transfusion",49, 12,0,3,1,2,6,0,6
2009,"HIV infection, malnutrition, and invasive bacterial infection among children with severe malaria","Berkley J.A., Fegan G., Lowe B.S., English M., Peshu N., Marsh K., Newton C.R.J.C., Bejon P., Mwangi T., Gwer S., Maitland K., Williams T.N., Mohammed S., Osier F., Kinyanjui S.",10584838,"Clinical Infectious Diseases",49, 3,0,7,9,6,22,0,22
2009,"Symposium 5: Joint BAPEN and Nutrition Society Symposium on Feeding size 0: The science of starvation Severe malnutrition: Therapeutic challenges and treatment of hypovolaemic shock","Maitland K.",00296651,"Proceedings of the Nutrition Society",68, 3,0,0,1,0,1,0,1
2009,"Hypothermia in children with severe malnutrition: Low prevalence on the tropical coast of Kenya","Talbert A., Atkinson S., Karisa J., Ignas J., Chesaro C., Maitland K.",01426338,"Journal of Tropical Pediatrics",55, 6,0,0,0,0,0,0,0
2009,"Emergency triage assessment for hypoxaemia in neonates and young children in a Kenyan hospital: An observational study","Mwaniki M.K., Nokes D.J., Ignas J., Munywoki P., Ngama M., Newton C.R.J.C., Maitland K., Berkley J.A.",00429686,"Bulletin of the World Health Organization",87, 4,0,4,6,0,10,0,10
2009,"Characteristics and outcome of cardiopulmonary resuscitation in hospitalised African children","Olotu A., Ndiritu M., Ismael M., Mohammed S., Mithwani S., Maitland K., Newton C.R.J.C.",03009572,"Resuscitation",80, 1,1,0,1,0,1,0,2
