,"This is a citation overview for a set of 14 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 11 (Of the 14 documents considered for the h-Index, 11 have been cited at least 11 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,466,108,131,58,297,0,763
2009,"No neglect-specific deficits in reaching tasks","Rossit S., Learmonth G., Harvey M., Malhotra P., Muir K., Reeves I., Duncan G., Livingstone K., Jackson H., Hogg C., Castle P.",10473211,"Cerebral Cortex",19, 11,0,2,2,3,7,0,7
2009,"The neural basis of visuomotor deficits in hemispatial neglect","Rossit S., Malhotra P., Muir K., Reeves I., Duncan G., Birschel P., Harvey M.",00283932,"Neuropsychologia",47, 10,0,2,2,4,8,0,8
2009,"Role of right posterior parietal cortex in maintaining attention to spatial locations over time","Malhotra P., Coulthard E.J., Husain M.",00068950,"Brain",132, 3,2,6,14,5,25,0,27
2006,"Visual neglect after right posterior cerebral artery infarction","Bird C.M., Malhotra P., Parton A., Coulthard E., Rushworth M.F.S., Husain M.",00223050,"Journal of Neurology, Neurosurgery and Psychiatry",77, 9,14,8,7,4,19,0,33
2006,"Space re-exploration in hemispatial neglect","Parton A., Malhotra P., Nachev P., Ames D., Ball J., Chataway J., Husain M.",09594965,"NeuroReport",17, 8,10,2,2,2,6,0,16
2006,"Hemispatial neglect, balance and eye-movement control","Malhotra P., Coulthard E., Husain M.",13507540,"Current Opinion in Neurology",19, 1,7,2,1,0,3,0,10
2006,"Noradrenergic modulation of space exploration in visual neglect","Malhotra P.A., Parton A.D., Greenwood R., Husain M.",03645134,"Annals of Neurology",59, 1,21,5,5,2,12,0,33
2005,"Priming of color and position during visual search in unilateral spatial neglect","Kristjansson A., Vuilleumier P., Malhotra P., Husain M., Driver J.",0898929X,"Journal of Cognitive Neuroscience",17, 6,29,9,6,5,20,0,49
2005,"Spatial working memory capacity in unilateral neglect","Malhotra P., Jager H.R., Parton A., Greenwood R., Playford E.D., Brown M.M., Driver J., Husain M.",00068950,"Brain",128, 2,58,7,9,3,19,0,77
2004,"Attention modulates the visual field in healthy observers and parietal patients","Russell C., Malhotra P., Husain M.",09594965,"NeuroReport",15, 14,14,1,4,0,5,0,19
2004,"Impaired spatial working memory: One component of the visual neglect syndrome?","Malhotra P., Mannan S., Driver J., Husain M.",00109452,"Cortex",40, 4-5,23,2,3,2,7,0,30
2004,"Hemispatial neglect","Parton A., Malhotra P., Husain M.",00223050,"Journal of Neurology, Neurosurgery and Psychiatry",75, 1,46,7,2,3,12,0,58
2003,"The anatomy of visual neglect","Mort D.J., Malhotra P., Mannan S.K., Rorden C., Pambakian A., Kennard C., Husain M.",00068950,"Brain",126, 9,204,45,66,22,133,0,337
2003,"Prism adaptation can improve contralesional tactile perception in neglect","Maravita A., McNeil J., Malhotra P., Greenwood R., Husain M., Driver J.",00283878,"Neurology",60, 11,38,10,8,3,21,0,59
