,"This is a citation overview for a set of 44 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 25 (Of the 44 documents considered for the h-Index, 25 have been cited at least 25 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1148,146,136,51,333,0,1481
2009,"T-cell receptor- and CD28-induced Vav1 activity is required for the accumulation of primed T cells into antigenic tissue","David R., Ma L., Ivetic A., Takesono A., Ridley A.J., Chai J.-G., Tybulewicz V.L., Marelli-Berg F.M.",00064971,"Blood",113, 16,0,2,1,0,3,0,3
2009,"Mechanisms of chemokine and antigen-dependent T-lymphocyte navigation","Ward S.G., Marelli-Berg F.M.",02646021,"Biochemical Journal",418, 1,4,12,8,3,23,0,27
2008,"Mesenchymal stem cells for graft-versus-host disease: Close encounters with T cells","Dazzi F., Marelli-Berg F.M.",00142980,"European Journal of Immunology",38, 6,5,8,12,1,21,0,26
2008,"T cell receptor-induced phosphoinositide-3-kinase p110? activity is required for T cell localization to antigenic tissue in mice","Jarmin S.J., David R., Ma L., Chai J.-G., Dewchand H., Takesono A., Ridley A.J., Okkenhaug K., Marelli-Berg F.M.",00219738,"Journal of Clinical Investigation",118, 3,10,2,4,2,8,0,18
2008,"The highway code of T cell trafficking","Marelli-Berg F.M., Cannella L., Dazzi F., Mirenda V.",00223417,"Journal of Pathology",214, 2,11,7,5,5,17,0,28
2007,"Regulation of T-cell migration by co-stimulatory molecules","David R., Marelli-Berg F.M.",03005127,"Biochemical Society Transactions",35, 5,1,1,1,0,2,0,3
2007,"A two-signal model for T cell trafficking","Marelli-Berg F.M., Okkenhaug K., Mirenda V.",14714906,"Trends in Immunology",28, 6,4,4,3,1,8,0,12
2007,"TCR? dim lymphocytes define populations of circulating effector cells that migrate to inflamed tissues","Zhang Z., Gorman C.L., Vermi A.-C., Monaco C., Foey A., Owen S., Amjadi P., Vallance A., McClinton C., Marelli-Berg F., Isomaki P., Russell A., Dazzi F., Vyse T.J., Brennan F.M., Cope A.P.",00064971,"Blood",109, 10,8,3,3,2,8,0,16
