,"Author: Marin Costa, Dr David;Marin, D.",,,,,,,,,,,,
,,,,,,,,,,,,,
,This is a citation overview for a set of 47 documents.,,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 20 (Of the 47 documents considered for the h-Index, 20 have been cited at least 20 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1048,245,256,88,589,0,1637
2009,Dasatinib and chronic myeloid leukemia: Two-year follow-up in eight clinical trials,"Pavlu J., Marin D.",15579190,Clinical Lymphoma and Myeloma,9,6,0,4,3,0,7,0,7
2009,Molecular remission of chronic myeloid leukaemia in a patient with hepatitis and a second kidney transplant | Remisión molecular de una leucemia mieloide crónica en un paciente con segundo trasplante renal y hepatitis,"Castillo-Rama M., Paz-Artal E., Grande C., Martinez-Sanchez P., Morales J.M., Andres A., Olavarria E., Marin D.",2116995,Nefrologia,29,6,0,0,2,0,2,0,2
2009,Technical aspects and clinical applications of measuring BCR-ABL1 transcripts number in chronic myeloid leukemia,"Foroni L., Gerrard G., Nna E., Khorashad J.S., Stevens D., Swale B., Milojkovic D., Reid A., Goldman J., Marin D.",3618609,American Journal of Hematology,84,8,0,3,4,3,10,0,10
2009,The level of BCR-ABL1 kinase activity before treatment does not identify chronic myeloid leukemia patients who fail to achieve a complete cytogenetic response on imatinib,"Khorashad J.S., Wagner S., Greener L., Marin D., Reid A., Milojkovic D., Patel H., Willimott S., Rezvani K., Gerrard G., Loaiza S., Davis J., Goldman J., Melo J., Apperley J., Foroni L.",3906078,Haematologica,94,6,0,1,2,0,3,0,3
2009,Does a rise in the BCR-ABL1 transcript level identify chronic phase CML patients responding to imatinib who have a high risk of cytogenetic relapse?,"Marin D., Khorashad J.S., Foroni L., Milojkovic D., Szydlo R., Reid A.G., Rezvani K., Bua M., Goldman J.M., Apperley J.F.",71048,British Journal of Haematology,145,3,2,7,4,1,12,0,14
2009,Phenotype of blasts in chronic myeloid leukemia in blastic phase-Analysis of bone marrow trephine biopsies and correlation with cytogenetics,"Reid A.G., De Melo V.A., Elderfield K., Clark I., Marin D., Apperley J., Naresh K.N.",1452126,Leukemia Research,33,3,0,2,2,1,5,0,5
2008,European LeukemiaNet criteria for failure or suboptimal response reliably identify patients with CML in early chronic phase treated with imatinib whose eventual outcome is poor,"Marin D., Milojkovic D., Olavarria E., Khorashad J.S., De Lavallade H., Reid A.G., Foroni L., Rezvani K., Bua M., Dazzi F., Pavlu J., Klammer M., Kaeda J.S., Goldman J.M., Apperley J.F.",64971,Blood,112,12,22,33,39,11,83,0,105
2008,Sustained responses after imatinib therapy in newly diagnosed chronic myeloid leukemia patients,"De Lavallade H., Milojkovic D., Marin D.",15429520,American Journal of Hematology/ Oncology,7,11,0,0,0,0,0,0,0
2008,Finding of kinase domain mutations in patients with chronic phase chronic myeloid leukemia responding to imatinib may identify those at high risk of disease progression,"Khorashad J.S., Goldman J.M., Marin D., De Lavallade H., Apperley J.F., Milojkovic D., Reid A.G., Bua M., Szydlo R., Olavarria E., Kaeda J.",0732183X,Journal of Clinical Oncology,26,29,21,16,20,13,49,0,70
2008,Imatinib for newly diagnosed patients with chronic myeloid leukemia: Incidence of sustained responses in an intention-to-treat analysis,"De Lavallade H., Goldman J.M., Marin D., Apperley J.F., Khorashad J.S., Milojkovic D., Reid A.G., Bua M., Szydlo R., Olavarria E., Kaeda J.",0732183X,Journal of Clinical Oncology,26,20,40,59,58,19,136,0,176
2008,Successful peripheral blood stem cell mobilization with granulocyte colony-stimulating factor in a patient with chronic myeloid leukemia achieving a complete cytogenetic remission with dasatinib after failing imatinib,"Gabriel I., Chaidos A., Sorouri J., Dannie E., Davis J., Goldman J., Apperley J., Marin D.",8876924,Leukemia,22,8,1,0,0,0,0,0,1
2008,Multiple sub-microscopic genomic lesions are a universal feature of chronic myeloid leukaemia at diagnosis,"Khorashad J.S., De Melo V.A., Fiegler H., Gerrard G., Marin D., Apperley J.F., Goldman J.M., Foroni L., Reid A.G.",8876924,Leukemia,22,9,0,3,7,0,10,0,10
2008,A new rapid and sensitive assay for detecting the T315I BCR-ABL kinase domain mutation in chronic myeloid leukaemia,"Khorashad J.S., Thelwell N., Milojkovic D., Marin D., Watson J.A., Goldman J.M., Apperley J.F., Foroni L., Reid A.G.",219746,Journal of Clinical Pathology,61,7,2,0,2,1,3,0,5
2008,Pleural effusions in patients with chronic myeloid leukaemia treated with dasatinib may have an immune-mediated pathogenesis,"De Lavallade H., Apperley J.F., Marin D., Punnialingam S., Milojkovic D., Bua M., Khorashad J.S., Gabriel I.H., Chaidos A., Olavarria E., Goldman J.M.",71048,British Journal of Haematology,141,5,12,8,12,1,21,0,33
2008,Deletions adjacent to BCR and ABL1 breakpoints occur in a substantial minority of chronic myeloid leukemia patients with masked Philadelphia rearrangements,"De Melo V.A.S., Milojkovic D., Marin D., Apperley J.F., Nacheva E.P., Reid A.G.",1654608,Cancer Genetics and Cytogenetics,182,2,3,2,2,0,4,0,7
2008,In vivo kinetics of kinase domain mutations in CML patients treated with dasatinib after failing imatinib,"Khorashad J.S., Milojkovic D., Mehta P., Anand M., Ghorashian S., Reid A.G., De Melo V., Babb A., De Lavallade H., Olavarria E., Marin D., Goldman J.M., Apperley J.F., Kaeda J.S.",64971,Blood,111,4,18,5,12,5,22,0,40
2007,Philadelphia-negative clonal hematopoiesis is a significant feature of dasatinib therapy for chronic myeloid leukemia [8],"De Melo V.A.S., Milojkovic D., Khorashad J.S., Marin D., Goldman J.M., Apperley J.F., Reid A.G.",64971,Blood,110,8,4,2,2,1,5,0,9
2007,Interferon-? or homoharringtonine as salvage treatment for chronic myeloid leukemia patients who acquire the T315I BCR-ABL mutation,"De Lavallade H., Khorashad J.S., Davis H.P., Milojkovic D., Kaeda J.S., Goldman J.M., Apperley J.F., Marin D.",64971,Blood,110,7,10,6,8,1,15,0,25
2007,Incidence of hyperthyroidism after unrelated donor allogeneic stem cell transplantation,"Perz J.B., Marin D., Szydlo R.M., Giles C., Olavarria E., Williams G., Apperley J.F.",1452126,Leukemia Research,31,10,1,1,0,0,1,0,2
2007,Dual inhibition of ras and bcr-abl signalling pathways in chronic myeloid leukaemia: A phase I/II study in patients in complete haematological remission,"Pavlu J., Andreasson C., Chuah C., Kaeda J., Goldman J.M., Apperley J.F., Marin D.",71048,British Journal of Haematology,137,5,1,2,0,0,2,0,3
2007,Total CD34+ cells per 10 HPF in bone marrow trephines of patients with chronic myeloid leukaemia correlates with probability of complete cytogenetic response following imatinib treatment [9],"Elliot V., Marin D., Horncastle D., Elderfield K., Howard J., Apperley J.F., Lampert I.A., Naresh K.N.",3090167,Histopathology,50,6,0,0,0,0,0,0,0
2007,Response to donor lymphocyte infusions for chronic myeloid leukemia is dose-dependent: The importance of escalating the cell dose to maximize therapeutic efficacy,"Simula M.P., Marktel S., Fozza C., Kaeda J., Szydlo R.M., Nadal E., Bua M., Rahemtulla A., Kanfer E., Marin D., Olavarria E., Goldman J.M., Apperley J.F., Dazzi F.",8876924,Leukemia,21,5,9,2,0,2,4,0,13
2007,LACE-conditioned autologous stem cell transplantation for relapsed or refractory Hodgkin's lymphoma: Treatment outcome and risk factor analysis in 67 patients from a single centre,"Perz J.B., Giles C., Szydlo R., O'Shea D., Sanz J., Chaidos A., Wagner S., Davis J., Loaiza S., Marin D., Apperley J., Olavarria E., Rahemtulla A., Lampert I., Naresh K., Samson D., MacDonald D., Kanfer E.J.",2683369,Bone Marrow Transplantation,39,1,2,1,1,1,3,0,5
