,"Authors: Marston, S.; Marston, Steven B.; Marston, S.; Marston, S.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 21 (Of the 76 documents considered for the h-Index, 21 have been cited at least 21 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1682,134,215,349,102,2133
2009,"Evidence from human myectomy samples that MYBPC3 mutations cause hypertrophic cardiomyopathy through haploinsufficiency.","Marston S., Watkins H., Copeland O., Jacques A., Livesey K., Tsang V., McKenna W.J., Jalilzadeh S., Carballo S., Redwood C.",15244571,"Circulation research",105, 3,0,0,0,0,0,0
2009,"Back to the future: New techniques show that forgotten phosphorylation sites are present in contractile proteins of the heart whilst intensively studied sites appear to be absent","Marston S.B., Walker J.W.",01424319,"Journal of Muscle Research and Cell Motility",30, 3-4,0,0,0,0,0,0
2009,"Direct visualisation and kinetic analysis of normal and nemaline myopathy actin polymerisation using total internal reflection microscopy","Feng J.-J., Ushakov D.S., Ferenczi M.A., Laing N.G., Nowak K.J., Marston S.B.",01424319,"Journal of Muscle Research and Cell Motility",30, 1-2,0,0,0,0,0,0
2009,"Genotype-phenotype correlations in ACTA1 mutations that cause congenital myopathies","Feng J.-J., Marston S.",09608966,"Neuromuscular Disorders",19, 1,0,0,0,0,3,3
2008,"Role of tropomyosin in the regulation of contraction in smooth muscle.","Marston S., El-Mezgueldi M.",00652598,"Advances in experimental medicine and biology",644, ,0,0,0,0,0,0
2008,"Myofilament dysfunction in cardiac disease from mice to men","Hamdani N., Dos Remedios C., Duncker D.J., Borbely A., Papp Z., Paulus W., Stienen G.J.M., Marston S.B., Van Der Velden J., De Waard M., Messer A.E., Boontje N.M., Kooij V., Van Dijk S., Versteilen A., Lamberts R., Merkus D.",01424319,"Journal of Muscle Research and Cell Motility",29, 6-8,0,0,0,0,0,0
2008,"From genotype to phenotype: A longitudinal study of a patient with hypertrophic cardiomyopathy due to a mutation in the MYBPC3 gene","Jacques A., Hoskins A.C., Kentish J.C., Marston S.B.",01424319,"Journal of Muscle Research and Cell Motility",29, 6-8,0,0,0,0,0,0
2008,"Troponin phosphorylation and myofilament Ca2+-sensitivity in heart failure: Increased or decreased?","Marston S.B., de Tombe P.P.",00222828,"Journal of Molecular and Cellular Cardiology",45, 5,0,0,1,1,2,3
2008,"Myosin binding protein C phosphorylation in normal, hypertrophic and failing human heart muscle","Jacques A.M., Copeland O., Messer A.E., Gallon C.E., King K., McKenna W.J., Tsang V.T., Marston S.B.",00222828,"Journal of Molecular and Cellular Cardiology",45, 2,0,0,3,3,1,4
2008,"The molecular phenotype of human cardiac myosin associated with hypertrophic obstructive cardiomyopathy","Jacques A.M., Watkins H., Esteban M.T., Tsang V.T., McKenna W.J., Marston S.B., Briceno N., Messer A.E., Gallon C.E., Jalilzadeh S., Garcia E., Kikonda-Kanda G., Goddard J., Harding S.E.",00086363,"Cardiovascular Research",79, 3,0,0,3,3,2,5
2008,"How does genotype define phenotype? Microphysiology of a tropomyosin mutation in situ shows the limitations of reductionism","Marston S.",00223751,"Journal of Physiology",586, 12,0,0,1,1,0,1
2008,"Alpha-cardiac actin mutations produce atrial septal defects","Matsson H., Gutierrez I., Granados-Riveron J., Pope M., Bu'lock F., Cox J., Robinson T.E., Song F., Brook D.J., Marston S., Trybus K.M., Eason J., Dahl N., Bookwalter C.S., Klar J., Gustavsson P., Sunnegardh J., Enell H., Jonzon A., Vikkula M.",09646906,"Human Molecular Genetics",17, 2,0,0,3,3,2,5
2008,"Role of caldesmon in the Ca2+ regulation of smooth muscle thin filaments: Evidence for a cooperative switching mechanism","Ansari S., Alahyan M., Marston S.B., El-Mezgueldi M.",00219258,"Journal of Biological Chemistry",283, 1,0,0,0,0,2,2
2007,"Effect of mutations in the ?5-?7 loop on the structure and properties of human small heat shock protein HSP22 (HspB8, H11)","Kasakov A.S., Bukach O.V., Seit-Nebi A.S., Marston S.B., Gusev N.B.",1742464X,"FEBS Journal",274, 21,0,0,1,1,0,1
2007,"The pathogenesis of ACTA1-related congenital fiber type disproportion","Clarke N.F., Ilkovski B., Cooper S., Valova V.A., Robinson P.J., Nonaka I., Feng J.-J., Marston S., North K.",03645134,"Annals of Neurology",61, 6,0,2,5,7,5,12
