,"This is a citation overview for a set of 22 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 7 (Of the 22 documents considered for the h-Index, 7 have been cited at least 7 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,75,57,58,115,39,229
2009,"Prolactin disorders","Martin N.",13573039,"Medicine",37, 8,0,0,0,0,0,0
2009,"High dose cabergoline therapy for a resistant macroprolactinoma during pregnancy","Banerjee A., Wynne K., Tan T., Hatfield E.C., Martin N.M., Williamson C., Meeran K.",03000664,"Clinical Endocrinology",70, 5,0,0,0,0,0,0
2009,"Day 5 morning serum cortisol predicts hypothalamic-pituitary-adrenal function after transsphenoidal surgery for pituitary tumors","Jayasena C.N., Gadhvi K.A., Gohel B., Martin N.M., Mendoza N., Meeran K., Dhillo W.S.",00099147,"Clinical Chemistry",55, 5,0,0,0,0,0,0
2009,"Dopamine agonists and hyperprolactinaemia.","Martin N.M., Tan T., Meeran K.",14685833,"BMJ (Clinical research ed.)",338, ,0,0,0,0,0,0
2009,"Dopamine agonists and hyperprolactinaemia","Martin N.M., Tan T., Meeran K.",09598146,"BMJ",338, 7694,0,0,0,0,0,0
2009,"Hypothalamic regulation of food intake and clinical therapeutic applications | Regulação hipotalâmica da ingestão alimentar e suas aplicações terapêuticas clínicas","Simpson K.A., Martin N.M., Bloom S.R.",00042730,"Arquivos Brasileiros de Endocrinologia e Metabologia",53, 2,0,0,0,0,0,0
2008,"Overexpression of CART in the PVN increases food intake and weight gain in rats","Smith K.L., Gardiner J.V., Ward H.L., Kong W.M., Murphy K.G., Martin N.M., Ghatei M.A., Bloom S.R.",19307381,"Obesity",16, 10,0,0,0,0,1,1
2008,"Hypothalamic regulation of appetite","Simpson K.A., Martin N.M., Bloom S.R.",17446651,"Expert Review of Endocrinology and Metabolism",3, 5,0,0,0,0,0,0
2008,"The McKittrick-Wheelock syndrome: A case of acute renal failure due to neoplastic cholera","Winstanley V., Little M.A., Wadsworth C., Cohen P., Martin N.M.",0886022X,"Renal Failure",30, 4,0,0,0,0,0,0
2007,"The dexamethasone-suppressed corticotropin-releasing hormone stimulation test and the desmopressin test to distinguish Cushing's syndrome from pseudo-Cushing's states [2]","Martin N.M., Dhillo W.S., Meeran K.",03000664,"Clinical Endocrinology",67, 3,0,0,0,0,0,0
2007,"Pituitary macroadenomas: Are combination antiplatelet and anticoagulant therapy contraindicated? A case report","Tan T.M.M., Caputo C., Mehta A., Hatfield E.C.I., Martin N.M., Meeran K.",17521947,"Journal of Medical Case Reports",1, ,0,0,0,0,0,0
2007,"Low-dose oral tri-iodothyronine does not directly increase food intake in man","Martin N.M., Small C.J., Lee J.L., Ellis S., Dhillo W.S., Smith K.L., Kong W.M., Frost G.S., Bloom S.R.",14628902,"Diabetes, Obesity and Metabolism",9, 3,0,0,1,1,0,1
2006,"Comparison of the dexamethasone-suppressed corticotropin-releasing hormone test and low-dose dexamethasone suppression test in the diagnosis of cushing's syndrome","Martin N.M., Dhillo W.S., Banerjee A., Abdulali A., Jayasena C.N., Donaldson M., Todd J.F., Meeran K.",0021972X,"Journal of Clinical Endocrinology and Metabolism",91, 7,0,6,7,13,1,14
2006,"Inhaled insulin: Concerns remain [9]","Martin N.M., Meeran K.",09598146,"British Medical Journal",332, 7552,0,0,0,0,0,0
2006,"Abnormalities of the somatotrophic axis in the obese agouti mouse","Martin N.M., Houston P.A., Patterson M., Sajedi A., Carmignac D.F., Ghatei M.A., Bloom S.R., Small C.J.",03070565,"International Journal of Obesity",30, 3,3,2,2,4,0,7
2006,"Plasma gastrin measurement cannot be used to diagnose a gastrinoma in patients on either proton pump inhibitors or histamine type-2 receptor antagonists","Dhillo W.S., Jayasena C.N., Lewis C.J., Martin N.M., Tang K.C.N., Meeran K., Todd J.F.",00045632,"Annals of Clinical Biochemistry",43, 2,4,2,1,3,0,7
