,"This is a citation overview for a set of 77 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 30 (Of the 77 documents considered for the h-Index, 30 have been cited at least 30 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1782,336,345,107,788,0,2570
2009,"Decay-accelerating factor suppresses complement C3 activation and retards atherosclerosis in low-density lipoprotein receptor-deficient mice","Leung V.W.Y., Haskard D.O., Yun S., Botto M., Mason J.C., Malik T.H., Song W., Paixao-Cavalcante D., Pickering M.C., Boyle J.J.",00029440,"American Journal of Pathology",175, 4,1,6,4,1,11,0,12
2009,"Integrated cardiac and vascular assessment in takayasu arteritis by cardiovascular magnetic resonance","Keenan N.G., Firmin D.N., Pennell D.J., Mason J.C., Maceira A., Assomull R., O'Hanlon R., Chan C., Roughton M., Andrews J., Gatehouse P.D.",00043591,"Arthritis and Rheumatism",60, 11,0,2,5,2,9,0,9
2009,"Activation of Nrf2 in endothelial cells protects arteries from exhibiting a proinflammatory state","Zakkar M., Carlsen H., Haskard D.O., Mason J.C., Evans P.C., Van Der Heiden K., Luong L.A., Chaudhury H., Cuhlmann S., Hamdulay S.S., Krams R., Edirisinghe I., Rahman I.",10795642,"Arteriosclerosis, Thrombosis, and Vascular Biology",29, 11,0,9,25,3,37,0,37
2009,"Disease-modifying anti-rheumatic drugs: Do they reduce cardiac complications of RA?","Hamdulay S.S., Mason J.C.",13556037,"Heart",95, 18,0,3,1,0,4,0,4
2009,"Chronic inflammation and coronary microvascular dysfunction in patients without risk factors for coronary artery disease","Recio-Mayoral A., Mason J.C., Kaski J.C., Rubens M.B., Harari O.A., Camici P.G.",0195668X,"European Heart Journal",30, 15,1,4,7,2,13,0,14
2009,"Induction of the cytoprotective enzyme heme oxygenase-1 by statins is enhanced in vascular endothelium exposed to laminar shear stress and impaired by disturbed flow","Ali F., Zakkar M., Karu K., Lidington E.A., Hamdulay S.S., Boyle J.J., Zloh M., Bauer A., Haskard D.O., Evans P.C., Mason J.C.",00219258,"Journal of Biological Chemistry",284, 28,2,7,12,3,22,0,24
2009,"Heme oxygenase-1 expression enhances vascular endothelial resistance to complement-mediated injury through induction of decay-accelerating factor: A role for increased bilirubin and ferritin","Kinderlerer A.R., Gregoire I.P., Hamdulay S.S., Ali F., Steinberg R., Silva G., Ali N., Wang B., Haskard D.O., Soares M.P., Mason J.C.",00064971,"Blood",113, 7,3,4,6,2,12,0,15
2008,"Takayasu's arteritis following Crohn's disease in a young woman: Any evidence for a common pathogenesis?","Farrant M.A.L., Mason J.C., Wong N.A.C.S., Longman R.J.",10079327,"World Journal of Gastroenterology",14, 25,2,3,5,0,8,0,10
2008,"The role of complement in atherosclerosis","Haskard D.O., Boyle J.J., Mason J.C.",09579672,"Current Opinion in Lipidology",19, 5,2,5,7,3,15,0,17
2008,"Increased endothelial mitogen-activated protein kinase phosphatase-1 expression suppresses proinflammatory activation at sites that are resistant to atherosclerosis","Zakkar M., Haskard D.O., Evans P.C., Chaudhury H., Sandvik G., Enesa K., Luong L.A., Cuhlmann S., Mason J.C., Krams R., Clark A.R.",00097330,"Circulation Research",103, 7,7,9,14,0,23,0,30
2008,"Growing pains-and a heart attack","Peake S.T., Mason J.C., Mittal T., Amrani M., Mohiaddin R., Bell A., Grocott-Mason R., Dubrey S.W.",01406736,"The Lancet",372, 9638,0,0,0,0,0,0,0
