,"This is a citation overview for a set of 167 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 29 (Of the 167 documents considered for the h-Index, 29 have been cited at least 29 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1760,302,291,593,190,2543
2009,"Magnetic susceptibility of ultrahigh pressure eclogite: The role of retrogression","Xu H., Jin Z., Mason R., Ou X.",00401951,"Tectonophysics",, ,0,0,0,0,0,0
2009,"Submicron-sized fluid inclusions and distribution of hydrous components in jadeite, quartz and symplectite-forming minerals from UHP jadeite-quartzite in the Dabie Mountains, China: TEM and FTIR investigation","Meng D., Wu X., Fan X., Meng X., Zheng J., Mason R.",08832927,"Applied Geochemistry",24, 4,0,0,0,0,1,1
2009,"Connective tissue growth factor(CCN2), a pathogenic factor in diabetic nephropathy. What does it do? How does it do it?","Mason R.M.",18739601,"Journal of Cell Communication and Signaling",, ,0,0,0,0,0,0
2008,"Defect microstructures in garnet, omphacite and symplectite from UHP eclogites, eastern Dabieshan, China: A TEM and FTIR study","Wu X., Meng D., Fan X., Meng X., Zheng J., Mason R.",0026461X,"Mineralogical Magazine",72, 5,0,0,0,0,0,0
2007,"Connective tissue growth factor (CTGF) promotes activated mesangial cell survival via up-regulation of mitogen-activated protein kinase phosphatase-1 (MKP-1)","Wahab N., Cox D., Witherden A., Mason R.M.",02646021,"Biochemical Journal",406, 1,0,0,5,5,2,7
2007,"Exploring ethical brand extensions and consumer buying behaviour: The RSPCA and the ""Freedom Food"" brand","McEachern M.G., Schroder M.J.A., Willock J., Whitelock J., Mason R.",10610421,"Journal of Product and Brand Management",16, 3,0,1,0,1,1,2
2007,"Interstitial matrix proteins determine hyaluronan reflection and fluid retention in rabbit joints: Effect of protease","Sabaratnam S., Coleman P.J., Mason R.M., Levick J.R.",00223751,"Journal of Physiology",578, 1,0,0,0,0,2,2
2006,"A critical look at growth factors and epithelial-to-mesenchymal transition in the adult kidney: Interrelationships between growth factors that regulate EMT in the adult kidney","Wahab N.A., Mason R.M.",16602129,"Nephron - Experimental Nephrology",104, 4,0,4,8,12,5,17
2006,"Inhibitory effect of statins on renal epithelial-to-mesenchymal transition","Patel S., Mason R.M., Suzuki J., Imaizumi A., Kamimura T., Zhang Z.",02508095,"American Journal of Nephrology",26, 4,0,0,4,4,3,7
2006,"Provenance of the Triassic Songpan-Ganzi flysch, west China","She Z., Ma C., Mason R., Li J., Wang G., Lei Y.",00092541,"Chemical Geology",231, 1-2,0,3,5,8,1,9
2006,"Planar deformation features of quartz discovered near Lancangjiang deformation zone in SW Yunnan, China","Liu H., Jones A., Shi X., Yan P., Qiu X., Liu Y., Mason R.",05635020,"Scientia Geologica Sinica",41, 3,0,0,0,0,0,0
2006,"Mechanosensitive synoviocytes: A Ca2+-PKC?-MAP kinase pathway contributes to stretch-induced hyaluronan synthesis in vitro","Momberger T.S., Levick J.R., Mason R.M.",0945053X,"Matrix Biology",25, 5,0,1,3,4,4,8
2006,"The role of adenosine in chondrocyte death in murine osteoarthritis and in a murine chondrocyte cell line","Mistry D., Chambers M.G., Mason R.M.",10634584,"Osteoarthritis and Cartilage",14, 5,0,1,1,2,0,2
2006,"Hyaluronan molecular reflection by synovial lining is concentration dependent and reduced in dilute effusions in a rabbit model","Sabaratnam S., Mason R.M., Levick J.R.",00043591,"Arthritis and Rheumatism",54, 5,0,1,0,1,0,1
2005,"Connective tissue growth factor CCN2 interacts with and activates the tyrosine kinase receptor TrkA","Wahab N.A., Weston B.S., Mason R.M.",10466673,"Journal of the American Society of Nephrology",16, 2,12,4,11,15,5,32
2005,"RhoGTPase activation is a key step in renal epithelial mesenchymal transdifferentiation","Patel S., Takagi K.-I., Suzuki J., Imaizumi A., Kimura T., Mason R.M., Kamimura T., Zhang Z.",10466673,"Journal of the American Society of Nephrology",16, 7,8,4,5,9,1,18
2005,"Hyaluronan secretion by synoviocytes is mechanosensitive","Momberger T.S., Levick J.R., Mason R.M.",0945053X,"Matrix Biology",24, 8,2,4,3,7,3,12
2005,"Glomerular expression of thrombospondin-1, transforming growth factor beta and connective tissue growth factor at different stages of diabetic nephropathy and their interdependent roles in mesangial response to diabetic stimuli","Wahab N.A., Schaefer L., Weston B.S., Yiannikouris O., Wright A., Babelova A., Schaefer R., Mason R.M.",0012186X,"Diabetologia",48, 12,1,6,10,16,2,19
2005,"The luminescence decay-time of Mn2+ activated calcite","Mason R., Clouter M., Goulding R.",03421791,"Physics and Chemistry of Minerals",32, 7,0,0,1,1,1,2
2005,"Extracellular superoxide dismutase and oxidant damage in osteoarthritis","Regan E., Crapo J., Flannelly J., Bowler R., Tran K., Nicks M., Carbone B.D., Glueck D., Heijnen H., Mason R.",00043591,"Arthritis and Rheumatism",52, 11,3,9,5,14,3,20
2005,"Size selectivity of hyaluronan molecular sieving by extracellular matrix in rabbit synovial joints","Sabaratnam S., Arunan V., Coleman P.J., Mason R.M., Levick J.R.",00223751,"Journal of Physiology",567, 2,1,3,0,3,1,5
2005,"Modulation of the TGF?/Smad signaling pathway in mesangial cells by CTGF/CCN2","Wahab N.A., Weston B.S., Mason R.M.",00144827,"Experimental Cell Research",307, 2,6,10,9,19,4,29
2005,"TGF-?1 induces human alveolar epithelial to mesenchymal cell transition (EMT)","Kasai H., Allen J.T., Mason R.M., Kamimura T., Zhang Z.",1465993X,"Respiratory Research",6, ,19,18,15,33,18,70
2005,"The blockade of TSP-1/TGF?1 pathway prevented high glucose-induced late growth inhibition of mesangial cells","Yevdokimova N., Mason R.",02018470,"Ukrainskii Biokhimicheskii Zhurnal",77, 2,0,0,0,0,0,0
2004,"Effects of arg-gly-asp sequence peptide and hyperosmolarity on the permeability of interstitial matrix and fenestrated endothelium in joints","Poli A., Mason R.M., Levick J.R.",10739688,"Microcirculation",11, 6,0,1,0,1,0,1
2004,"Filtration rate dependence of hyaluronan reflection by joint-to-lymph barrier: Evidence for concentration polarisation","Sabaratnam S., Mason R.M., Levick J.R.",00223751,"Journal of Physiology",557, 3,8,2,1,3,1,12
2004,"Erratum: Molecular sieving of hyaluronan by synovial interstitial matrix and lymphatic capillary endothelium evaluated by lymph analysis in rabbits (Microvascular Research (2003) 66 (227-236) DOI: 10.1016/j.mvr.2003.08.003)","Sabaratnam S., Mason R.M., Levick J.R.",00262862,"Microvascular Research",67, 3,0,0,0,0,0,0
2004,"Chondrocyte death during murine osteoarthritis","Mistry D., Oue Y., Chambers M.G., Kayser M.V., Mason R.M.",10634584,"Osteoarthritis and Cartilage",12, 2,7,1,3,4,2,13
2004,"Distribution of Endo180 receptor and ligand in developing articular cartilage","Howard M.J., Chambers M.G., Mason R.M., Isacke C.M.",10634584,"Osteoarthritis and Cartilage",12, 1,5,0,2,2,1,8
