,"Authors: Mathias, Christopher J.; Mathias, C. J.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 32 (Of the 168 documents considered for the h-Index, 32 have been cited at least 32 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,5554,859,709,1568,557,7679
2009,"Erratum: International standards to document remaining autonomic function after spinal cord injury (Spinal Cord (2009) 47 (575) DOI:10.1038/sc.2008.170))","Alexander M.S., Donovan W., Elliott S.L., Estores I., Graves D.E., Green B., Gousse A., Jackson A.B., Kennelly M., Karlsson A.-K., Krassioukov A., Biering-Sorensen F., Krogh K., Linsenmeyer T., Marino R., Mathias C.J., Perkash I., Sheel A.W., Schilero G., Schurch B., Sonksen J., Stiens S., Bodner D., Wecht J., Wuermser L.A., Wyndaele J.-J., Brackett N.L., Cardenas D., Charlifue S., Creasey G., Dietz V., Ditunno J.",13624393,"Spinal Cord",47, 7,0,0,0,0,0,0
2009,"Hyposmia in pure autonomic failure","Silveira-Moriyama L., Mathias C., Mason L., Best C., Quinn N.P., Lees A.J.",00283878,"Neurology",72, 19,0,0,0,0,0,0
2009,"Glucocerebrosidase mutations in 108 neuropathologically confirmed cases of multiple system atrophy","Segarane B., Wood N.W., Holton J., Houlden H., Li A., Paudel R., Scholz S., Neumann J., Lees A., Revesz T., Hardy J., Mathias C.J.",00283878,"Neurology",72, 13,0,0,0,0,0,0
2009,"International standards to document remaining autonomic function after spinal cord injury","Alexander M.S., Donovan W., Elliott S.L., Estores I., Graves D.E., Green B., Gousse A., Jackson A.B., Kennelly M., Karlsson A.-K., Krassioukov A., Biering-Sorensen F., Krogh K., Linsenmeyer T., Marino R., Mathias C.J., Perkash I., Sheel A.W., Shilero G., Schurch B., Sonksen J., Stiens S., Bodner D., Wecht J., Wuermser L.A., Wyndaele J.-J., Brackett N.L., Cardenas D., Charlifue S., Creasey G., Dietz V., Ditunno J.",13624393,"Spinal Cord",47, 1,0,0,0,0,3,3
2008,"Inflammation and its relevance to psychiatry","Cavanagh J., Mathias C.",13555146,"Advances in Psychiatric Treatment",14, 4,0,0,0,0,1,1
2008,"Treatment of supine hypertension in autonomic failure with gastrostomy feeding at night","Young T.M., Mathias C.J.",15660702,"Autonomic Neuroscience: Basic and Clinical",143, 1-2,0,0,0,0,0,0
2008,"Effects of water drinking on cardiovascular responses to supine exercise and on orthostatic hypotension after exercise in pure autonomic failure","Humm A.M., Mason L.M., Mathias C.J.",00223050,"Journal of Neurology, Neurosurgery and Psychiatry",79, 10,0,0,0,0,1,1
2008,"Second consensus statement on the diagnosis of multiple system atrophy","Gilman S., Fowler C.J., Kaufmann H., Klockgether T., Lees A., Poewe W., Quinn N., Revesz T., Robertson D., Sandroni P., Seppi K., Wenning G.K., Vidailhet M., Low P.A., Brooks D.J., Mathias C.J., Trojanowski J.Q., Wood N.W., Colosimo C., Durr A.",00283878,"Neurology",71, 9,0,0,1,1,19,20
2008,"Autonomic contributions to empathy: Evidence from patients with primary autonomic failure","Chauhan B., Mathias C.J., Critchley H.D.",15660702,"Autonomic Neuroscience: Basic and Clinical",140, 1-2,0,0,0,0,2,2
2008,"Species dependence of [64Cu]Cu-Bis(thiosemicarbazone) radiopharmaceutical binding to serum albumins","Basken N.E., Mathias C.J., Lipka A.E., Green M.A.",09698051,"Nuclear Medicine and Biology",35, 3,0,0,0,0,3,3
2008,"L-dihydroxyphenylserine (Droxidopa) in the treatment of orthostatic hypotension: The European experience","Mathias C.J.",09599851,"Clinical Autonomic Research",18, 1,0,0,1,1,0,1
2007,"Skin vasodilator response to local heating in multiple system atrophy","Yamanaka Y., Asahina M., Mathias C.J., Akaogi Y., Koyama Y., Hattori T.",08853185,"Movement Disorders",22, 16,0,0,0,0,0,0
2007,"Assessment of autonomic dysfunction following spinal cord injury: Rationale for additions to international standards for neurological assessment","Krassioukov A.V., Karlsson A.-K., Wecht J.M., Wuermser L.-A., Mathias C.J., Marino R.J.",07487711,"Journal of Rehabilitation Research and Development",44, 1,0,2,5,7,6,13
2007,"Vagal and sympathetic heart rate and blood pressure control in adult onset PHOX2B mutation-confirmed congenital central hypoventilation syndrome","Diedrich A., Malow B.A., Antic N.A., Sato K., McEvoy R.D., Mathias C.J., Robertson D., Berry-Kravis E.M., Weese-Mayer D.E.",09599851,"Clinical Autonomic Research",17, 3,0,0,4,4,2,6
2007,"Hoeldtke RD (2003) Nitrosative stress in early Type 1 diabetes. Clin Auton Res 13:406-421.","Kaufmann H., Mathias C.J.",09599851,"Clinical autonomic research : official journal of the Clinical Autonomic Research Society",17, 3,0,0,0,0,0,0
2007,"Testing the validity of the PDQ-39 in patients with MSA","Schrag A., Jenkinson C., Selai C., Mathias C., Quinn N.",13538020,"Parkinsonism and Related Disorders",13, 3,0,0,0,0,1,1
2007,"Assessment of Cu-ETS as a PET radiopharmaceutical for evaluation of regional renal perfusion","Green M.A., Mathias C.J., Willis L.R., Handa R.K., Lacy J.L., Miller M.A., Hutchins G.D.",09698051,"Nuclear Medicine and Biology",34, 3,0,0,2,2,4,6
2007,"Pure autonomic failure followed by amyotrophy","Irani S.R., Mathias C.J., Orrell R.W.",00283878,"Neurology",68, 10,0,0,0,0,0,0
2007,"Progression of dysautonomia in multiple system atrophy: A prospective study of self-perceived impairment","Kollensperger M., Djaldetti R., Schrag A., Low P.A., Mathias C.J., Poewe W., Wenning G.K., Stampfer-Kountchev M., Seppi K., Geser F., Frick C., Del Sorbo F., Albanese A., Gurevich T., Giladi N.",13515101,"European Journal of Neurology",14, 1,0,2,0,2,1,3
2006,"The ACCF/AHA scientific statement on syncope: A document in need of thoughtful revision","Benditt D.G., Blanc J.J., Brignole M., Camm A.J., Chelimsky T., Cortelli P., Van Dijk J.G., Van Dijk N., Esler M., Fitzpatrick A., Fouad-Tarazi F., Wieling W., Freeman R., Goldstein M., Grubb B., Herweg B., Hilz M.J., Jacob G., Jardine D., Jordan J., Joyner M.J., Kapoor W., Olshansky B., Kaufmann H., Kenny R.-A., Krahn A., Lau C.-P., Levine B.D., Van Lieshout J.J., Lipsitz L., Low P., Lurie K.G., Malik M., Abe H., Mathias C.J., Moya A., Raj S.R., Raviele A., Saksena S., Sarasin F.P., Saul P.J., Schondorf R., Senard J.M., Sheldon R., Alboni P., Shen W.-K., Sra J., Stephenson J., Stewart J.M., Sutton R., Tanaka H., Theodorakis G., Thijs R.D., Ungar A., Wilde A.A.M., Andresen D., Axelrod F.B., Bennaroch E., Bergfeldt L.",09599851,"Clinical Autonomic Research",16, 6,1,1,0,1,2,4
2006,"Unexplained syncope - Is screening for carotid sinus hypersensitivity indicated in all patients aged >40 years?","Humm A.M., Mathias C.J.",00223050,"Journal of Neurology, Neurosurgery and Psychiatry",77, 11,1,2,4,6,4,11
2006,"Multiple system atrophy and autonomic failure","Mathias C.J.",03036995,"Journal of Neural Transmission, Supplement",, 70,0,0,0,0,0,0
