,"This is a citation overview for a set of 37 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 24 (Of the 37 documents considered for the h-Index, 24 have been cited at least 24 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1515,203,216,79,498,0,2013
2009,"Dopamine gene therapy for Parkinson's disease in a nonhuman primate without associated dyskinesia.","Jarraya B., Drouot X., Herard A.S., Day D.M., Brouillet E., Kingsman S.M., Hantraye P., Mitrophanous K.A., Mazarakis N.D., Palfi S., Boulet S., Ralph G.S., Jan C., Bonvento G., Azzouz M., Miskin J.E., Shin M., Delzescaux T.",19466242,"Science translational medicine",1, 2,0,13,24,3,40,0,40
2009,"A heterotypic bystander effect for tumor cell killing after adeno-associated virus/phage-mediated, vascular-targeted suicide gene transfer","Trepel M., Stoneham C.A., Eleftherohorinou H., Mazarakis N.D., Pasqualini R., Arap W., Hajitou A.",15357163,"Molecular Cancer Therapeutics",8, 8,2,4,4,2,10,0,12
2006,"Lentiviral vector expressing retinoic acid receptor ?2 promotes recovery of function after corticospinal tract injury in the adult rat spinal cord","Yip P.K., Wong L.-F., Pattinson D., Battaglia A., Grist J., Bradbury E.J., Maden M., McMahon S.B., Mazarakis N.D.",09646906,"Human Molecular Genetics",15, 21,14,7,6,4,17,0,31
2006,"Interactions between retinoic acid, nerve growth factor and sonic hedgehog signalling pathways in neurite outgrowth","So P.-L., Yip P.K., Bunting S., Wong L.-F., Mazarakis N.D., Hall S., McMahon S., Maden M., Corcoran J.P.T.",00121606,"Developmental Biology",298, 1,11,2,0,5,7,0,18
2006,"Reversal of neurochemical changes and pain-related behavior in a model of neuropathic pain using modified lentiviral vectors expressing GDNF","Pezet S., Krzyzanowska A., Wong L.-F., Grist J., Mazarakis N.D., Georgievska B., McMahon S.B.",15250016,"Molecular Therapy",13, 6,18,5,5,2,12,0,30
2006,"Retinoic acid receptor ?2 promotes functional regeneration of sensory axons in the spinal cord","Wong L.-F., Mazarakis N.D., McMahon S.B., Yip P.K., Battaglia A., Grist J., Corcoran J., Maden M., Azzouz M., Kingsman S.M., Kingsman A.J.",10976256,"Nature Neuroscience",9, 2,34,9,11,7,27,0,61
2006,"Gene therapy for neurodegenerative and ocular diseases using lentiviral vectors","Ralph G.S., Binley K., Wong L.-F., Azzouz M., Mazarakis N.D.",01435221,"Clinical Science",110, 1,17,2,4,1,7,0,24
2006,"Lentivirus-mediated gene transfer to the central nervous system: Therapeutic and research applications","Wong L.-F., Goodhead L., Prat C., Mitrophanous K.A., Kingsman S.M., Mazarakis N.D.",10430342,"Human Gene Therapy",17, 1,44,9,11,7,27,0,71
2005,"Trophic activity of Rabies G protein-pseudotyped equine infectious anemia viral vector mediated IGF-I motor neuron gene transfer in vitro","Teng Q., Boulis N.M., Garrity-Moses M., Federici T., Tanase D., Liu J.K., Mazarakis N.D., Azzouz M., Walmsley L.E., Carlton E.",09699961,"Neurobiology of Disease",20, 3,5,0,0,0,0,0,5
2005,"Lentivector-mediated delivery of GDNF protects complex motor functions relevant to human Parkinsonism in a rat lesion model","Dowd E., Monville C., Torres E.M., Wong L.-F., Azzouz M., Mazarakis N.D., Dunnett S.B.",0953816X,"European Journal of Neuroscience",22, 10,31,7,6,2,15,0,46
2005,"A human single-chain Fv intrabody preferentially targets amino-terminal huntingtin fragments in striatal models of Huntington's disease","Miller T.W., Zhou C., Gines S., MacDonald M.E., Mazarakis N.D., Bates G.P., Huston J.S., Messer A.",09699961,"Neurobiology of Disease",19, 1-2,18,3,2,1,6,0,24
2005,"Therapeutic gene silencing in neurological disorders, using interfering RNA","Ralph G.S., Mazarakis N.D., Azzouz M.",09462716,"Journal of Molecular Medicine",83, 6,18,0,0,0,0,0,18
2005,"Silencing mutant SOD1 using RNAi protects against neurodegeneration and extends survival in an ALS model","Ralph G.S., Kingsman S.M., Mitrophanous K.A., Mazarakis N.D., Azzouz M., Radcliffe P.A., Day D.M., Carthy J.M., Leroux M.A., Lee D.C.P., Wong L.-F., Bilsland L.G., Greensmith L.",10788956,"Nature Medicine",11, 4,175,24,25,5,54,0,229
2005,"Lentiviral-mediated delivery of Bcl-2 or GDNF protects against excitotoxicity in the rat hippocampus","Wong L.F., Scott Ralph G., Walmsley L.E., Bienemann A.S., Parham S., Kingsman S.M., Uney J.B., Mazarakis N.D.",15250016,"Molecular Therapy",11, 1,19,3,1,1,5,0,24
2004,"Lentivector-mediated SMN replacement in a mouse model of spinal muscular atrophy","Azzouz M., Burghes A.H.M., Mazarakis N.D., Le T., Ralph G.S., Walmsley L., Monani U.R., Lee D.C.P., Wilkes F., Mitrophanous K.A., Kingsman S.M.",00219738,"Journal of Clinical Investigation",114, 12,53,19,9,4,32,0,85
2004,"Lentiviral vectors for treating and modeling human CNS disorders","Azzouz M., Kingsman S.M., Mazarakis N.D.",1099498X,"Journal of Gene Medicine",6, 9,27,5,6,2,13,0,40
2004,"Non-primate EIAV-based lentiviral vectors as gene delivery system for motor neuron diseases","Azzouz M., Mazarakis N.",15665232,"Current Gene Therapy",4, 3,15,2,0,1,3,0,18
2004,"VEGF delivery with retrogradely transported lentivector prolongs survival in a mouse ALS model","Azzouz M., Ralph G.S., Storkebaum E., Walmsley L.E., Mitrophanous K.A., Kingsman S.M., Carmellet P., Mazarakis N.D.",00280836,"Nature",429, 6990,219,36,37,10,83,0,302
2004,"Erratum: ""Transduction patterns of pseudotyped lentiviral vectors in the nervous system"" (Molecular Therapy (2004) vol. 9 (101-111) 10.1016/j.mthe.2003.09.017)","Wong L.-F., Azzouz M., Walmsley L.E., Askham Z., Wilkes F.J., Mitrophanous K.A., Kingsman S.M., Mazarakis N.D.",15250016,"Molecular Therapy",9, 5,0,0,0,0,0,0,0
2004,"Neuroprotection in a rat Parkinson model by GDNF gene therapy using EIAV vector","Azzouz M., Ralph S., Wong L.-F., Day D., Askham Z., Barber R.D., Mitrophanous K.A., Kingsman S.M., Mazarakis N.D.",09594965,"NeuroReport",15, 6,31,3,3,0,6,0,37
2004,"Identification of Potential Stroke Targets by Lentiviral Vector Mediated Overexpression of HIF-1? and HIF-2? in a Primary Neuronal Model of Hypoxia","Ralph G.S., Parham S., Lee S.R., Beard G.L., Craigon M.H., Ward N., White J.R., Barber R.D., Rayner W., Kingsman S.M., Mundy C.R., Mazarakis N.D., Krige D.",0271678X,"Journal of Cerebral Blood Flow and Metabolism",24, 2,17,1,2,0,3,0,20
2004,"Transduction patterns of pseudotyped lentiviral vectors in the nervous system","Wong L.-F., Azzouz M., Walmsley L.E., Askham Z., Wilkes F.J., Mitrophanous K.A., Kingsman S.M., Mazarakis N.D.",15250016,"Molecular Therapy",9, 1,67,8,5,2,15,0,82
2003,"Long-term replacement of a mutated nonfunctional CNS gene: Reversal of hypothalamic diabetes insipidus using an EIAV-based lentiviral vector expressing arginine vasopressin","Bienemann A.S., Martin-Rendon E., Cosgrave A.S., Glover C.P.J., Wong L.-F., Kingsman S.M., Mitrophanous K.A., Mazarakis N.D., Uney J.B.",15250016,"Molecular Therapy",7, 5 I,32,0,2,1,3,0,35
2002,"Design, production, safety, evaluation, and clinical applications of nonprimate lentiviral vectors","Rohll J.B., Mitrophanous K.A., Martin-Rendon E., Ellard F.M., Radcliffe P.A., Mazarakis N.D., Kingsman S.M.",00766879,"Methods in Enzymology",346, ,44,4,2,1,7,0,51
2002,"Multicistronic lentiviral vector-mediated striatal gene transfer of aromatic L-amino acid decarboxylase, tyrosine hydroxylase, and GTP cyclohydrolase I induces sustained transgene expression, dopamine production, and functional improvement in a rat model of Parkinson's disease","Azzouz M., Martin-Rendon E., Barber R.D., Mitrophanous K.A., Carter E.E., Rohll J.B., Kingsman S.M., Kingsman A.J., Mazarakis N.D.",02706474,"Journal of Neuroscience",22, 23,70,8,12,3,23,0,93
2002,"Retinoic acid receptor ?2 and neurite outgrowth in the adult mouse spinal cord in vitro","Corcoran J., So P.-L., Barber R.D., Vincent K.J., Mazarakis N.D., Mitrophanous K.A., Kingsman S.M., Maden M.",00219533,"Journal of Cell Science",115, 19,43,4,3,2,9,0,52
2002,"New methods to titrate EIAV-based lentiviral vectors","Martin-Rendon E., White L.J., Olsen A., Mitrophanous K.A., Mazarakis N.D.",15250016,"Molecular Therapy",5, 5 I,24,0,0,1,1,0,25
2001,"Rabies virus glycoprotein pseudotyping of lentiviral vectors enables retrograde axonal transport and access to the nervous system after peripheral delivery","Mazarakis N.D., Kingsman S.M., Kingsman A.J., O'Malley K., Mitrophanous K.A., Azzouz M., Rohll J.B., Ellard F.M., Wilkes F.J., Olsen A.L., Carter E.E., Barber R.D., Baban D.F.",09646906,"Human Molecular Genetics",10, 19,155,13,19,7,39,0,194
