,"This is a citation overview for a set of 94 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 30 (Of the 94 documents considered for the h-Index, 30 have been cited at least 30 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2648,396,381,121,898,0,3546
2009,"Depression, migraine with aura and migraine without aura: Their familiality and interrelatedness","Ball H., Samaan Z., Brewster S., Craddock N., Gill M., Korszun A., Maier W., Middleton L., Mors O., Owen M., Perry J., Preisig M., Rice J., Rietschel M., Jones L., Jones I., Farmer A., McGuffin P.",03331024,"Cephalalgia",29, 8,0,2,2,0,4,0,4
2009,"Genome-wide association and meta-analysis of bipolar disorder in individuals of European ancestry","Scott L.J., Muglia P., Kong X.Q., Guan W., Flickinger M., Upmanyu R., Tozzi F., Li J.Z., Burmeister M., Absher D., Thompson R.C., Francks C., Meng F., Antoniades A., Southwick A.M., Schatzberg A.F., Bunney W.E., Barchas J.D., Jones E.G., Day R., Matthews K., McGuffin P., Strauss J.S., Kennedy J.L., Middleton L., Roses A.D., Watson S.J., Vincent J.B., Myers R.M., Farmer A.E., Akil H., Burns D.K., Boehnke M.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",106, 18,3,28,29,10,67,0,70
2009,"Risk prediction of prevalent diabetes in a Swiss population using a weighted genetic score-the CoLaus Study","Lin X., Song K., Lim N., Yuan X., Johnson T., Abderrahmani A., Vollenweider P., Stirnadel H., Sundseth S.S., Lai E., Burns D.K., Middleton L.T., Roses A.D., Matthews P.M., Waeber G., Cardon L., Waterworth D.M., Mooser V.",0012186X,"Diabetologia",52, 4,4,8,16,3,27,0,31
2009,"Smoking and risk for amyotrophic lateral sclerosis: Analysis of the EPIC cohort","Gallo V., Bueno-De-Mesquita H.B., Vermeulen R., Andersen P.M., Kyrozis A., Linseisen J., Kaaks R., Allen N.E., Roddam A.W., Boshuizen H.C., Peeters P.H., Palli D., Mattiello A., Sieri S., Tumino R., Jimenez-Martin J.M., Diaz M.J.T., Suarez L.R., Trichopoulou A., Agudo A., Arriola L., Barricante-Gurrea A., Bingham S., Khaw K.T., Manjer J., Lindkvist B., Overvad K., Bach F.W., Tjoonneland A., Olsen A., Bergmann M.M., Boeing H., Clavel-Chapelon F., Lund E., Hallmans G., Middleton L., Vineis P., Riboli E.",03645134,"Annals of Neurology",65, 4,3,9,7,6,22,0,25
2009,"The PsyCoLaus study: Methodology and characteristics of the sample of a population-based survey on psychiatric disorders and their association with genetic and cardiovascular risk factors","Preisig M., Mooser V., Tozzi F., Muglia P., Waeber G., Vollenweider P., Bovet P., Rothen S., Vandeleur C., Guex P., Middleton L., Waterworth D.",1471244X,"BMC Psychiatry",9, ,0,3,4,1,8,0,8
2009,"ATP13A2 variability in Parkinson disease","Vilarino-Guell C., Amouri R., Rajput A., Mash D.C., Dickson D.W., Middleton L.T., Gibson R.A., Hentati F., Farrer M.J., Soto A.I., Lincoln S.J., Yahmed S.B., Kefi M., Heckman M.G., Hulihan M.M., Chai H., Diehl N.N.",10597794,"Human Mutation",30, 3,3,4,3,1,8,0,11
2009,"A genome-wide investigation of SNPs and CNVs in schizophrenia","Need A.C., Ge D., Weale M.E., Maia J., Feng S., Heinzen E.L., Shianna K.V., Yoon W., Kasperaviciute D., Gennarelli M., Strittmatter W.J., Bonvicini C., Rossi G., Jayathilake K., Cola P.A., McEvoy J.P., Keefe R.S.E., Fisher E.M.C., St. Jean P.L., Giegling I., Hartmann A.M., Moller H.-J., Ruppert A., Fraser G., Crombie C., Middleton L.T., St. Clair D., Roses A.D., Muglia P., Francks C., Rujescu D., Meltzer H.Y., Goldstein D.B.",15537390,"PLoS Genetics",5, 2,18,48,62,27,137,0,155
