,"This is a citation overview for a set of 17 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 10 (Of the 17 documents considered for the h-Index, 10 have been cited at least 10 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,189,82,68,150,57,396
2009,"Tenascin-C is an endogenous activator of Toll-like receptor 4 that is essential for maintaining inflammation in arthritic joint disease","Midwood K., Orend G., Brennan F., Foxwell B., Sacre S., Piccinini A.M., Inglis J., Trebaul A., Chan E., Drexler S., Sofat N., Kashiwagi M.",10788956,"Nature Medicine",15, 7,0,0,0,0,0,0
2007,"Regulation of fibroblast migration by tenascin-C","Trebaul A., Chan E.K., Midwood K.S.",03005127,"Biochemical Society Transactions",35, 4,0,1,2,3,5,8
2006,"Modulation of cell-fibronectin matrix interactions during tissue repair","Midwood K.S., Mao Y., Hsia H.C., Valenick L.V., Schwarzbauer J.E.",10870024,"Journal of Investigative Dermatology Symposium Proceedings",11, 1,0,4,8,12,7,19
2004,"Coregulation of fibronectin signaling and matrix contraction by tenascin-C and syndecan-4","Midwood K.S., Valenick L.V., Hsia H.C., Schwarzbauer J.E.",10591524,"Molecular Biology of the Cell",15, 12,14,12,7,19,4,37
2004,"Easy and efficient bonding of biomolecules to an oxide surface of silicon","Midwood K.S., Carolus M.D., Danahy M.P., Schwarzbauer J.E., Schwartz J.",07437463,"Langmuir",20, 13,6,3,3,6,4,16
2004,"Self-assembled monolayers of ?,?-diphosphonic acids on Ti enable complete or spatially controlled surface derivatization","Danahy M.P., Avaltroni M.J., Midwood K.S., Schwarzbauer J.E., Schwartz J.",07437463,"Langmuir",20, 13,10,6,7,13,4,27
2004,"Tissue repair and the dynamics of the extracellular matrix","Midwood K.S., Williams L.V., Schwarzbauer J.E.",13572725,"International Journal of Biochemistry and Cell Biology",36, 6,20,19,11,30,9,59
2003,"Erratum: Bonding organics to Ti alloys: Facilitating human osteoblast attachment and spreading on surgical implant materials corrections (Langmuir (2003) 19 (200-204))","Gawalt E.S., Avaltroni M.J., Danahy M.P., Silverman B.M., Hanson E.L., Midwood K.S., Schwarzbauer J.E., Schwartz J.",07437463,"Langmuir",19, 17,0,1,0,1,1,2
2003,"Cell attachment and spreading on metal implant materials","Schwartz J., Avaltroni M.J., Danahy M.P., Silverman B.M., Hanson E.L., Schwarzbauer Jean E., Midwood K.S., Gawalt E.S.",09284931,"Materials Science and Engineering C",23, 3,10,6,7,13,4,27
2003,"Bonding organics to Ti alloys: Facilitating human osteoblast attachment and spreading on surgical implant materials","Gawalt E.S., Avaltroni M.J., Danahy M.P., Silverman B.M., Hanson E.L., Midwood K.S., Schwarzbauer J.E., Schwartz J.",07437463,"Langmuir",19, 1,13,9,13,22,9,44
2002,"Preparation and analysis of synthetic multicomponent extracellular matrix","Midwood K.S., Wierzbicka-Patynowski I., Schwarzbauer J.E.",0091679X,"Methods in Cell Biology",2002, 69,3,0,0,0,0,3
2002,"Tenascin-C modulates matrix contraction via focal adhesion kinase- and Rho-mediated signaling pathways","Midwood K.S., Schwarzbauer J.E.",10591524,"Molecular Biology of the Cell",13, 10,34,7,5,12,5,51
2002,"Elastic fibers: Building bridges between cells and their matrix","Midwood K.S., Schwarzbauer J.E.",09609822,"Current Biology",12, 8,20,4,2,6,1,27
2001,"NG2/HMPG modulation of human articular chondrocyte adhesion to type VI collagen is lost in osteoarthritis","Midwood K.S., Salter D.M.",00223417,"Journal of Pathology",195, 5,4,3,1,4,0,8
2000,"Tenascin-C suppresses Rho activation","Wenk M.B., Midwood K.S., Schwarzbauer J.E.",00219525,"Journal of Cell Biology",150, 4,48,6,1,7,4,59
1998,"Expression of NG2/human melanoma proteoglycan in human adult articular chondrocytes","Midwood K.S., Salter D.M.",10634584,"Osteoarthritis and Cartilage",6, 5,7,1,1,2,0,9
1996,"NG2 proteoglycan is expressed in human adult articular chondrocytes","Midwood K.S., Salter D.M.",09599673,"International Journal of Experimental Pathology",77, 6,0,0,0,0,0,0
