,"This is a citation overview for a set of 7 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 6 (Of the 7 documents considered for the h-Index, 6 have been cited at least 6 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,497,97,60,22,179,0,676
2009,"An unrecognized extracellular function for an intracellular adapter protein released from the cytoplasm into the tumor microenvironment","Mintz P.J., Souza G.R., Easley J., Salameh A., Oliviero S., Brentani R.R., Koivunen E., Arap W., Pasqualini R., Cardo-Vila M., Ozawa M.G., Hajitou A., Rangel R., Guzman-Rojas L., Christianson D.R., Arap M.A., Giordano R.J.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",106, 7,4,6,2,2,10,0,14
2008,"The phosphorylated membrane Estrogen receptor and cytoplasmic signaling and apoptosis proteins in human breast cancer","Mintz P.J., Habib N.A., Jones J.L., Giamas G., Lewis J.S., Bowen R.L., Coombes R.C., Stebbing J.",0008543X,"Cancer",113, 6,1,0,2,1,3,0,4
2004,"An HSP90-mimic peptide revealed by fingerprinting the pool of antibodies from ovarian cancer patients","Vidal C.I., Mintz P.J., Lu K., Ellis L.M., Manenti L., Giavazzi R., Gershenson D.M., Broaddus R., Liu J., Arap W., Pasqualini R.",09509232,"Oncogene",23, 55,18,7,3,0,10,0,28
2004,"Cell surface expression of the stress response chaperone GRP78 enables tumor targeting by circulating ligands","Arap M.A., Lahdenranta J., Mintz P.J., Hajitou A., Sarkis A.S., Arap W., Pasqualini R.",15356108,"Cancer Cell",6, 3,89,23,18,6,47,0,136
2003,"Targeting urothelium: Ex vivo assay standardization and selection of internalizing ligands","Ardelt P.U., Wood C.G., Chen L., Mintz P.J., Moya C., Arap M.A., Wright K.C., Pasqualini R., Arap W.",00225347,"Journal of Urology",169, 4,20,1,0,0,1,0,21
2003,"Fingerprinting the circulating repertoire of antibodies from cancer patients","Mintz P.J., Logothetis C.J., Pasqualini R., Arap W., Kim J., Do K.-A., Wang X., Zinner R.G., Cristofanilli M., Arap M.A., Hong W.K., Troncoso P.",10870156,"Nature Biotechnology",21, 1,128,23,13,4,40,0,168
2002,"Steps toward mapping the human vasculature by phage display","Arap W., Kolonin M.G., Trepel M., Lahdenranta J., Cardo-Vila M., Giordano R.J., Mintz P.J., Ardelt P.U., Yao V.J., Vidal C.I., Chen L., Flamm A., Valtanen H., Weavind L.M., Hicks M.E., Pollock R.E., Botz G.H., Bucana C.D., Koivunen E., Cahill D., Troncoso P., Baggerly K.A., Pentz R.D., Do K.-A., Logothetis C.J., Pasqualini R.",10788956,"Nature Medicine",8, 2,237,37,22,9,68,0,305
