,This is a citation overview for a set of 18 documents.,,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 13 (Of the 18 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,408,114,101,31,246,0,654
2009,Genetic determinants of height growth assessed longitudinally from infancy to adulthood in the northern finland birth cohort 1966,"Sovio U., Bennett A.J., Millwood L.Y., Molitor J., O'Reilly P.F., J.Timpson N., Kaakinen M., Laitinen J., Haukka J., Pillas D., Tzoulaki I., Molitor X.X.X.JA., Hoggart C., Coin L.J.M., Whittaker J., Pouta A., Hartikainen A.-L., Freimer N.B., Widen E., Peltonen L., Elliott P., I.Mccarthy M., Jarvelin M.-R.",15537390,PLoS Genetics,5,3,2,4,9,3,16,0,18
2008,Traffic-related air pollution and asthma onset in children: A prospective cohort study with individual exposure measurement,"Jerrett M., Molitor J.T., Thomas D.C., Peters J., McConnell R., Shankardass K., Berhane K., Gauderman W.J., Kunzli N., Avol E., Gilliland F., Lurmann F., Molitor J.N.",916765,Environmental Health Perspectives,116,10,14,15,25,2,42,0,56
2008,New models for evaluation of radiation-induced lifetime cancer risk and its uncertainty employed in the UNSCEAR 2006 report,"Little M.P., Hoel D.G., Molitor J., Boice Jr. J.D., Wakeforde R., Muirhead C.R.",337587,Radiation Research,169,6,4,4,6,0,10,0,14
2007,Assessing uncertainty in spatial exposure models for air pollution health effects assessment,"Molitor J., Winer A., Thomas D., Jerrett M., Chang C.-C., Molitor N.-T., Gauderman J., Berhane K., McConnell R., Lurmann F., Wu J.",916765,Environmental Health Perspectives,115,8,10,4,1,1,6,0,16
2006,Bayesian modeling of air pollution health effects with missing exposure data,"Molitor J., Molitor N.-T., Jerrett M., McConnell R., Gauderman J., Berhane K., Thomas D.",29262,American Journal of Epidemiology,164,1,9,0,1,0,1,0,10
2006,Association mapping with single-feature polymorphisms,"Kim S., Zhao K., Jiang R., Molitor J., Borevitz J.O., Nordborg M., Marjoram P.",166731,Genetics,173,2,18,2,0,1,3,0,21
2005,Fine mapping - 19th century style,"Molitor J., Zhao K., Marjoram P.",14712156,BMC Genetics,6,1,4,0,0,0,0,0,4
2005,Genome-wide association mapping in Arabidopsis identifies previously known flowering time and pathogen resistance genes.,"Aranzana M.J., Tang C., Toomajian C., Traw B., Zheng H., Bergelson J., Dean C., Marjoram P., Nordborg M., Kim S., Zhao K., Bakker E., Horton M., Jakob K., Lister C., Molitor J., Shindo C.",15537404,PLoS genetics,1,5,62,29,25,8,62,0,124
2004,Haplotype structure and phenotypic associations in the chromosomal regions surrounding two Arabidopsis thaliana flowering time loci,"Hagenblad J., Tang C., Molitor J., Werner J., Zhao K., Zheng H., Marjoram P., Weigel D., Nordborg M.",166731,Genetics,168,3,34,4,1,0,5,0,39
2004,A survey of current Bayesian gene mapping methods.,"Molitor J., Marjoram P., Conti D., Thomas D.",14739542,Human genomics,1,5,5,0,0,0,0,0,5
2004,Effects of simultaneous over-expression of Cu/ZnSOD and MnSOD on Drosophila melanogaster life span,"Sun J., Molitor J., Tower J.",476374,Mechanisms of Ageing and Development,125,5,33,6,4,1,11,0,44
2003,Markov chain Monte Carlo without likelihoods,"Marjoram P., Molitor J., Plagnol V., Tavare S.",278424,Proceedings of the National Academy of Sciences of the United States of America,100,26,65,27,25,12,64,0,129
2003,Bayesian modeling of complex metabolic pathways,"Conti D.V., Cortessis V., Molitor J., Thomas D.C.",15652,Human Heredity,56, 1-3,41,9,2,1,12,0,53
2003,Bayesian spatial modeling of haplotype associations,"Thomas D.C., Stram D.O., Conti D., Molitor J., Marjoram P.",15652,Human Heredity,56, 1-3,24,4,0,1,5,0,29
2003,Fine-Scale Mapping of Disease Genes with Multiple Mutations via Spatial Clustering Techniques,"Molitor J., Marjoram P., Thomas D.",29297,American Journal of Human Genetics,73,6,55,4,0,0,4,0,59
2003,Application of Bayesian spatial statistical methods to analysis of haplotypes effects and gene mapping,"Molitor J., Marjoram P., Thomas D.",7410395,Genetic Epidemiology,25,2,24,2,2,0,4,0,28
2002,Bayesian analysis under ordered functions of parameters,"Molitor J., Sun D.",13528505,Environmental and Ecological Statistics,9,2,4,0,0,1,1,0,5
2001,"Criminals' explanations of their criminal behavior, III: The effects of time and context","Harry B., Molitor J., Hewett J., Reid J.",221198,Journal of Forensic Sciences,46,3,0,0,0,0,0,0,0
