,"This is a citation overview for a set of 148 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 24 (Of the 148 documents considered for the h-Index, 24 have been cited at least 24 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1403,254,229,74,557,0,1960
2009,"Falls, poisonings, burns, and road traffic injuries in urban peruvian children and adolescents: A community based study","Donroe J., Gilman R.H., Brugge D., Mwamburi M., Moore D.A.J.",13538047,"Injury Prevention",15, 6,0,0,3,2,5,0,5
2009,"Control methods for Dermanyssus gallinae in systems for laying hens: Results of an international seminar","Mul M., Van Niekerk T., Chirico J., Maurer V., Kilpinen O., Sparagano O., Thind B., Zoons J., Moore D., Bell B., Gjevre A.-G., Chauve C.",00439339,"World's Poultry Science Journal",65, 4,0,4,1,1,6,0,6
2009,"Implementing and sustaining a global process safety program","Arseneau C.A., Moore D.A., Hazzan M.J.",,"24th International Conference of the Center for Chemical Process Safety 2009 - Topical Conference at the 2009 AIChE Spring National Meeting",, ,0,0,0,0,0,0,0
2009,"Sputum PCR-single-strand conformational polymorphism test for same-day detection of pyrazinamide resistance in tuberculosis patients","Sheen P., Mendez M., Gilman R.H., Pena L., Caviedes L., Zimic M.J., Zhang Y., Moore D.A.J., Evans C.A.",00951137,"Journal of Clinical Microbiology",47, 9,0,1,5,1,7,0,7
2009,"Field and laboratory preparedness: Challenges to rolling out new multidrugresistant tuberculosis diagnostics","Griffin A.M.J., Caviedes L., Gilman R., Coronel J., Delgado F., Quispe M., Moore D.A.J.",10204989,"Revista Panamericana de Salud Publica/Pan American Journal of Public Health",26, 2,0,0,2,1,3,0,3
2009,"Characterization of fiber accumulation fouling in fine pitched heat sinks","Moore D.A.",10652221,"Annual IEEE Semiconductor Thermal Measurement and Management Symposium",, ,0,0,0,0,0,0,0
2009,"Can the power of mobile phones be used to improve tuberculosis diagnosis in developing countries?","Zimic M., Coronel J., Gilman R.H., Luna C.G., Curioso W.H., Moore D.A.J.",00359203,"Transactions of the Royal Society of Tropical Medicine and Hygiene",103, 6,2,5,4,1,10,0,12
2009,"Accelerator-based laboratory activities at USNA","Vanhoy J.R., Hartley D.J., Correll F.D., Moore D.M., Huddle J.R.",0094243X,"AIP Conference Proceedings",1099, ,0,0,1,0,1,0,1
2009,"Upper-room ultraviolet light and negative air ionization to prevent tuberculosis transmissio","Escombe A.R., Ramirez R., Quino W., Gonzalez A., Friedland J.S., Evans C.A., Moore D.A.J., Gilman R.H., Navincopa M., Ticona E., Mitchell B., Noakes C., Martinez C., Sheen P.",15491277,"PLoS Medicine",6, 3,3,8,8,1,17,0,20
2009,"Defuse CFATS challenges","Moore D.A., Leith H.M., Salamone L.",00092630,"Chemical Processing",72, 3,0,0,0,0,0,0,0
2009,"A review of the natural enemies of beetles in the subtribe Diabroticina (Coleoptera: Chrysomelidae): Implications for sustainable pest management","Toepfer S., Haye T., Erlandson M., Goettel M., Lundgren J.G., Kleespies R.G., Weber D.C., Walsh G.C., Peters A., Ehlers R.-U., Strasser H., Moore D., Keller S., Vidal S., Kuhlmann U.",09583157,"Biocontrol Science and Technology",19, 1,4,3,5,0,8,0,12
2008,"NASFM project on LNG vapor dispersion and source term modeling","Moore D.A., Fuller B.A., Salamone L.",,"Conference Proceedings - 2009 AIChE Spring National Meeting and 5th Global Congress on Process Safety",, ,0,0,0,0,0,0,0
2008,"Reducing the string test intra-gastric downtime for detection of Mycobacterium tuberculosis","Bae W.H., Salas A., Brady M.F., Coronel J., Colombo C.G.L., Castro B., Gilman R.H., Moore D.A.J.",10273719,"International Journal of Tuberculosis and Lung Disease",12, 12,1,0,4,0,4,0,5
2008,"Implementing and sustaining a global process safety program","Arseneau C.A., Moore D.A., Hazzan M.J.",,"Conference Proceedings - 2009 AIChE Spring National Meeting and 5th Global Congress on Process Safety",, ,0,0,0,0,0,0,0
2008,"Implementation of DHS chemical facility anti-terrorism standards","Moore D.A.",,"AIChE Annual Meeting, Conference Proceedings",, ,0,0,0,0,0,0,0
2008,"Tuberculosis in the developing world: Recent advances in diagnosis with special consideration of extensively drug-resistant tuberculosis","Grandjean L., Moore D.A.J.",09517375,"Current Opinion in Infectious Diseases",21, 5,5,7,4,0,11,0,16
2008,"Inter- and intra-assay reproducibility of microplate alamar blue assay results for isoniazid, rifampicin, ethambutol, streptomycin, ciprofloxacin, and capreomycin drug susceptibility testing of Mycobacterium tuberculosis","Leonard B., Coronel J., Siedner M., Grandjean L., Caviedes L., Navarro P., Gilman R.H., Moore D.A.J.",00951137,"Journal of Clinical Microbiology",46, 10,0,0,1,0,1,0,1
2008,"Surveillance for early silicosis in high altitude miners using pulse oximetry (International Journal of Occupational and Environmental Health 14, 3)","Donroe J.A., Zimic M., Moore D.A.J., Maurtua-Neumann P.J., Gilman R.H., Acosta A.T., Caine G., Parker J.E., Carhuaricra J.C.A., Padilla J.J.R., Mendoza D.",10773525,"International Journal of Occupational and Environmental Health",14, 4,0,0,0,0,0,0,0
2008,"The infectiousness of tuberculosis patients coinfected with HIV.","Escombe A.R., Gonzalez A., Noakes C.J., Friedland J.S., Evans C.A., Moore D.A., Gilman R.H., Pan W., Navincopa M., Ticona E., Martinez C., Caviedes L., Sheen P.",15491676,"PLoS medicine",5, 9,1,3,4,0,7,0,8
2008,"Pedestrian road traffic injuries in urban peruvian children and adolescents: Case control analyses of personal and environmental risk factors","Donroe J., Tincopa M., Gilman R.H., Brugge D., Moore D.A.J.",19326203,"PLoS ONE",3, 9,0,3,1,1,5,0,5
2008,"The infectiousness of tuberculosis patients coinfected with HIV","Escombe A.R., Gonzalez A., Noakes C.J., Friedland J.S., Evans C.A., Moore D.A.J., Gilman R.H., Pan W., Navincopa M., Ticona E., Martinez C., Caviedes L., Sheen P.",15491277,"PLoS Medicine",5, 9,5,4,5,1,10,0,15
2008,"The MODS method for diagnosis of tuberculosis and multidrug resistant tuberculosis","Brady M.F., Coronel J., Gilman R.H., Moore D.A.J.",1940087X,"Journal of Visualized Experiments",, 18,2,4,4,0,8,0,10
2008,"Surveillance for early silicosis in high altitude miners using pulse oximetry","Donroe J.A., Zimic M., Moore D.A.J., Maurtua-Neumann P.J., Gilman R.H., Acosta A.T., Cain G., Parker J.E., Carhuaricra J.C.A., Padilla J.J.R., Mendoza D.",10773525,"International Journal of Occupational and Environmental Health",14, 3,0,0,1,0,1,0,1
2008,"Advances in inherent safety guidance","Moore D.A., Hazzan M., Heller D., Hendershot D.C., Dowell III A.M.",10668527,"Process Safety Progress",27, 2,1,2,1,0,3,0,4
2008,"Improved diagnosis of pleural tuberculosis using the microscopic- observation drug-susceptibility technique (Clinical Infections Diseases (2008) 46, (909-912))","Tovar M., Evans C.A., Siedner M.J., Gilman R.H., Santillan C., Caviedes L., Valencia T., Jave O., Escombe A.R., Moore D.A.J.",10584838,"Clinical Infectious Diseases",46, 10,0,0,0,0,0,0,0
