,"This is a citation overview for a set of 53 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 17 (Of the 53 documents considered for the h-Index, 17 have been cited at least 17 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,333,229,250,479,152,964
2009,"A systems approach to errors","Nagpal K., Vats A., Vincent C., Moorthy K.",00396060,"Surgery",145, 6,0,0,0,0,0,0
2008,"Is health care getting safer?","Vincent C., Aylin P., Franklin B.D., Holmes A., Iskander S., Jacklin A., Moorthy K.",14685833,"BMJ (Clinical research ed.)",337, ,0,0,0,0,0,0
2008,"Is health care getting safer?","Vincent C., Aylin P., Franklin B.D., Holmes A., Iskander S., Jacklin A., Moorthy K.",09598146,"BMJ",337, 7680,0,0,0,0,4,4
2008,"Delayed presentation of diaphragmatic rupture as intra-thoracic gastric volvulus","Rafi M., Marudanayagam R., Moorthy K., Yoong K.",00264733,"Minerva Chirurgica",63, 5,0,0,0,0,0,0
2008,"Toward feasible, valid, and reliable video-based assessments of technical surgical skills in the operating room","Aggarwal R., Grantcharov T., Moorthy K., Milland T., Darzi A.",00034932,"Annals of Surgery",247, 2,0,0,0,0,5,5
2007,"With adequate supervision, the grade of the operating surgeon is not a determinant of outcome for patients undergoing urgent colorectal surgery","Hawkins W.J., Moorthy K.M., Tighe D., Yoong K., Patel R.T.",00358843,"Annals of the Royal College of Surgeons of England",89, 8,0,0,0,0,1,1
2007,"Curriculum-based solo virtual reality training for laparoscopic intracorporeal knot tying: objective assessment of the transfer of skill from virtual reality to reality","Munz Y., Almoudaris A.M., Moorthy K., Dosis A., Liddle A.D., Darzi A.W.",00029610,"American Journal of Surgery",193, 6,0,0,6,6,1,7
2007,"An evaluation of the feasibility, validity, and reliability of laparoscopic skills assessment in the operating room","Aggarwal R., Grantcharov T., Moorthy K., Milland T., Papasavas P., Dosis A., Bello F., Darzi A.",00034932,"Annals of Surgery",245, 6,0,0,4,4,2,6
2006,"Self-assessment of performance among surgical trainees during simulated procedures in a simulated operating theater","Moorthy K., Munz Y., Adams S., Pandey V., Darzi A.",00029610,"American Journal of Surgery",192, 1,0,2,8,10,4,14
2006,"Surgical crisis management skills training and assessment: A stimulation-based approach to enhancing operating room performance","Moorthy K., Munz Y., Forrest D., Pandey V., Undre S., Vincent C., Darzi A.",00034932,"Annals of Surgery",244, 1,0,6,10,16,6,22
2006,"Training junior operative residents in laparoscopic suturing skills is feasible and efficacious","Aggarwal R., Hance J., Undre S., Ratnasothy J., Moorthy K., Chang A., Darzi A.",00396060,"Surgery",139, 6,0,2,5,7,1,8
2006,"Technical skills continue to improve beyond surgical training","Pandey V., Wolfe J.H.N., Moorthy K., Munz Y., Jackson M.J., Darzi A.W.",07415214,"Journal of Vascular Surgery",43, 3,0,3,3,6,1,7
2006,"Objective assessment of small bowel anastomosis skill in trainee general surgeons and urologists","Shah J., Munz Y., Manson J., Moorthy K., Darzi A.",03642313,"World Journal of Surgery",30, 2,0,0,1,1,1,2
2006,"A competency-based virtual reality training curriculum for the acquisition of laparoscopic psychomotor skill","Aggarwal R., Grantcharov T., Moorthy K., Hance J., Darzi A.",00029610,"American Journal of Surgery",191, 1,2,8,14,22,6,30
2005,"A human factors analysis of technical and team skills among surgical trainees during procedural simulations in a simulated operating theatre","Moorthy K., Munz Y., Adams S., Pandey V., Darzi A.",00034932,"Annals of Surgery",242, 5,9,12,14,26,12,47
2005,"Assessment of psychomotor skills acquisition during laparoscopic cholecystectomy courses","Hance J., Aggarwal R., Moorthy K., Munz Y., Undre S., Darzi A.",00029610,"American Journal of Surgery",190, 3,2,1,4,5,0,7
2005,"The reliability of multiple objective measures of surgery and the role of human performance","Bann S., Davis I.M., Moorthy K., Munz Y., Hernandez J., Khan M., Datta V., Darzi A.",00029610,"American Journal of Surgery",189, 6,4,2,2,4,1,9
2005,"Simulation based training","Moorthy K., Vincent C., Darzi A.",09598146,"British Medical Journal",330, 7490,4,8,8,16,0,20
2005,"Synchronized video and motion analysis for the assessment of procedures in the operating theater","Dosis A., Aggarwal R., Bello F., Moorthy K., Munz Y., Gillies D., Darzi A.",00040010,"Archives of Surgery",140, 3,2,6,4,10,2,14
2004,"Laparoscopic skills training and assessment","Aggarwal R., Moorthy K., Darzi A.",00071323,"British Journal of Surgery",91, 12,31,17,25,42,18,91
2004,"Robot-assisted laparoscopic Heller cardiomyotomy: preliminary UK results","Undre S., Moorthy K., Munz Y., Aggarwal R., Hance J., Rockall T., Darzi A.",02534886,"Digestive Surgery",21, 5-6,0,2,1,3,0,3
2004,"Evaluation of the benefit of VR simulation in a multi-media web-based educational tool.","Moorthy K., Mansoori M., Bello F., Hance J., Undre S., Munz Y., Darzi A.",09269630,"Studies in health technology and informatics",98, ,0,0,1,1,0,1
2004,"Real-time synchronization of kinematic and video data for the comprehensive assessment of surgical skills.","Dosis A., Bello F., Moorthy K., Munz Y., Gillies D., Darzi A.",09269630,"Studies in health technology and informatics",98, ,1,6,2,8,0,9
2004,"Bimodal assessment of laparoscopic suturing skills: Construct and concurrent validity","Moorthy K., Munz Y., Dosis A., Bello F., Chang A., Darzi A.",09302794,"Surgical Endoscopy and Other Interventional Techniques",18, 11,1,2,5,7,3,11
2004,"An innovative method for the assessment of skills in lower gastrointestinal endoscopy","Moorthy K., Munz Y., Orchard T.R., Gould S., Rockall T., Darzi A.",09302794,"Surgical Endoscopy and Other Interventional Techniques",18, 11,2,0,3,3,0,5
2004,"The simulated operating theatre: Comprehensive training for surgical teams","Aggarwal R., Undre S., Moorthy K., Vincent C., Darzi A.",14753898,"Quality and Safety in Health Care",13, 1,14,15,12,27,6,47
2004,"Ceiling effect in technical skills of surgical residents","Munz Y., Moorthy K., Bann S., Shah J., Ivanova S., Darzi S.A.",00029610,"American Journal of Surgery",188, 3,2,4,2,6,1,9
