,"This is a citation overview for a set of 14 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 8 (Of the 14 documents considered for the h-Index, 8 have been cited at least 8 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,129,34,43,77,44,250
2009,"Researching breathlessness in palliative care: Consensus statement of the National Cancer Research Institute Palliative Care Breathlessness Subgroup","Dorman S., Byrne A., Wilcock A., Alloway L., Bausewein C., Higginson I., Booth S., Jolley C., Abernethy A., Currow D., Johnson M., Farquhar M., Griffiths G., Peel T., Moosavi S.",02692163,"Palliative Medicine",23, 3,0,0,0,0,0,0
2008,"The etiology and management of intractable breathlessness in patients with advanced cancer: A systematic review of pharmacological therapy","Booth S., Moosavi S.H., Higginson I.J.",17434254,"Nature Clinical Practice Oncology",5, 2,0,0,0,0,6,6
2007,"Effect of inhaled furosemide on air hunger induced in healthy humans","Moosavi S.H., Binks A.P., Lansing R.W., Topulos G.P., Banzett R.B., Schwartzstein R.M.",15699048,"Respiratory Physiology and Neurobiology",156, 1,0,2,8,10,7,17
2004,"Time course of air hunger mirrors the biphasic ventilatory response to hypoxia","Moosavi S.H., Banzett R.B., Butler J.P.",87507587,"Journal of Applied Physiology",97, 6,0,0,2,2,1,3
2003,"Measurement of dyspnea: Word labeled visual analog scale vs. verbal ordinal scale","Lansing R.W., Moosavi S.H., Banzett R.B.",15699048,"Respiratory Physiology and Neurobiology",134, 2,3,4,0,4,0,7
2003,"Hypoxic and hypercapnic drives to breathe generate equivalent levels of air hunger in humans","Moosavi S.H., Golestanian E., Binks A.P., Lansing R.W., Brown R., Banzett R.B.",87507587,"Journal of Applied Physiology",94, 1,14,9,11,20,7,41
2002,"Repeated exercise paired with ""imperceptible"" dead space loading does not alter V?E of subsequent exercise in humans","Moosavi S.H., Guz A., Adams L.",87507587,"Journal of Applied Physiology",92, 3,7,1,0,1,0,8
2002,"""Tightness"" sensation of asthma does not arise from the work of breathing","Binks A.P., Moosavi S.H., Banzett R.B., Schwartzstein R.M.",1073449X,"American Journal of Respiratory and Critical Care Medicine",165, 1,21,6,5,11,8,40
2001,"Central chemosensitivity and breathing asleep in unilateral medullary lesion patients: comparisons to animal data","Morrell M.J., Heywood P., Moosavi S.H., Stevens J., Guz A.",00345687,"Respiration Physiology",129, 1-2,8,3,0,3,1,12
2000,"Acute partial paralysis alters perceptions of air hunger, work and effort at constant P(CO2) and V?(E)","Moosavi S.H., Topulos G.P., Hafer A., Lansing R.W., Adams L., Brown R., Banzett R.B.",00345687,"Respiration Physiology",122, 1,6,4,2,6,5,17
2000,"Simple contrivance 'clamps' end-tidal PCO2 and PO2 despite rapid changes in ventilation","Banzett R.B., Garcia R.T., Moosavi S.H.",87507587,"Journal of Applied Physiology",88, 5,21,4,4,8,2,31
1999,"Unilateral focal lesions in the rostrolateral medulla influence chemosensitivity and breathing measured during wakefulness, sleep, and exercise","Morrell M.J., Heywood P., Moosavi S.H., Guz A., Stevens J.",00223050,"Journal of Neurology Neurosurgery and Psychiatry",67, 5,15,1,5,6,1,22
1999,"Corticospinal function in severe brain injury assessed using magnetic stimulation of the motor cortex in man","Moosavi S.H., Ellaway P.H., Catley M., Stokes M.J., Haque N.",0022510X,"Journal of the Neurological Sciences",164, 2,6,0,0,0,0,6
1995,"Imagination of dynamic exercise produced ventilatory responses which were more apparent in competitive sportsmen","Wuyam B., Moosavi S.H., Decety J., Adams L., Lansing R.W., Guz A.",00223751,"Journal of Physiology",482, 3,28,0,6,6,6,40
