,This is a citation overview for a set of 16 documents.,,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 7 (Of the 16 documents considered for the h-Index, 7 have been cited at least 7 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,119,50,42,92,28,239
2009,Six-transmembrane epithelial antigen of the prostate (STEAP1 and STEAP2)-Differentially expressed by murine and human mesenchymal stem cells,"Vaghjiani R.J., Talma S., Murphy C.L.",19373341,Tissue Engineering - Part A,15,8,0,0,0,0,0,0
2008,Hypoxia promotes the differentiated human articular chondrocyte phenotype through SOX9-dependent and -independent pathways,"Lafont J.E., Talma S., Hopfgarten C., Murphy C.L.",219258,Journal of Biological Chemistry,283,8,0,0,1,1,5,6
2007,Hypoxia-inducible factor 2? is essential for hypoxic induction of the human articular chondrocyte phenotype,"Lafont J.E., Talma S., Murphy C.L.",43591,Arthritis and Rheumatism,56,10,0,0,2,2,6,8
2006,Topographical variation in glycosaminoglycan content in human articular cartilage,"Rogers B.A., Murphy C.L., Cannon S.R., Briggs T.W.R.",0301620X,Journal of Bone and Joint Surgery - Series B,88,12,0,0,2,2,1,3
2006,Internal standards in differentiating embryonic stem cells in vitro.,Murphy C.L.,10643745,"Methods in molecular biology (Clifton, N.J.)",329, ,0,0,0,0,0,0
2005,Business statistics without tears: Simple analysis to demystify business data,Murphy C.,2663821,Business Information Review,22,3,1,0,0,0,0,1
2004,Chondrogenic differentiation of murine embryonic stem cells: Effects of culture conditions and dexamethasone,"Tanaka H., Murphy C.L., Murphie C., Kimura M., Kawai S., Polak J.M.",7302312,Journal of Cellular Biochemistry,93,3,15,12,9,21,6,42
2004,Control of Human Articular Chondrocyte Differentiation by Reduced Oxygen Tension,"Murphy C.L., Polak J.M.",219541,Journal of Cellular Physiology,199,3,15,12,11,23,1,39
2002,Sulphorhodamine-B-labelled albumin uptake around the ostium of the renal artery in rabbits: Changes with age,"Murphy C.L., Lever M.J.",10181172,Journal of Vascular Research,39,2,3,0,0,0,0,3
2002,A ratiometric method of autofluorescence correction used for the quantification of evans blue dye fluorescence in rabbit arterial tissues,"Murphy C.L., Lever M.J.",9580670,Experimental Physiology,87,2,3,1,0,1,0,4
2002,Refractive error and visual outcome after cataract extraction,"Murphy C., Tuft S.J., Minassian D.C.",8863350,Journal of Cataract and Refractive Surgery,28,1,18,5,5,10,2,30
2002,"Differentiating embryonic stem cells: GAPDH, but neither HPRT nor ?-tubulin is suitable as an internal standard for measuring RNA levels","Murphy C.L., Polak J.M.",10763279,Tissue Engineering,8,4,19,4,6,10,1,30
2001,Effect of oxygen tension and alginate encapsulation on restoration of the differentiated phenotype of passaged chondrocytes,"Murphy C.L., Sambanis A.",10763279,Tissue Engineering,7,6,32,12,5,17,4,53
2001,Effect of oxygen tension on chondrocyte extracellular matrix accumulation,"Murphy C.L., Sambanis A.",3008207,Connective Tissue Research,42,2,13,4,1,5,2,20
2000,Effect of oxygen tension and alginate encapsulation on restoration of the differentiated phenotype of passaged chondrocytes,"Murphy C., Sambanis A.",,"Second Smith and Nephew International Symposium - Tissue Engineering 2000: Advances in Tissue Engineering, Biomaterials and Cell Signalling",, ,0,0,0,0,0,0
1997,Transport of plasma proteins into the artery wall around the renal bifurcation: Relationship to blood flow patterns,"Murphy C.L., Lever M.J.",10716947,"American Society of Mechanical Engineers, Bioengineering Division (Publication) BED",35, ,0,0,0,0,0,0
