,"This is a citation overview for a set of 155 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 48 (Of the 155 documents considered for the h-Index, 48 have been cited at least 48 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,6373,1053,966,358,2377,0,8750
2009,"Subcutaneous injection of kisspeptin-54 acutely stimulates gonadotropin secretion in women with hypothalamic amenorrhea, but chronic administration causes tachyphylaxis","Jayasena C.N., Ramachandran R., Salem V., Stamp G.W., Donaldson M., Ghatei M.A., Bloom S.R., Dhillo W.S., Nijher G.M.K., Chaudhri O.B., Murphy K.G., Ranger A., Lim A., Patel D., Mehta A., Todd C.",0021972X,"Journal of Clinical Endocrinology and Metabolism",94, 11,1,9,11,1,21,0,22
2009,"Experimental design","Garavan H., Murphy K.",08932336,"Neuromethods",41, ,0,0,0,0,0,0,0
2009,"fMRI in the presence of task-correlated breathing variations","Birn R.M., Murphy K., Handwerker D.A., Bandettini P.A.",10538119,"NeuroImage",47, 3,2,2,9,2,13,0,15
2009,"Hypothalamic injection of oxyntomodulin suppresses circulating ghrelin-like immunoreactivity","Patterson M., Bloom S.R., Murphy K.G., Patel S.R., Patel N.A., Greenwood H.C., Cooke J.H., Campbell D., Bewick G.A., Ghatei M.A.",00137227,"Endocrinology",150, 8,0,4,1,0,5,0,5
2009,"Sustained appetite improvement in malnourished dialysis patients by daily ghrelin treatment","Ashby D.R., Tam F.W.K., Bloom S.R., Choi P., Ford H.E., Wynne K.J., Wren A.M., Murphy K.G., Busbridge M., Brown E.A., Taube D.H., Ghatei M.A.",00852538,"Kidney International",76, 2,3,12,18,5,35,0,38
2009,"Coordinated changes in energy intake and expenditure following hypothalamic administration of neuropeptides involved in energy balance","Semjonous N.M., Smith K.L., Parkinson J.R.C., Gunner D.J.L., Liu Y.-L., Murphy K.G., Ghatei M.A., Bloom S.R., Small C.J.",03070565,"International Journal of Obesity",33, 7,1,6,8,2,16,0,17
2009,"Learning from errors: Error-related neural activity predicts improvements in future inhibitory control performance","Hester R., Madeley J., Murphy K., Mattingley J.B.",02706474,"Journal of Neuroscience",29, 22,0,1,3,1,5,0,5
2009,"Peripheral and central administration of xenin and neurotensin suppress food intake in rodents","Cooke J.H., Patterson M., Patel S.R., Smith K.L., Ghatei M.A., Bloom S.R., Murphy K.G.",19307381,"Obesity",17, 6,0,6,3,0,9,0,9
2009,"Plasma hepcidin levels are elevated but responsive to erythropoietin therapy in renal disease","Ashby D.R., Chapman R.S., Maxwell P.H., Choi P., Gale D.P., Busbridge M., Murphy K.G., Duncan N.D., Cairns T.D., Taube D.H., Bloom S.R., Tam F.W.K.",00852538,"Kidney International",75, 9,18,32,19,7,58,0,76
2009,"Investigation of structure-activity relationships of oxyntomodulin (Oxm) using oxm analogs","Druce M.R., Bloom S.R., Minnion J.S., Field B.C.T., Patel S.R., Shillito J.C., Tilby M., Beale K.E.L., Murphy K.G., Ghatei M.A.",00137227,"Endocrinology",150, 4,3,10,5,1,16,0,19
2009,"The thyroid hormone derivative 3-iodothyronamine increases food intake in rodents","Dhillo W.S., Scutt J.N., Armstrong A., Ghatei M.A., Bloom S.R., Bewick G.A., White N.E., Gardiner J.V., Thompson E.L., Bataveljic A., Murphy K.G., Roy D., Patel N.A.",14628902,"Diabetes, Obesity and Metabolism",11, 3,1,6,2,2,10,0,11
2009,"Kisspeptin-54 at high doses acutely induces testicular degeneration in adult male rats via central mechanisms","Thompson E.L., Amber V., Stamp G.W.H., Patterson M., Curtis A.E., Cooke J.H., Appleby G.F., Dhillo W.S., Ghatei M.A., Bloom S.R., Murphy K.G.",00071188,"British Journal of Pharmacology",156, 4,0,2,4,0,6,0,6
2009,"The impact of global signal regression on resting state correlations: Are anti-correlated networks introduced?","Murphy K., Birn R.M., Handwerker D.A., Jones T.B., Bandettini P.A.",10538119,"NeuroImage",44, 3,19,51,64,33,148,0,167
2009,"Prefrontal and midline interactions mediating behavioural control","Fassbender C., Hester R., Murphy K., Foxe J.J., Foxe D.M., Garavan H.",0953816X,"European Journal of Neuroscience",29, 1,0,4,6,2,12,0,12
