,"This is a citation overview for a set of 50 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 10 (Of the 50 documents considered for the h-Index, 10 have been cited at least 10 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,2009,subtotal,>2009,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,149,56,42,38,136,0,285
2009,"Invasive Potential of Human Rheumatoid Tenosynovial Cells Is in Part MT1-MMP Dependent","Jain A., Miller M.-C., Troeberg L., Itoh Y., Brennan F., Nanchahal J.",03635023,"Journal of Hand Surgery",34, 7,0,0,0,0,0,0,0
2009,"The ortho-plastic management of Gustilo grade IIIB fractures of the tibia in children: A systematic review of the literature","Glass G.E., Pearse M., Nanchahal J.",00201383,"Injury",40, 8,0,0,0,0,0,0,0
2009,"Improving lower limb salvage following fractures with vascular injury: a systematic review and new management algorithm","Glass G.E., Pearse M.F., Nanchahal J.",17486815,"Journal of Plastic, Reconstructive and Aesthetic Surgery",62, 5,0,0,0,0,0,0,0
2009,"Membrane type 1 matrix metalloproteinase is a crucial promoter of synovial invasion in human rheumatoid arthritis","Miller M.-C., Nagase H., Itoh Y., Manning H.B., Jain A., Troeberg L., Dudhia J., Essex D., Sandison A., Seiki M., Nanchahal J.",00043591,"Arthritis and Rheumatism",60, 3,0,0,0,1,1,0,1
2008,"Comparison of the healing of open tibial fractures covered with either muscle or fasciocutaneous tissue in a murine model","Harry L.E., Sandison A., Paleolog E.M., Hansen U., Pearse M.F., Nanchahal J.",07360266,"Journal of Orthopaedic Research",26, 9,0,0,0,2,2,0,2
2008,"Comparison of zones 1 to 4 flexor tendon repairs using absorbable and unabsorbable four-strand core sutures","Caulfield R.H., Maleki-Tabrizi A., Patel H., Coldham F., Mee S., Nanchahal J.",17531934,"Journal of Hand Surgery: European Volume",33, 4,0,0,1,1,2,0,2
2008,"Acute compartment syndrome: Reducing the risk","Pearse M.F., Nanchahal J.",13562622,"Clinical Risk",14, 3,0,0,0,0,0,0,0
2007,"Management of severe open ankle injuries","Khan U., Smitham P., Pearse M., Nanchahal J.",00321052,"Plastic and Reconstructive Surgery",119, 2,0,0,0,0,0,0,0
2007,"Predicting the Outcome of Surgery for the Proximal Interphalangeal Joint in Dupuytren's Disease","Misra A., Jain A., Ghazanfar R., Johnston T., Nanchahal J.",03635023,"Journal of Hand Surgery",32, 2,0,0,1,0,1,0,1
