,"This is a citation overview for a set of 17 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 10 (Of the 17 documents considered for the h-Index, 10 have been cited at least 10 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,243,85,77,23,185,0,428
2009,"The promiscuous receptor","Newsom-Davis T.E., Kenny L.M., Ngan S., King J., Waxman J.",14644096,"BJU International",104, 9,0,1,0,0,1,0,1
2009,"Immunotherapy for HIV-associated non-Hodgkin's lymphoma","Newsom-Davis T., Ahamed E., Bower M.",14712598,"Expert Opinion on Biological Therapy",9, 10,0,0,1,0,1,0,1
2009,"The effect of HAART in 254 consecutive patients with AIDS-related Kaposi's sarcoma","Bower M., Weir J., Francis N., Newsom-Davis T., Powles S., Crook T., Boffito M., Gazzard B., Nelson M.",02699370,"AIDS",23, 13,0,3,7,0,10,0,10
2009,"Voodoo dolls and the cancer patient: Patients do trust their doctors","Newsom-Davis T., Kenny L., Al-Shakarchi I., George J., Wong E., Waxman J.",14602725,"QJM",102, 5,1,1,2,1,4,0,5
2009,"Is TRAIL the holy grail of cancer therapy?","Newsom-Davis T., Prieske S., Walczak H.",13608185,"Apoptosis",14, 4,4,17,10,3,30,0,34
2009,"Enhanced immune recognition of cryptic glycan markers in human tumors","Newsom-Davis T.E., Wang D., Steinman L., Chen P.F.-T., Wang L.-X., Simon A.K., Screaton G.R.",00085472,"Cancer Research",69, 5,2,1,6,1,8,0,10
2008,"Generation of tumour-rejecting anti-carbohydrate monoclonal antibodies using melanoma modified with Fas ligand","Simon A.K., Newsom-Davis T., Frayne M.E.F., Ch'en P.F.-T., McMichael A.J., Screaton G.R.",09538178,"International Immunology",20, 4,1,0,0,0,0,0,1
2007,"Brief communication: Rituximab in HIV-associated multicentric Castleman disease","Bower M., Nelson M., Gazzard B., Stebbing J., Kelleher P., Powles T., Williams S., Newsom Davis T., Atkins M., Montoto S., Orkin C., Webb A., Fisher M.",00034819,"Annals of Internal Medicine",147, 12,20,14,14,8,36,0,56
2006,"Pulmonary Kaposi sarcoma in the era of highly active antiretroviral therapy","Palmieri C., Dhillon T., Thirlwell C., Newsom-Davis T., Young A.-M., Nelson M., Gazzard B.G., Bower M.",14642662,"HIV Medicine",7, 5,5,0,1,1,2,0,7
2006,"Erratum: A prognostic index for systemic AIDS-related non-Hodgkin lymphoma treated in the era of highly active antiretroviral therapy (Annals of Internal Medicine (2005) 143 (265-273))","Bower M., Gazzard B., Mandalia S., Newsom-Davis T., Thirlwell C., Dhillon T.",00034819,"Annals of Internal Medicine",144, 8,0,0,0,0,0,0,0
2005,"Immune reconstitution inflammatory syndrome associated with Kaposi's sarcoma","Bower M., Stebbing J., Nelson M., Young A.M., Thirlwell C., Newsom-Davis T., Mandalia S., Dhillon T., Holmes P., Gazzard B.G.",0732183X,"Journal of Clinical Oncology",23, 22,56,14,15,1,30,0,86
2005,"A prognostic index for systemic AIDS-related non-Hodgkin lymphoma treated in the era of highly active antiretroviral therapy","Bower M., Nelson M., Stebbing J., Gazzard B., Mandalia S., Newsom-Davis T., Thirlwell C., Dhillon T., Young A.M., Powles T., Gaya A.",00034819,"Annals of Internal Medicine",143, 4,43,12,6,3,21,0,64
2004,"HIV-associated anal cancer: Has highly active antiretroviral therapy reduced the incidence or improved the outcome?","Bower M., Powles T., Newsom-Davis T., Thirlwell C., Stebbing J., Mandalia S., Nelson M., Gazzard B.",15254135,"Journal of Acquired Immune Deficiency Syndromes",37, 5,61,16,11,1,28,0,89
2004,"Resolution of AIDS-related Castleman's disease with anti-CD20 monoclonal antibodies is associated with declining IL-6 and TNF-? levels","Newsom-Davis T., Bower M., Wildfire A., Thirlwell C., Nelson M., Gazzard B., Stebbing J.",10428194,"Leukemia and Lymphoma",45, 9,18,1,2,1,4,0,22
2004,"Hepatitis B reactivation during combination chemotherapy for AIDS-related lymphoma is uncommon and does not adversely affect outcome [4]","Stebbing J., Atkins M., Nelson M., Rajpopat S., Newsom-Davis T., Gazzard B., Bower M.",00064971,"Blood",103, 6,4,0,0,0,0,0,4
2004,"Nadir B cell counts are significantly correlated with the risk of Kaposi's sarcoma","Stebbing J., Gazzard B., Newsom-Davis T., Nelson M., Patterson S., Gotch F., Mandalia S., Bower M.",00207136,"International Journal of Cancer",108, 3,11,1,1,1,3,0,14
2003,"Does HIV adversely influence the outcome in advanced non-small-cell lung cancer in the era of HAART?","Powles T., Thirwell C., Newsom-Davis T., Nelson M., Shah P., Cox S., Gazzard B., Bower M.",00070920,"British Journal of Cancer",89, 3,17,4,1,2,7,0,24
