,"This is a citation overview for a set of 20 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 13 (Of the 20 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,395,156,182,59,397,0,792
2009,"Characterisation of pncA mutations in clinical Mycobacterium tuberculosis isolates in New Zealand","Pandey S., Newton S., Upton A., Roberts S., Drinkovi D.",00313025,"Pathology",41, 6,0,1,3,1,5,0,5
2009,"1?,25-dihydroxyvitamin D 3 inhibits matrix metalloproteinases induced by Mycobacterium tuberculosis infection","Coussens A., Timms P.M., Boucher B.J., Venton T.R., Ashcroft A.T., Skolimowska K.H., Newton S.M., Wilkinson K.A., Davidson R.N., Griffiths C.J., Wilkinson R.J., Martineau A.R.",00192805,"Immunology",127, 4,1,7,13,3,23,0,24
2009,"Genetic determination of the effect of post-translational modification on the innate immune response to the 19 kDa lipoprotein of Mycobacterium tuberculosis","Wilkinson K.A., Wilkinson R.J., Newton S.M., Stewart G.R., Martineau A.R., Patel J., Sullivan S.M., Herrmann J.-L., Neyrolles O., Young D.B.",14712180,"BMC Microbiology",9, ,0,0,1,0,1,0,1
2009,"Evolution of central nervous system multidrug-resistant Mycobacterium tuberculosis and late relapse of cryptic prosthetic hip joint tuberculosis: Complications during treatment of disseminated isoniazid-resistant tuberculosis in an immunocompromised host","Upton A., Woodhouse A., Vaughan R., Newton S., Ellis-Pegler R.",00951137,"Journal of Clinical Microbiology",47, 2,1,2,1,0,3,0,4
2008,"Paediatric tuberculosis","Newton S.M., Brent A.J., Anderson S., Whittaker E., Kampmann B.",14733099,"The Lancet Infectious Diseases",8, 8,20,26,34,13,73,0,93
2008,"Reduction of chemokine secretion in response to mycobacteria in infliximab-treated patients","Newton S.M., Mackie S.L., Martineau A.R., Wilkinson K.A., Kampmann B., Fisher C., Dutta S., Levin M., Wilkinson R.J., Pasvol G.",15566811,"Clinical and Vaccine Immunology",15, 3,4,0,3,0,3,0,7
