,"This is a citation overview for a set of 492 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 80 (Of the 492 documents considered for the h-Index, 80 have been cited at least 80 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,17250,2896,3297,1086,7279,0,24529
2009,"A QSAR investigation of dermal and respiratory chemical sensitizers based on computational chemistry properties","Warne M.A., Nicholson J.K., Lindon J.C., Guiney P.D., Gartland K.P.R.",1062936X,"SAR and QSAR in Environmental Research",20, 5-6,0,0,1,0,1,0,1
2009,"Chemical shift calibration of 1HMAS NMR liver tissue spectra exemplified using a study of glycine protection of galactosamine toxicity","Hong Y.-S., Coen M., Rhode C.M., Reily M.D., Robertson D.G., Holmes E., Lindon J.C., Nicholson J.K.",07491581,"Magnetic Resonance in Chemistry",47, 1,0,1,3,0,4,0,4
2009,"Metabonomic investigations into the global biochemical sequelae of exposure to the pancreatic toxin 1-cyano-2-hydroxy-3-butene in the rat","Bohus E., Holmes E., Lindon J.C., Nicholson J.K., Racz A., Noszal B., Coen M., Beckonert O., Keun H.C., Ebbels T.M.D., Cantor G.H., Wijsman J.A.",07491581,"Magnetic Resonance in Chemistry",47, 1,0,2,5,1,8,0,8
2009,"The influence of EDTA and citrate anticoagulant addition to human plasma on information recovery from NMR-based metabolic profiling studies","Barton R.H., Waterman D., Bonner F.W., Holmes E., Clarke R., Nicholson J.K., Lindon J.C.",1742206X,"Molecular BioSystems",6, 1,0,0,2,1,3,0,3
2009,"First example of hepatocyte transplantation to alleviate ornithine transcarbamylase deficiency, monitored by NMR-based metabonomics.","Legido-Quigley C., Cloarec O., Parker D.A., Murphy G.M., Holmes E., Lindon J.C., Nicholson J.K., Mitry R.R., Vilca-Melendez H., Rela M., Dhawan A., Heaton N.",17576199,"Bioanalysis",1, 9,0,0,0,1,1,0,1
2009,"Mechanistic aspects and novel biomarkers of responder and non-responder phenotypes in galactosamine-induced hepatitis","Coen M., Reily M.D., Holmes E., Lindon J.C., Nicholson J.K., Want E.J., Clayton T.A., Rhode C.M., Young S.H., Keun H.C., Cantor G.H., Metz A.L., Robertson D.G.",15353893,"Journal of Proteome Research",8, 11,0,4,7,3,14,0,14
2009,"Pharmacometabonomic identification of a significant host-microbiome metabolic interaction affecting human drug metabolism","Clayton T.A., Baker D., Lindon J.C., Everett J.R., Nicholson J.K.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",106, 34,2,25,34,15,74,0,76
2009,"The role of gut microbiota in drug response","Wilson I.D., Nicholson J.K.",13816128,"Current Pharmaceutical Design",15, 13,3,8,5,4,17,0,20
2009,"The gut microbiota as a target for improved surgical outcome and improved patient care","Kinross J., von Roon A.C., Penney N., Holmes E., Silk D., Nicholson J.K., Darzi A.",13816128,"Current Pharmaceutical Design",15, 13,1,4,7,2,13,0,14
2009,"Cluster analysis statistical spectroscopy using nuclear magnetic resonance generated metabolic data sets from perturbed biological systems","Robinette S.L., Nicholson J.K., Veselkov K.A., Bohus E., Coen M., Keun H.C., Ebbels T.M.D., Beckonert O., Holmes E.C., Lindon J.C.",00032700,"Analytical Chemistry",81, 16,0,2,4,0,6,0,6
