,"This is a citation overview for a set of 240 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 44 (Of the 240 documents considered for the h-Index, 44 have been cited at least 44 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,5805,1250,1348,374,2972,0,8777
2009,"Highlights of the 2009 Scientific Sessions of the European Society of Cardiology","Bax J.J., Rademakers F., Rosenhek R., Vardas P.E., Pinto F.J., Ferrari R., Casadei B., Di Mario C., Fagard R., Filippatos G., Fox K.A.A., Metra M., Nihoyannopoulos P., Perk J.",07351097,"Journal of the American College of Cardiology",54, 25,0,1,2,1,4,0,4
2009,"Restrictive cardiomyopathies","Nihoyannopoulos P., Dawson D.",15252167,"European Journal of Echocardiography",10, 8,0,2,4,3,9,0,9
2009,"Enfektif endokardit tani, önleme ve tedavi kilavuzu (2009 güncellemesi)","Habib G., Hoen B., Tornos P., Thuny F., Prendergast B., Vilacosta I., Moreillon P., De Jesus Antunes M., Thilen U., Lekakis J., Lengyel M., Muller L., Naber C.K., Nihoyannopoulos P., Moritz A., Zamorano J.L., Vahanian A., Auricchio A., Bax J., Ceconi C., Dean V., Filippatos G., Funck-Brentano C., Hobbs R., Kearney P., McDonagh T., McGregor K., Popescu B.A., Reiner Z., Sechtem U., Sirnes P.A., Tendera M., Vardas P., Widimsky P., Aguilar R., Bongiorni M.G., Borger M., Butchart E., Danchin N., Delahaye F., Erbel R., Franzen D., Gould K., Hall R., Hassager C., Kjeldsen K., McManus R., Miro J.M., Mokracek A., Rosenhek R., San Roman Calvar J.A., Seferovic P., Selton-Suty C., Uva M.S., Trinchero R., Van Camp G.",10165169,"Turk Kardiyoloji Dernegi Arsivi",37, 8,0,0,0,0,0,0,0
2009,"Guía de práctica clínica para prevención, diagnóstico y tratamiento de la endocarditis infecciosa (nueva versión 2009)","Habib G., Lekakis J., Lengyel M., Muller L., Naber C.K., Nihoyannopoulos P., Moritz A., Luis Zamorano J., Hoen B., Tornos P., Thuny F., Prendergast B., Vilacosta I., Moreillon P., de Jesus Antunes M., Thilen U.",03008932,"Revista Espanola de Cardiologia",62, 12,0,2,0,1,3,0,3
2009,"European Association of Echocardiography recommendations for training, competence, and quality improvement in echocardiography","Popescu B.A., Nihoyannopoulos P., Zamorano J.L., Derumeaux G., Kasprzak J.D., Roelandt J.R.T.C., Andrade M.J., Badano L.P., Fox K.F., Flachskampf F.A., Lancellotti P., Varga A., Sicari R., Evangelista A.",15252167,"European Journal of Echocardiography",10, 8,0,9,12,4,25,0,25
2009,"The use of real-time three-dimensional echocardiography for assessing mechanical synchronicity","Liodakis E., Al Sharef O., Dawson D., Nihoyannopoulos P.",13556037,"Heart",95, 22,0,2,6,2,10,0,10
2009,"Real-time three dimensional echocardiography: Current and future clinical applications","Marsan N.A., Tops L.F., Nihoyannopoulos P., Holman E.R., Bax J.J.",13556037,"Heart",95, 22,0,1,3,2,6,0,6
2009,"3-Dimensional Echocardiographic Assessment of Left Ventricular Dyssynchrony. An Alternative Viewpoint","Monaghan M., Bax J., Franke A., Kamp O., Kuehl H., Nihoyannopoulos P., TenCate F.",1936878X,"JACC: Cardiovascular Imaging",2, 11,1,0,1,0,1,0,2
2009,"Local restoration of dystrophin expression with the morpholino oligomer AVI-4658 in Duchenne muscular dystrophy: a single-blind, placebo-controlled, dose-escalation, proof-of-concept study","Kinali M., Nihoyannopoulos P., Garralda M.E., Rutherford M., Mcculley C., Popplewell L., Graham I.R., Dickson G., Wood M.J., Wells D.J., Wilton S.D., Arechavala-Gomeza V., Kole R., Straub V., Bushby K., Sewry C., Morgan J.E., Muntoni F., Feng L., Cirak S., Hunt D., Adkin C., Guglieri M., Ashton E., Abbs S.",14744422,"The Lancet Neurology",8, 10,4,52,68,32,152,0,156
2009,"Guidelines on the prevention, diagnosis, and treatment of infective endocarditis (new version 2009)","Habib G., Hoen B., Tornos P., Thuny F., Prendergast B., Vilacosta I., Moreillon P., De Jesus Antunes M., Thilen U., Lekakis J., Lengyel M., Muller L., Naber C.K., Nihoyannopoulos P., Moritz A., Zamorano J.L., Vahanian A., Auricchio A., Bax J., Ceconi C., Dean V., Filippatos G., Funck-Brentano C., Hobbs R., Kearney P., McDonagh T., McGregor K., Popescu B.A., Reiner Z., Sechtem U., Sirnes P.A., Tendera M., Vardas P., Widimsky P., Aguilar R., Bongiorni M.G., Borger M., Butchart E., Danchin N., Delahaye F., Erbel R., Franzen D., Gould K., Hall R., Hassager C., Kjeldsen K., McManus R., Miro J.M., Mokracek A., Rosenhek R., San Roman Calvar J.A., Seferovic P., Selton-Suty C., Uva M.S., Trinchero R., Van Camp G.",0195668X,"European Heart Journal",30, 19,4,84,106,37,227,0,231
2009,"Left atrial size: A structural expression of abnormal left ventricular segmental relaxation evaluated by strain echocardiography","Pavlopoulos H., Nihoyannopoulos P.",15252167,"European Journal of Echocardiography",10, 7,0,0,2,0,2,0,2
2009,"Regional left ventricular distribution of abnormal segmental relaxation evaluated by strain echocardiography and the incremental value over annular diastolic velocities in hypertensive patients with normal global diastolic function","Pavlopoulos H., Nihoyannopoulos P.",15252167,"European Journal of Echocardiography",10, 5,1,1,2,0,3,0,4
2009,"Pulse pressure/stroke volume: A surrogate index of arterial stiffness and the relation to segmental relaxation and longitudinal systolic deformation in hypertensive disease","Pavlopoulos H., Nihoyannopoulos P.",15252167,"European Journal of Echocardiography",10, 4,0,1,1,0,2,0,2
2009,"Contrast echocardiography: Evidence-based recommendations by European Association of Echocardiography","Senior R., Becher H., Monaghan M., Agati L., Zamorano J., Vanoverschelde J.L., Nihoyannopoulos P.",15252167,"European Journal of Echocardiography",10, 2,6,24,26,5,55,0,61
2009,"Stress Echocardiography Expert Consensus Statement - Executive Summary: European Association of Echocardiography (EAE) (a registered branch of the ESC)","Sicari R., Nihoyannopoulos P., Evangelista A., Kasprzak J., Lancellotti P., Poldermans D., Voigt J.-U., Zamorano J.L.",0195668X,"European Heart Journal",30, 3,5,14,13,2,29,0,34
2008,"The evolution of diastolic dysfunction in the hypertensive disease","Pavlopoulos H., Grapsa J., Stefanadi E., Kamperidis V., Philippou E., Dawson D., Nihoyannopoulos P.",15252167,"European Journal of Echocardiography",9, 6,3,3,0,1,4,0,7
2008,"Is it only diastolic dysfunction? Segmental relaxation patterns and longitudinal systolic deformation in systemic hypertension","Pavlopoulos H., Grapsa J., Stefanadi E., Philippou E., Dawson D., Nihoyannopoulos P.",15252167,"European Journal of Echocardiography",9, 6,2,2,4,0,6,0,8
2008,"Guidelines on the diagnosis and management of acute pulmonary embolism","Torbicki A., Perrier A., Konstantinides S., Agnelli G., Galie N., Pruszczyk P., Bengel F., Brady A.J.B., Ferreira D., Janssens U., Klepetko W., Mayer E., Remy-Jardin M., Bassand J.-P., Vahanian A., Camm J., De Caterina R., Dean V., Dickstein K., Filippatos G., Funck-Brentano C., Hellemans I., Kristensen S.D., McGregor K., Sechtem U., Silber S., Tendera M., Widimsky P., Zamorano J.L., Andreotti F., Ascherman M., Athanassopoulos G., De Sutter J., Fitzmaurice D., Forster T., Heras M., Jondeau G., Kjeldsen K., Knuuti J., Lang I., Lenzen M., Lopez-Sendon J., Nihoyannopoulos P., Perez Isla L., Schwehr U., Torraca L., Vachiery J.-L.",0195668X,"European Heart Journal",29, 18,97,161,182,66,409,0,506
2008,"Abnormal Segmental Relaxation Patterns in Hypertensive Disease and Symptomatic Diastolic Dysfunction Detected by Strain Echocardiography","Pavlopoulos H., Nihoyannopoulos P.",08947317,"Journal of the American Society of Echocardiography",21, 8,7,0,3,0,3,0,10
2008,"Additive prognostic value of interleukin-6 at peak phase of dobutamine stress echocardiography in patients with coronary artery disease. A 6-year follow-up study","Ikonomidis I., Nihoyannopoulos P., Athanassopoulos G., Stamatelopoulos K., Lekakis J., Revela I., Venetsanou K., Marinou M., Monaco C., Cokkinos D.V.",00028703,"American Heart Journal",156, 2,1,2,1,0,3,0,4
2008,"Stress echocardiography expert consensus statement","Sicari R., Nihoyannopoulos P., Evangelista A., Kasprzak J., Lancellotti P., Poldermans D., Voigt J.-U., Zamorano J.L.",15252167,"European Journal of Echocardiography",9, 4,35,37,33,4,74,0,109
2008,"European Association of Echocardiography recommendations for standardization of performance, digital storage and reporting of echocardiographic studies","Evangelista A., Flachskampf F., Lancellotti P., Badano L., Aguilar R., Monaghan M., Zamorano J., Nihoyannopoulos P.",15252167,"European Journal of Echocardiography",9, 4,4,13,18,3,34,0,38
2008,"Strain and strain rate deformation parameters: From tissue Doppler to 2D speckle tracking","Pavlopoulos H., Nihoyannopoulos P.",15695794,"International Journal of Cardiovascular Imaging",24, 5,11,10,12,5,27,0,38
2008,"The association of coronary flow changes and inflammatory indices to ischaemia-reperfusion microvascular damage and left ventricular remodelling","Bramos D., Ikonomidis I., Tsirikos N., Kottis G., Kostopoulou V., Pamboucas C., Papadopoulou E., Venetsanou K., Giatrakos N., Yang G.-Z., Nihoyannopoulos P., Toumanidis S.",03008428,"Basic Research in Cardiology",103, 4,4,3,6,2,11,0,15
2008,"Results of the predictors of response to crt (prospect) trial","Chung E.S., Leon A.R., Tavazzi L., Sun J.-P., Nihoyannopoulos P., Merlino J., Abraham W.T., Ghio S., Leclercq C., Bax J.J., Yu C.-M., Gorcsan III J., Sutton M.S.J., Sutter J.D., Murillo J.",00097322,"Circulation",117, 20,236,167,190,45,402,0,638
2008,"The constellation of hypertensive heart disease","Pavlopoulos H., Nihoyannopoulos P.",10117970,"Hellenic Journal of Cardiology",49, 2,3,0,1,0,1,0,4
2008,"Anti-androgens increase N-terminal pro-BNP levels in men with prostate cancer","Dockery F., Bulpitt C.J., Agarwal S., Vernon C., Nihoyannopoulos P., Kemp M., Hooper J., Rajkumar C.",03000664,"Clinical Endocrinology",68, 1,3,1,4,2,7,0,10
2007,"Clinical practice 2007: echocardiography 2007.","Nihoyannopoulos P.",15790789,"Timely topics in medicine. Cardiovascular diseases",11, ,0,0,0,0,0,0,0
2007,"Viewpoint: Petros Nihoyannopoulos, MD, FRCP, FESC. Interview by Monika Polak.","Nihoyannopoulos P.",15244539,"Circulation",116, 22,0,0,0,0,0,0,0
2007,"Optimal use of echocardiography in cardiac resynchronisation therapy","Bleeker G.B., Yu C.-M., Nihoyannopoulos P., De Sutter J., Van De Veire N., Holman E.R., Schalij M.J., Van Der Wall E.E., Bax J.J.",13556037,"Heart",93, 11,11,5,4,2,11,0,22
2007,"IgA anticardiolipin antibody is associated with the extent of daily-life ischaemia in patients with chronic coronary artery disease","Ikonomidis I., Lekakis J., Vamvakou G., Loizou S., Revela I., Andreotti F., Kremastinos D.T., Nihoyannopoulos P.",13556037,"Heart",93, 11,0,0,0,0,0,0,0
2007,"Corrigendum to ""The clinical applications of contrast echocardiography"" [Eur J Echocardiogr 2007;8:S13-S23] (DOI:10.1016/j.euje.2007.03.021)","Olszewski R., Timperley J., Szmigielski C., Monaghan M., Nihoyannopoulos P., Senior R., Becher H.",15252167,"European Journal of Echocardiography",8, 5,0,0,0,0,0,0,0
2007,"Corrigendum to ""The clinical applications of myocardial contrast echocardiography"" [Eur J Echocardiogr 2007;8:S24-S29] (DOI:10.1016/j.euje.2007.03.005)","Rakhit D.J., Becher H., Monaghan M., Nihoyannopoulos P., Senior R.",15252167,"European Journal of Echocardiography",8, 5,0,0,0,0,0,0,0
2007,"Images in cardiovascular medicine. An unusual site for a common disease.","Alzetani M., Boyle J.J., Lefroy D., Nihoyannopoulos P.",15244539,"Circulation",116, 1,0,0,0,0,0,0,0
2007,"An unusual site for a common disease","Alzetani M., Boyle J.J., Lefroy D., Nihoyannopoulos P.",00097322,"Circulation",116, 1,0,0,0,0,0,0,0
2007,"The use of contrast echocardiography for the detection of cardiac shunts","Soliman O.I.I., Geleijnse M.L., Meijboom F.J., Nemes A., Kamp O., Nihoyannopoulos P., Masani N., Feinstein S.B., Ten Cate F.J.",15252167,"European Journal of Echocardiography",8, 3,11,6,9,4,19,0,30
2007,"Retrospective study of pulmonary hypertensive patients: Is right ventricular myocardial performance index a vital prognostic factor?","Grapsa I., Pavlopoulos H., Dawson D., Gibbs J.S.R., Nihoyannopoulos P.",10117970,"Hellenic Journal of Cardiology",48, 3,2,0,3,0,3,0,5
2007,"Echocardiography within the British Isles: Executive summary of a British Society of Echocardiography survey","Chambers J., Fox K., Senior R., Nihoyannopoulos P.",09696113,"British Journal of Cardiology",14, 2,0,0,0,0,0,0,0
2007,"Report on the European Association of Echocardiography Accreditations in Echocardiography: December 2003-September 2006","Fox K.F., Popescu B.A., Janiszewski S., Nihoyannopoulos P., Fraser A.G., Pinto F.J.",15252167,"European Journal of Echocardiography",8, 1,3,3,2,0,5,0,8
2007,"EAE laboratory standards and accreditation","Nihoyannopoulos P., Fox K., Fraser A., Pinto F.",15252167,"European Journal of Echocardiography",8, 1,6,2,10,0,12,0,18
