,"This is a citation overview for a set of 661 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 55 (Of the 661 documents considered for the h-Index, 55 have been cited at least 55 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,9938,1130,1049,424,2603,0,12541
2009,"Government vs science over drug and alcohol policy","Nutt D.",01406736,"The Lancet",374, 9703,0,2,1,0,3,0,3
2009,"Early onset anxiolytic efficacy after a single dose of pregabalin: Double-blind, placebo- and active-comparator controlled evaluation using a dental anxiety model","Nutt D., Mandel F., Baldinetti F.",02698811,"Journal of Psychopharmacology",23, 8,0,3,5,0,8,0,8
2009,"Editorial: Prescribing antidepressants post Cipriani et al","Nutt D.J.",02698811,"Journal of Psychopharmacology",23, 8,0,1,1,1,3,0,3
2009,"Equivalent effects of acute tryptophan depletion on REM sleep in ecstasy users and controls","Carhart-Harris R.L., Nutt D.J., Munafo M.R., Christmas D.M., Wilson S.J.",00333158,"Psychopharmacology",206, 2,0,1,2,1,4,0,4
2009,"Hypothermic responses to infection are inhibited by ?2- adrenoceptor agonists with possible clinical implications","Tolchard S., Burns P.A., Nutt D.J., Fitzjohn S.M.",00070912,"British Journal of Anaesthesia",103, 4,0,0,1,0,1,0,1
2009,"Brain opioid receptor binding in early abstinence from alcohol dependence and relationship to craving: An [11C]diprenorphine PET study","Williams T.M., Davies S.J.C., Taylor L.G., Daglish M.R.C., Hammers A., Brooks D.J., Nutt D.J., Lingford-Hughes A.",0924977X,"European Neuropsychopharmacology",19, 10,0,3,7,0,10,0,10
2009,"Redistribution of slow wave activity of sleep during pharmacological treatment of depression with paroxetine but not with nefazodone","Argyropoulos S.V., Hicks J.A., Nash J.R., Bell C.J., Rich A.S., Nutt D.J., Wilson S.",09621105,"Journal of Sleep Research",18, 3,0,0,0,0,0,0,0
2009,"Identification of an imidazoline binding protein: Creatine kinase and an imidazoline-2 binding site","Kimura A., Tyacke R.J., Robinson J.J., Husbands S.M., Minchin M.C.W., Nutt D.J., Hudson A.L.",00068993,"Brain Research",1279, ,0,0,2,2,4,0,4
2009,"Effects of stressful life events, maternal depression and 5-HTTLPR genotype on emotional symptoms in pre-adolescent children","Araya R., Hu X., Heron J., Enoch M.-A., Evans J., Lewis G., Nutt D., Goldman D.",1552485X,"American Journal of Medical Genetics, Part B: Neuropsychiatric Genetics",150, 5,1,4,9,2,15,0,16
2009,"Effects of bupropion augmentation in escitalopram-resistant patients with major depressive disorder: An open-label, naturalistic study","Maron E., Eller T., Vasar V., Nutt D.J.",01606689,"Journal of Clinical Psychiatry",70, 7,0,1,3,0,4,0,4
2009,"Characterisation of the effects of caffeine on sleep in the rat: A potential model of sleep disruption","Paterson L.M., Wilson S.J., Nutt D.J., Hutson P.H., Ivarsson M.",02698811,"Journal of Psychopharmacology",23, 5,1,0,4,0,4,0,5
2009,"Serotonin and Sensitivity to Trauma-Related Exposure in Selective Serotonin Reuptake Inhibitors-Recovered Posttraumatic Stress Disorder","Corchs F., Nutt D.J., Hood S., Bernik M.",00063223,"Biological Psychiatry",66, 1,0,3,5,4,12,0,12
2009,"Effects on sleep stages and microarchitecture of caffeine and its combination with zolpidem or trazodone in healthy volunteers","Paterson L.M., Nutt D.J., Ivarsson M., Hutson P.H., Wilson S.J.",02698811,"Journal of Psychopharmacology",23, 5,1,1,2,0,3,0,4
2009,"Beyond psychoanaleptics -can we improve antidepressant drug nomenclature?","Nutt D.J.",02698811,"Journal of Psychopharmacology",23, 4,0,1,2,1,4,0,4
2009,"Antidepressant-induced jitteriness/anxiety syndrome: Systematic review","Sinclair L.I., Christmas D.M., Hood S.D., Potokar J.P., Robertson A., Isaac A., Srivastava S., Nutt D.J., Davies S.J.C.",00071250,"British Journal of Psychiatry",194, 6,0,7,5,2,14,0,14
2009,"That warm fuzzy feeling: Brain serotonergic neurons and the regulation of emotion","Lowry C.A., Lightman S.L., Nutt D.J.",02698811,"Journal of Psychopharmacology",23, 4,1,3,7,0,10,0,11
2009,"Serotonin transporter promoter region polymorphisms do not influence treatment response to escitalopram in patients with major depression","Maron E., Tammiste A., Kallassalu K., Eller T., Vasar V., Nutt D.J., Metspalu A.",0924977X,"European Neuropsychopharmacology",19, 6,0,8,6,4,18,0,18
