,"This is a citation overview for a set of 114 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 42 (Of the 114 documents considered for the h-Index, 42 have been cited at least 42 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,4548,327,303,95,725,0,5273
2009,"IL-9 regulates pathology during primary and memory responses to respiratory syncytial virus infection","Dodd J.S., Lum E., Goulding J., Muir R., Van Snick J., Openshaw P.J.M.",00221767,"Journal of Immunology",183, 11,0,3,6,6,15,0,15
2009,"Emerging drugs for respiratory syncytial virus infection","Olszewska W., Openshaw P.",14728214,"Expert Opinion on Emerging Drugs",14, 2,1,3,9,2,14,0,15
2009,"Crossing barriers: Infections of the lung and the gut","Openshaw P.J.",19330219,"Mucosal Immunology",2, 2,1,1,2,0,3,0,4
2009,"Pulmonary V?4+ ?? T cells have proinflammatory and antiviral effects in viral lung disease","Dodd J., Riffault S., Kodituwakku J.S., Hayday A.C., Openshaw P.J.M.",00221767,"Journal of Immunology",182, 2,2,5,3,2,10,0,12
2008,"Erratum: Respiratory syncytial virus infection provokes airway remodelling in allergen-exposed mice in absence of prior allergen sensitization (Clinical and Experimental Allergy (2008) 38 (1016-24))","Tourdot S., Mathie S., Hussell T., Edwards L., Wang H., Openshaw P.J.M., Schwarze J., Lloyd C.M.",09547894,"Clinical and Experimental Allergy",38, 7,0,0,0,0,0,0,0
2008,"Respiratory syncytial virus infection provokes airway remodelling in allergen-exposed mice in absence of prior allergen sensitization","Tourdot S., Mathie S., Hussell T., Edwards L., Wang H., Openshaw P.J.M., Schwarze J., Lloyd C.M.",09547894,"Clinical and Experimental Allergy",38, 6,6,2,2,1,5,0,11
2008,"Alveolar macrophages are a major determinant of early responses to viral lung infection but do not influence subsequent disease development","Pribul P.K., Harker J., Wang B., Wang H., Tregoning J.S., Schwarze J., Openshaw P.J.M.",0022538X,"Journal of Virology",82, 9,15,13,5,5,23,0,38
2008,"World immune regulation meeting II","Pollock K., Openshaw P.",13697056,"IDrugs",11, 5,0,0,0,0,0,0,0
2008,"The role of T cells in the enhancement of respiratory syncytial virus infection severity during adult reinfection of neonatally sensitized mice","Tregoning J.S., Yamaguchi Y., Harker J., Wang B., Openshaw P.J.M.",0022538X,"Journal of Virology",82, 8,3,13,6,3,22,0,25
2008,"Polylactide-co-glycolide (PLG) microparticles modify the immune response to DNA vaccination","Helson R., Olszewska W., Singh M., Megede J.Z., Melero J.A., O'Hagan D., Openshaw P.J.M.",0264410X,"Vaccine",26, 6,1,3,3,0,6,0,7
2007,"Virally delivered cytokines alter the immune response to future lung infections","Harker J., Bukreyev A., Collins P.L., Wang B., Openshaw P.J.M., Tregoning J.S.",0022538X,"Journal of Virology",81, 23,7,5,2,0,7,0,14
2006,"A potential molecular mechanism for hypersensitivity caused by formalin-inactivated vaccines","Moghaddam A., Olszewska W., Wang B., Tregoning J.S., Helson R., Sattentau Q.J., Openshaw P.J.M.",10788956,"Nature Medicine",12, 8,41,9,10,1,20,0,61
2006,"Role of CCL5 (RANTES) in viral lung disease","Culley F.J., Pennycook A.M.J., Tregoning J.S., Dodd J.S., Walzl G., Wells T.N., Hussell T., Openshaw P.J.M.",0022538X,"Journal of Virology",80, 16,14,4,11,2,17,0,31
2006,"Bronchiolitis","Smyth R.L., Openshaw P.J.",01406736,"Lancet",368, 9532,71,25,24,11,60,0,131
2006,"T cells take the inside track","Openshaw P.",10788956,"Nature Medicine",12, 6,1,0,0,0,0,0,1
2006,"Differential chemokine expression following respiratory virus infection reflects Th1- or Th2-biased immunopathology","Culley F.J., Pennycook A.M.J., Tregoning J.S., Hussell T., Openshaw P.J.M.",0022538X,"Journal of Virology",80, 9,37,6,9,3,18,0,55
2006,"Respiratory syncytial virus, airway inflammation, and FEV1 decline in patients with chronic obstructive pulmonary disease","Wilkinson T.M.A., Donaldson G.C., Johnston S.L., Openshaw P.J.M., Wedzicha J.A.",1073449X,"American Journal of Respiratory and Critical Care Medicine",173, 8,54,8,9,5,22,0,76
2005,"RSV 2005: Global impact, changing concepts, and new challenges","Openshaw P.J.M., Tregoning J., Harker J.",08828245,"Viral Immunology",18, 4,2,0,0,0,0,0,2
2005,"Immune tolerance to hepatitis C virus acquired during engraftment of bone marrow transplant","Godkin A., Openshaw P., Thomas H.C.",13520504,"Journal of Viral Hepatitis",12, 6,0,0,0,0,0,0,0
2005,"Antiviral immune responses and lung inflammation after respiratory syncytial virus infection","Openshaw P.J.M.",15463222,"Proceedings of the American Thoracic Society",2, 2,16,2,2,0,4,0,20
2005,"The beta2 integrin CD11c distinguishes a subset of cytotoxic pulmonary T cells with potent antiviral effects in vitro and in vivo","Beyer M., Wang H., Peters N., Doths S., Koerner-Rettberg C., Openshaw P.J.M., Schwarze J.",1465993X,"Respiratory Research",6, ,8,1,2,2,5,0,13
2005,"Immune responses and disease enhancement during respiratory syncytial virus infection","Openshaw P.J.M., Tregoning J.S.",08938512,"Clinical Microbiology Reviews",18, 3,69,16,13,4,33,0,102
2005,"Role of CCL11 in eosinophilic lung disease during respiratory syncytial virus infection","Matthews S.P., Tregoning J.S., Coyle A.J., Hussell T., Openshaw P.J.M.",0022538X,"Journal of Virology",79, 4,25,3,5,0,8,0,33
2004,"Childhood infections, the developing immune system, and the origins of asthma","Openshaw P.J.M., Yamaguchi Y., Tregoning J.S.",00916749,"Journal of Allergy and Clinical Immunology",114, 6,24,1,3,2,6,0,30
2004,"Protective and disease-enhancing immune responses induced by recombinant modified vaccinia Ankara (MVA) expressing respiratory syncytial virus proteins","Olszewska W., Suezer Y., Sutter G., Openshaw P.J.M.",0264410X,"Vaccine",23, 2,15,3,1,0,4,0,19
2004,"Respiratory syncytial virus and other pneumoviruses: A review of the international symposium - RSV 2003","Schmidt A.C., Johnson T.R., Openshaw P.J.M., Braciale T.J., Falsey A.R., Anderson L.J., Wertz G.W., Groothuis J.R., Prince G.A., Melero J.A., Graham B.S.",01681702,"Virus Research",106, 1,12,0,2,0,2,0,14
2004,"Recombinant respiratory syncytial virus lacking secreted glycoprotein G is attenuated, non-pathogenic but induces protective immunity","Maher C.F., Hussell T., Blair E., Ring C.J.A., Openshaw P.J.M.",12864579,"Microbes and Infection",6, 12,17,1,0,0,1,0,18
2004,"Gene-gun DNA vaccination aggravates respiratory syncytial virus-induced pneumonitis","Bartholdy C., Olszewska W., Stryhn A., Thomsen A.R., Openshaw P.J.M.",00221317,"Journal of General Virology",85, 10,15,1,0,0,1,0,16
