,"This is a citation overview for a set of 91 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 35 (Of the 91 documents considered for the h-Index, 35 have been cited at least 35 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2956,305,258,68,631,0,3587
2009,"Comparison of the vascularity of fasciocutaneous tissue and muscle for coverage of open tibial fractures","Harry L.E., Sandison A., Pearse M.F., Paleolog E.M., Nanchahal J.",00321052,"Plastic and Reconstructive Surgery",124, 4,0,1,2,1,4,0,4
2009,"Hypoxia: The role of hypoxia and HIF-dependent signalling events in rheumatoid arthritis","Muz B., Khan M.N., Kiriakidis S., Paleolog E.M.",14786354,"Arthritis Research and Therapy",11, 1,1,7,5,3,15,0,16
2009,"The vasculature in rheumatoid arthritis: Cause or consequence?","Paleolog E.M.",09599673,"International Journal of Experimental Pathology",90, 3,0,6,10,3,19,0,19
2009,"Hypoxia upregulates angiogenesis and synovial cell migration in rheumatoid arthritis","Akhavani M.A., Madden L., Buysschaert I., Sivakumar B., Kang N., Paleolog E.M.",14786354,"Arthritis Research and Therapy",11, 3,1,11,6,7,24,0,25
2008,"Angiogenesis and plastic surgery","Akhavani M.A., Sivakumar B., Paleolog E.M., Kang N.",17486815,"Journal of Plastic, Reconstructive and Aesthetic Surgery",61, 12,1,0,2,0,2,0,3
2008,"Adenovirus-mediated VEGF gene therapy enhances venous thrombus recanalization and resolution","Modarai B., Wadoodi A., Humphries J., Gossage J.A., Waltham M., Burnand K.G., Kanaganayagam G.S., Afuwape A., Paleolog E., Smith A.",10795642,"Arteriosclerosis, Thrombosis, and Vascular Biology",28, 10,2,1,5,0,6,0,8
2008,"Antagonism of the human epidermal growth factor receptor family controls disease severity in murine collagen-induced arthritis","Sumariwalla P.F., Jin P., Zhang J., Ni I., Crawford D., Shepard H.M., Paleolog E.M., Feldmann M.",00043591,"Arthritis and Rheumatism",58, 10,0,1,1,1,3,0,3
2008,"Comparison of the healing of open tibial fractures covered with either muscle or fasciocutaneous tissue in a murine model","Harry L.E., Sandison A., Paleolog E.M., Hansen U., Pearse M.F., Nanchahal J.",07360266,"Journal of Orthopaedic Research",26, 9,4,4,5,1,10,0,14
2008,"Novel splice variants derived from the receptor tyrosine kinase superfamily are potential therapeutics for rheumatoid arthritis","Jin P., Paleolog E.M., Zhang J., Sumariwalla P.F., Ni I., Jorgensen B., Crawford D., Phillips S., Feldmann M., Michael H.M.",14786354,"Arthritis Research and Therapy",10, 4,5,5,3,0,8,0,13
2008,"Synovial Hypoxia as a Cause of Tendon Rupture in Rheumatoid Arthritis","Sivakumar B., Akhavani M.A., Winlove C.P., Taylor P.C., Paleolog E.M., Kang N.",03635023,"Journal of Hand Surgery",33, 1,4,7,9,3,19,0,23
2007,"Methionine aminopeptidase-2 blockade reduces chronic collagen-induced arthritis: Potential role for angiogenesis inhibition","Bainbridge J., Madden L., Essex D., Binks M., Malhotra R., Paleolog E.M.",14786354,"Arthritis Research and Therapy",9, 6,8,5,3,0,8,0,16
2007,"Angiogenesis as a therapeutic target in arthritis: Learning the lessons of the colorectal cancer experience","Khong T.L., Larsen H., Raatz Y., Paleolog E.",09696970,"Angiogenesis",10, 4,11,5,5,0,10,0,21
2007,"Gene expression studies to investigate disease mechanisms in rheumatoid arthritis: Does angiogenesis play a role?","Larsen H., Akhavani M.A., Raatz Y., Paleolog E.M.",15733971,"Current Rheumatology Reviews",3, 4,3,0,0,0,0,0,3
2007,"Cytokine inhibitors in rheumatoid arthritis and other autoimmune diseases","Williams R.O., Paleolog E., Feldmann M.",14714892,"Current Opinion in Pharmacology",7, 4,13,8,11,1,20,0,33
2007,"Circulating endothelial progenitor cells as a link between synovial vascularity and cardiovascular mortality in rheumatoid arthritis","Akhavani M.A., Larsen H., Paleolog E.",03009742,"Scandinavian Journal of Rheumatology",36, 2,8,3,2,0,5,0,13
2006,"Angiogenesis as a therapeutic target in arthritis: Lessons from oncology","Bainbridge J., Sivakumar B., Paleolog E.",13816128,"Current Pharmaceutical Design",12, 21,16,3,2,0,5,0,21
2006,"Rac1 and RhoA as regulators of endothelial phenotype and barrier function in hypoxia-induced neonatal pulmonary hypertension","Wojciak-Stothard B., Tsang L.Y.F., Paleolog E., Hall S.M., Haworth S.G.",10400605,"American Journal of Physiology - Lung Cellular and Molecular Physiology",290, 6,25,13,5,2,20,0,45
2006,"Is the vasculature a potential therapeutic target in arthritis?","Taylor P.C., Paleolog E.M.",15733971,"Current Rheumatology Reviews",2, 2,2,0,0,0,0,0,2
2006,"Targeting rheumatoid tenosynovial angiogenesis with cytokine inhibitors","Jain A., Kiriakidis S., Brennan F., Sandison A., Paleolog E., Nanchahal J.",0009921X,"Clinical Orthopaedics and Related Research",, 446,5,1,1,0,2,0,7
2006,"Cyclooxygenase-2 induction and prostacyclin release by protease-activated receptors in endothelial cells require cooperation between mitogen-activated protein kinase and NF-?B pathways","Syeda F., Grosjean J., Houliston R.A., Keogh R.J., Carter T.D., Paleolog E., Wheeler-Jones C.P.D.",00219258,"Journal of Biological Chemistry",281, 17,35,7,6,1,14,0,49
2006,"Vascular endothelial growth factor signalling in endothelial cell survival: A role for NF?B","Grosjean J., Kiriakidis S., Reilly K., Feldmann M., Paleolog E.",0006291X,"Biochemical and Biophysical Research Communications",340, 3,24,6,5,1,12,0,36
2005,"It's all in the blood: Circulating endothelial progenitor cells link synovial vascularity with cardiovascular mortality in rheumatoid arthritis?","Paleolog E.",14786354,"Arthritis Research and Therapy",7, 6,4,3,2,0,5,0,9
2005,"Immunotherapy of rheumatoid arthritis: Past, present and future","Sivakumar B., Paleolog E.",13676733,"Current Opinion in Drug Discovery and Development",8, 2,6,0,0,0,0,0,6
2004,"Anti-TNF? therapy of rheumatoid arthritis: What can we learn about chronic disease?","Feldmann M., Brennan F.M., Paleolog E., Cope A., Taylor P., Williams R., Woody J., Maini R.N.",15282511,"Novartis Foundation Symposium",256, ,28,4,1,0,5,0,33
2004,"Advanced glycation end products upregulate angiogenic and pro-inflammatory cytokine production in human monocyte/macrophages","Pertynska-Marczewska M., Kiriakidis S., Wait R., Beech J., Feldmann M., Paleolog E.M.",10434666,"Cytokine",28, 1,19,1,5,1,7,0,26
2004,"Modulating angiogenesis: More vs less","Sivakumar B., Harry L.E., Paleolog E.M.",00987484,"Journal of the American Medical Association",292, 8,54,2,6,0,8,0,62
2004,"4th meeting of the EU research network EUROME: From the identification of genes and cellular networks in murine models of arthritis to novel therapeutic intervention strategies in rheumatoid arthritis, London, UK, 9 March 2004","Ibrahim S., Paleolog E.W.",14786354,"Arthritis Research and Therapy",6, 4,1,0,0,0,0,0,1
2004,"Canonical pathway of nuclear factor ?B activation selectively regulates proinflammatory and prothrombotic responses in human atherosclerosis","Monaco C., Andreakos E., Kiriakidis S., Mauri C., Bicknell C., Foxwell B., Cheshire N., Paleolog E., Feldmann M.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",101, 15,53,14,8,5,27,0,80
2004,"Hypoxia: Not merely a regulator of angiogenesis?","Paleolog E.",14786354,"Arthritis Research and Therapy",6, 2,3,0,0,0,0,0,3
2004,"T-cell-mediated signalling in immune, inflammatory and angiogenic processes: The cascade of events leading to inflammatory diseases","Monaco C., Andreakos E., Kiriakidis S., Feldmann M., Paleolog E.",1568010X,"Current Drug Targets: Inflammation and Allergy",3, 1,43,7,7,1,15,0,58
2004,"Nuclear factor ?B: A potential therapeutic target in atherosclerosis and thrombosis","Monaco C., Paleolog E.",00086363,"Cardiovascular Research",61, 4,77,14,7,3,24,0,101
2003,"Advanced glycation end products (AGE) enhance vascular endothelial growth factor (VEGF) production in promonocytic leukaemia THP-1 cells","Pertnaska-Marczewska M., Feldmann M., Paleolog E.M.",12334723,"Diabetologia Polska",10, 4,0,0,0,0,0,0,0
2003,"The angiogenesis inhibitor protease-activated kringles 1-5 reduces the severity of murine collagen-induced arthritis.","Sumariwalla P.F., Cao Y., Wu H.L., Feldmann M., Paleolog E.M.",14786362,"Arthritis research & therapy",5, 1,30,6,3,0,9,0,39
2003,"Adenoviral delivery of soluble VEGF receptor 1 (sFlt-1) abrogates disease activity in murine collagen-induced arthritis","Afuwafe A.O., Feldmann M., Paleolog E.M.",09697128,"Gene Therapy",10, 23,56,8,5,1,14,0,70
2003,"From the Cradle to the Clinic: VEGF in Developmental, Physiological, and Pathological Angiogenesis","Harry L.E., Paleolog E.M.",1542975X,"Birth Defects Research Part C - Embryo Today: Reviews",69, 4,28,1,5,1,7,0,35
2003,"Heterogeneous requirement of I?B kinase 2 for inflammatory cytokine and matrix metalloproteinase production in rheumatoid arthritis: Implications for therapy","Andreakos E., Smith C., Kiriakidis S., Monaco C., De Martin R., Brennan F.M., Paleolog E., Feldmann M., Foxwell B.M.",00043591,"Arthritis and Rheumatism",48, 7,43,5,0,1,6,0,49
2003,"The therapeutic potential of TNF-? blockade in rheumatoid arthritis","Paleolog E.",13543784,"Expert Opinion on Investigational Drugs",12, 7,29,2,1,0,3,0,32
2003,"Diagnostic strategy for the assessment of rheumatoid vasculitis","Voskuyl A.E., Hazes J.M.W., Zwinderman A.H., Paleolog E.M., Van Der Meer F.J.M., Daha M.R., Breedveld F.C.",00034967,"Annals of the Rheumatic Diseases",62, 5,23,4,1,0,5,0,28
2003,"VEGF expression in human macrophages is NF-?B-dependent: Studies using adenoviruses expressing the endogenous NF-?B inhibitor I?B? and a kinase-defective form of the I?B kinase 2","Kiriakidis S., Andreakos E., Monaco C., Foxwell B., Feldmann M., Paleolog E.",00219533,"Journal of Cell Science",116, 4,48,13,5,2,20,0,68
2002,"VEGF release is associated with reduced oxygen tensions in experimental inflammatory arthritis","Etherington P.J., Winlove P., Taylor P., Paleolog E., Miotla J.M.",0392856X,"Clinical and Experimental Rheumatology",20, 6,25,6,1,0,7,0,32
2002,"Is NF-?B a useful therapeutic target in rheumatoid arthritis?","Feldmann M., Andreakos E., Smith C., Bondeson J., Yoshimura S., Kiriakidis S., Monaco C., Gasparini C., Sacre S., Lundberg A., Paleolog E., Horwood N.J., Brennan F.M., Foxwell B.M.J.",00034967,"Annals of the Rheumatic Diseases",61, 2,46,6,3,2,11,0,57
2002,"The role of the angiogenic molecule VEGF in the pathogenesis of rheumatoid arthritis","Afuwape A.O., Kiriakidis S., Paleolog E.M.",02133911,"Histology and Histopathology",17, 3,33,2,3,0,5,0,38
