,"This is a citation overview for a set of 21 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 8 (Of the 21 documents considered for the h-Index, 8 have been cited at least 8 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,424,134,121,36,291,0,715
2009,"Stem cell bioprocessing: Fundamentals and principles","Placzek M.R., Yeo D.C.L., Ma C.Y.J., Polak J.M., Panoskaltsis N., Mantalaris A., Chung I.-M., Macedo H.M., Ismail S., Blanco T.M., Lim M., Jae M.C., Fauzi I., Kang Y.",17425689,"Journal of the Royal Society Interface",6, 32,3,11,13,3,27,0,30
2008,"A real-time multi-channel monitoring system for stem cell culture process","Yue X., Drakakis E.M., Lim M., Radomska A., Ye H., Mantalaris A., Panoskaltsis N., Cass A.",19324545,"IEEE Transactions on Biomedical Circuits and Systems",2, 2,0,1,1,1,3,0,3
2008,"Coupled oxygen-carbon dioxide transport model for the human bone marrow","Kumar R., Panoskaltsis N., Stepanek F., Mantalaris A.",09603085,"Food and Bioproducts Processing",86, 3,1,1,0,0,1,0,2
2008,"Towards information-rich bioprocessing: Generation of spatio-temporal profiles through the use of design of experiments to determine optimal number and location of sensors-An example in thermal profiles","Lim M., Ye H., Drakakis E.M., Yue X., Cass A.E.G., Panoskaltsis N., Mantalaris A.",1369703X,"Biochemical Engineering Journal",40, 1,0,1,1,0,2,0,2
2007,"An on-line, multi-parametric, multi-channel physicochemical monitoring platform for stem cell culture bioprocessing","Xicai Y., Drakakis E.M., Hua Y., Lim M., Mantalaris A., Panoskaltsis N., Radomska A., Toumazou C., Cass T.",02714310,"Proceedings - IEEE International Symposium on Circuits and Systems",, ,0,0,0,0,0,0,0
2007,"Intelligent bioprocessing for haemotopoietic cell cultures using monitoring and design of experiments","Lim M., Ye H., Panoskaltsis N., Drakakis E.M., Yue X., Cass A.E.G., Radomska A., Mantalaris A.",07349750,"Biotechnology Advances",25, 4,6,4,5,3,12,0,18
2006,"The authors reply [10]","Castello-Cortes A., Suntharalingam G., Panoskaltsis N.",00284793,"New England Journal of Medicine",355, 24,0,0,0,0,0,0,0
2006,"Cytokine storm in a phase 1 trial of the anti-CD28 monoclonal antibody TGN1412","Suntharalingam G., Perry M.R., Ward S., Brett S.J., Castello-Cortes A., Brunner M.D., Panoskaltsis N.",00284793,"New England Journal of Medicine",355, 10,304,103,89,24,216,0,520
2005,"Dysplastic polychromatic ""snowmoblast""","Pavlu J., Panoskaltsis N.",00064971,"Blood",106, 12,0,0,0,0,0,0,0
2005,"Bone marrow oxygen transport model in sickle cell disease","Kumar R., Ngai S., Bardsley M., Panoskaltsis N., Stepanek F., Mantalaris A.",,"Proceedings of the 3rd IASTED International Conference on Biomedical Engineering 2005",, ,0,0,0,0,0,0,0
2005,"Engineering a mimicry of bone marrow tissue ex vivo","Panoskaltsis N., Mantalaris A., Wu J.H.D.",13891723,"Journal of Bioscience and Bioengineering",100, 1,15,3,5,2,10,0,25
2005,"Dendritic cells in MDS and AML - Cause, effect or solution to the immune pathogenesis of disease?","Panoskaltsis N.",08876924,"Leukemia",19, 3,8,1,1,0,2,0,10
2004,"Immune modulation with dendritic cells","Panoskaltsis N., Reid C.D.L., Knight S.C.",09587578,"Transfusion Medicine",14, 2,2,0,0,0,0,0,2
2003,"Quantification and cytokine production of circulating lymphoid and myeloid cells in acute myelogenous leukaemia","Panoskaltsis N., Reid C.D.L., Knight S.C.",08876924,"Leukemia",17, 4,26,5,3,0,8,0,34
2002,"Optimal cytokine stimulation for the enhanced generation of leukemic dendritic cells in short-term culture","Panoskaltsis N., Belanger T.J., Liesveld J.L., Abboud C.N.",01452126,"Leukemia Research",26, 2,22,1,1,0,2,0,24
2001,"Differential cytokine profiles of leukaemic blasts and leukaemic dendritic cells: implications for immunotherapy","Panoskaltsis N., Knight S.C., Reid C.D.L.",00064971,"Blood",96, 11,0,0,0,0,0,0,0
2001,"Localization of androgen receptor expression in human bone marrow","Mantalaris A., Panoskaltsis N., Sakai Y., Bourne P., Chang C., Messing E.M., David Wu J.H.",00223417,"Journal of Pathology",193, 3,27,3,2,2,7,0,34
2000,"Erratum: Thrombotic thrombocytopenic purpura in pulmonary-renal syndromes (American Journal of Hematology (2000) 65 (50-55))","Panoskaltsis N., Derman M.P., Perillo I., Brennan J.K.",03618609,"American Journal of Hematology",65, 3,0,0,0,0,0,0,0
2000,"Thrombotic thrombocytopenic purpura in pulmonary-renal syndromes","Panoskaltsis N., Derman M.P., Perillo I., Brennan J.K.",03618609,"American Journal of Hematology",65, 1,7,0,0,1,1,0,8
1999,"Human immunodeficiency virus and the hematopoietic repertoire: implications for gene therapy.","Panoskaltsis N., Abboud C.N.",10934715,"Frontiers in bioscience : a journal and virtual library",4, ,3,0,0,0,0,0,3
1998,"Effects of chemokfnes on cd34+ progenitors","Ltesveld J.L., Resell K.E., Belanger T.J., Harfaol A.L., Panoskaltsis N., Abboud C.N.",0301472X,"Experimental Hematology",26, 8,0,0,0,0,0,0,0
