,"This is a citation overview for a set of 171 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 54 (Of the 171 documents considered for the h-Index, 54 have been cited at least 54 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,11599,906,851,1757,537,13893
2009,"A role for menstruation in preconditioning the uterus for successful pregnancy","Brosens J.J., Parker M.G., McIndoe A., Pijnenborg R., Brosens I.A.",00029378,"American Journal of Obstetrics and Gynecology",200, 6,0,0,0,0,1,1
2008,"A functional interaction between RIP140 and PGC-1? regulates the expression of the lipid droplet protein CIDEA","Hallberg M., Morganstein D.L., Kiskinis E., Shah K., Kralli A., Dilworth S.M., White R., Parker M.G., Christian M.",02707306,"Molecular and Cellular Biology",28, 22,0,0,0,0,7,7
2008,"Coactivator function of RIP140 for nf{kappa}b/rela-dependent cytokine gene expression","Zschiedrich I., Yu X., Gretz N., Christian M., White R., Parker M.G., Herzig S., Hardeland U., Krones-Herzig A., Diaz M.B., Vegiopoulos A., Muggenburg J., Sombroek D., Hofmann T.G., Zawatzky R.",00064971,"Blood",112, 2,0,0,0,0,1,1
2008,"Mechanisms of androgen receptor activation in advanced prostate cancer: Differential co-activator recruitment and gene expression","Brooke G.N., Parker M.G., Bevan C.L.",09509232,"Oncogene",27, 21,0,0,1,1,4,5
2008,"Role of RIP140 in metabolic tissues: Connections to disease","White R., Morganstein D., Christian M., Seth A., Herzog B., Parker M.G.",00145793,"FEBS Letters",582, 1,0,0,6,6,7,13
2007,"RIP140 directs histone and DNA methylation to silence Ucp1 expression in white adipocytes","Kiskinis E., Hallberg M., Christian M., Olofsson M., Dilworth S.M., White R., Parker M.G.",02614189,"EMBO Journal",26, 23,0,0,5,5,3,8
2007,"Role of nuclear receptor coregulators in metabolism","Morganstein D.L., Parker M.G.",17446651,"Expert Review of Endocrinology and Metabolism",2, 6,0,0,0,0,1,1
2007,"The nuclear receptor cofactor, receptor-interacting protein 140, is required for the regulation of hepatic lipid and glucose metabolism by liver X receptor","Herzog B., Hallberg M., Seth A., Woods A., White R., Parker M.G.",08888809,"Molecular Endocrinology",21, 11,0,0,7,7,4,11
2007,"The Transcriptional Corepressor RIP140 Regulates Oxidative Metabolism in Skeletal Muscle","Seth A., Scott J., Poutanen M., White R., Parker M., Steel J.H., Nichol D., Pocock V., Kumaran M.K., Fritah A., Mobberley M., Ryder T.A., Rowlerson A.",15504131,"Cell Metabolism",6, 3,0,3,7,10,6,16
2007,"Functional Variants of the Central Bile Acid Sensor FXR Identified in Intrahepatic Cholestasis of Pregnancy","van Mil S.W.C., Glantz A.G., Mattsson L., Whittaker J., Parker M.G., White R., Williamson C., Milona A., Dixon P.H., Mullenbach R., Geenes V.L., Chambers J., Shevchuk V., Moore G.E., Lammert F.",00165085,"Gastroenterology",133, 2,0,0,10,10,12,22
2007,"Receptor interacting protein 140 regulates expression of uncoupling protein 1 in adipocytes through specific peroxisome proliferator activated receptor isoforms and estrogen-related receptor ?","Debevec D., Christian M., Morganstein D., Seth A., Herzog B., Parker M., White R.",08888809,"Molecular Endocrinology",21, 7,0,3,9,12,4,16
2006,"International union of pharmacology. LXIV. Estrogen receptors","Dahlman-Wright K., Gustafsson J.-A., Cavailles V., Fuqua S.A., Jordan V.C., Katzenellenbogen J.A., Korach K.S., Maggi A., Muramatsu M., Parker M.G.",00316997,"Pharmacological Reviews",58, 4,0,11,25,36,22,58
2006,"The nuclear receptor co-repressor RIP140 controls the expression of metabolic gene networks","Parker M.G., Christian M., White R.",03005127,"Biochemical Society Transactions",34, 6,1,1,8,9,2,12
2006,"ZNF366 is an estrogen receptor corepressor that acts through CtBP and histone deacetylases","Lopez-Garcia J., Buluwela L., Kamalati T., Ali S., Periyasamy M., Thomas R.S., Christian M., Leao M., Jat P., Kindle K.B., Heery D.M., Parker M.G.",03051048,"Nucleic Acids Research",34, 21,0,0,3,3,3,6
2006,"Suppression of receptor interacting protein 140 repressive activity by protein arginine methylation","Huq M.D.M., Gupta P., Tsai N.-P., White R., Parker M.G., Wei L.-N.",02614189,"EMBO Journal",25, 21,0,3,11,14,6,20
2006,"RIP140 expression is stimulated by estrogen-related receptor ? during adipogenesis","Nichol D., Christian M., Steel J.H., White R., Parker M.G.",00219258,"Journal of Biological Chemistry",281, 43,0,3,9,12,2,14
2006,"The SWI/SNF chromatin remodeling subunit BAF57 is a critical regulator of estrogen receptor function in breast cancer cells","Garcia-Pedrero J.M., Kiskinis E., Parker M.G., Belandia B.",00219258,"Journal of Biological Chemistry",281, 32,0,4,6,10,7,17
2006,"Metabolic regulation by the nuclear receptor corepressor RIP140","Christian M., White R., Parker M.G.",10432760,"Trends in Endocrinology and Metabolism",17, 6,0,10,13,23,6,29
2006,"Identification of BAF57 mutations in human breast cancer cell lines","Kiskinis E., Garcia-Pedrero J.M., Villaronga M.A., Parker M.G., Belandia B.",01676806,"Breast Cancer Research and Treatment",98, 2,1,2,2,4,0,5
2006,"Inflammation and sex steroid receptors: A motif for change","Brosens J.J., Lam E.W.-F., Parker M.G.",00928674,"Cell",124, 3,0,0,1,1,0,1
2006,"Suppression of oxidative metabolism and mitochondrial biogenesis by the transcriptional corepressor RIP140 in mouse adipocytes","Powelka A.M., Parker M.G., Czech M.P., Seth A., Virbasius J.V., Kiskinis E., Nicoloro S.M., Guilherme A., Tang X., Straubhaar J., Cherniack A.D.",00219738,"Journal of Clinical Investigation",116, 1,11,20,18,38,8,57
2005,"T:G mismatch-specific thymine-DNA glycosylase (TDG) as a coregulator of transcription interacts with SRC1 family members through a novel tyrosine repeat motif","Lucey M.J., Losson R., Chambon P., Parker M.G., Schar P., Heery D.M., Buluwela L., Ali S., Chen D., Lopez-Garcia J., Hart S.M., Phoenix F., Al-Jehani R., Alao J.P., White R., Kindle K.B.",03051048,"Nucleic Acids Research",33, 19,2,3,6,9,2,13
2005,"RIP140-targeted repression of gene expression in adipocytes","Christian M., Kiskinis E., Debevec D., Leonardsson G., White R., Parker M.G.",02707306,"Molecular and Cellular Biology",25, 21,11,16,15,31,6,48
2005,"Multiple signalling defects in the absence of RIP140 impair both cumulus expansion and follicle rupture","Tullet J.M.A., Pocock V., Steel J.H., White R., Milligan S., Parker M.G.",00137227,"Endocrinology",146, 9,3,6,1,7,3,13
