,"This is a citation overview for a set of 11 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 6 (Of the 11 documents considered for the h-Index, 6 have been cited at least 6 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,181,24,19,8,51,0,232
2009,"Steroids in cardiac surgery: Right time, right dose, right patient group","Allen M.L., Pathan N.",00903493,"Critical Care Medicine",37, 5,0,0,0,0,0,0,0
2009,"Anti-inflammatory modalities: Their current use in pediatric cardiac surgery in the United Kingdom and Ireland","Allen M., Sundararajan S., Pathan N., Burmester M., MacRae D.",15297535,"Pediatric Critical Care Medicine",10, 3,1,3,2,0,5,0,6
2008,"Predictors of outcome for children requiring respiratory extra-corporeal life support: implications for inclusion and exclusion criteria.","Pathan N., Ridout D.A., Smith E., Goldman A.P., Brown K.L.",03424642,"Intensive care medicine",34, 12,0,1,0,0,1,0,1
2008,"Predictors of outcome for children requiring respiratory extra-corporeal life support: implications for inclusion and exclusion criteria","Pathan N., Ridout D.A., Smith E., Goldman A.P., Brown K.L.",03424642,"Intensive Care Medicine",, ,1,3,0,2,5,0,6
2007,"Bacterial meningitis and brain abscess","Faust S.N., Pathan N., Levin M.",17441889,"Foundation Years",3, 2,0,0,0,0,0,0,0
2005,"Changes in the interleukin-6/soluble interleukin-6 receptor axis in meningococcal septic shock","Pathan N., John Williams E., Oragui E.E., Stephens A.C., Levin M.",00903493,"Critical Care Medicine",33, 8,6,0,2,0,2,0,8
2004,"Role of interleukin 6 in myocardial dysfunction of meningococcal septic shock","Pathan N., O'Gara P., Nadel S., Relman D.A., Harding S.E., Levin M., Hemingway C.A., Alizadeh A.A., Stephens A.C., Boldrick J.C., Oragui E.E., McCabe C., Welch S.B., Whitney A.",01406736,"Lancet",363, 9404,64,13,10,4,27,0,91
2003,"Pathophysiology of meningococcal meningitis and septicaemia","Pathan N., Faust S.N., Levin M.",00039888,"Archives of Disease in Childhood",88, 7,31,3,3,1,7,0,38
2002,"Characterization of a myocardial depressant factor in meningococcal septicemia","Pathan N., Sandiford C., Harding S.E., Levin M.",00903493,"Critical Care Medicine",30, 10,21,0,1,0,1,0,22
2000,"A myocardial cytotoxic process is involved in the cardiac dysfunction of meningococcal septic shock","Thiru Y., Pathan N., Bignall S., Habibi P., Levin M.",00903493,"Critical Care Medicine",28, 8,53,1,1,1,3,0,56
2000,"Pathophysiology and management of meningococcal septicaemia","Pathan N., Nadel S., Levin M.",00358819,"Journal of the Royal College of Physicians of London",34, 5,4,0,0,0,0,0,4
