,"This is a citation overview for a set of 34 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 21 (Of the 34 documents considered for the h-Index, 21 have been cited at least 21 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1437,199,177,47,423,0,1860
2009,"Antiplatelet actions of statins and fibrates are mediated by PPARs","Ali F.Y., Armstrong P.C.J., Dhanji A.-R.A., Tucker A.T., Paul-Clark M.J., Mitchell J.A., Warner T.D.",10795642,"Arteriosclerosis, Thrombosis, and Vascular Biology",29, 5,3,6,10,4,20,0,23
2009,"Toll-like receptor 2 is essential for the sensing of oxidants during inflammation","Paul-Clark M.J., McMaster S.K., Sorrentino R., Sriskandan S., Bailey L.K., Moreno L., Ryffel B., Quesniaux V.F., Mitchell J.A.",1073449X,"American Journal of Respiratory and Critical Care Medicine",179, 4,3,8,2,5,15,0,18
2008,"Aspirin and the in vitro linear relationship between thromboxane A2-mediated platelet aggregation and platelet production of thromboxane A2","Armstrong P.C.J., Mitchell J.A., Warner T.D., Truss N.J., Ali F.Y., Dhanji A.A., Vojnovic I., Zain Z.N.M., Bishop-Bailey D., Paul-Clark M.J., Tucker A.T.",15387933,"Journal of Thrombosis and Haemostasis",6, 11,6,4,8,1,13,0,19
2008,"Pattern recognition receptors and interleukin-8 mediate effects of Gram-positive and Gram-negative bacteria on lung epithelial cell function","Sorrentino R., De Souza P.M., Sriskandan S., Duffin C., Paul-Clark M.J., Mitchell J.A.",00071188,"British Journal of Pharmacology",154, 4,1,2,2,1,5,0,6
2008,"Gram-positive and gram-negative bacteria synergize with oxidants to release CXCL8 from innate immune cells","Paul-Clark M.J., Sorrentino R., Bailey L.K., Sriskandan S., Mitchell J.A.",10761551,"Molecular Medicine",14, 5-6,0,5,1,0,6,0,6
2008,"Cigarette smoke inhibits macrophage sensing of Gram-negative bacteria and lipopolysaccharide: Relative roles of nicotine and oxidant stress","McMaster S.K., Paul-Clark M.J., Walters M., Fleet M., Anandarajah J., Sriskandan S., Mitchell J.A.",00071188,"British Journal of Pharmacology",153, 3,1,3,4,2,9,0,10
2007,"Role of pattern-recognition receptors in cardiovascular health and disease","Mitchell J.A., Ryffel B., Quesniaux V.F.J., Cartwright N., Paul-Clark M.",03005127,"Biochemical Society Transactions",35, 6,1,1,4,1,6,0,7
2007,"Critical role of toll-like receptors and nucleotide oligomerisation domain in the regulation of health and disease","Mitchell J.A., Paul-Clark M.J., Clarke G.W., McMaster S.K., Cartwright N.",00220795,"Journal of Endocrinology",193, 3,36,14,6,0,20,0,56
2007,"Selective NOD1 agonists cause shock and organ injury/dysfunction in vivo","Cartwright N., Mitchell J.A., Murch O., McMaster S.K., Paul-Clark M.J., Van Heel D.A., Ryffel B., Quesniaux V.F.J., Evans T.W., Thiemermann C.",1073449X,"American Journal of Respiratory and Critical Care Medicine",175, 6,12,5,5,2,12,0,24
2007,"Calcitonin and prednisolone display antagonistic actions on bone and have synergistic effects in experimental arthritis","Mancini L., Paul-Clark M.J., Rosignoli G., Hannon R., Martin J.E., Macintyre I., Perretti M.",00029440,"American Journal of Pathology",170, 3,9,3,0,0,3,0,12
2007,"Elucidation of Toll-like receptor and adapter protein signaling in vascular dysfunction induced by Gram-positive Staphylococcus aureus or Gram-negative Escherichia coli","Cartwright N., McMaster S.K., Sorrentino R., Paul-Clark M., Sriskandan S., Ryffel B., Quesniaux V.F.J., Evans T.W., Mitchell J.A.",10732322,"Shock",27, 1,9,6,4,1,11,0,20
2006,"Differential effects of Gram-positive versus Gram-negative bacteria on NOSII and TNF? in macrophages: Role of TLRs in synergy between the two","Paul-Clark M.J., Mc Master S.K., Belcher E., Sorrentino R., Anandarajah J., Fleet M., Sriskandan S., Mitchell J.A.",00071188,"British Journal of Pharmacology",148, 8,18,6,1,0,7,0,25
2006,"Role of nuclear receptor signaling in platelets: Antithrombotic effects of PPAR?","Ali F.Y., Davidson S.J., Moraes L.A., Traves S.L., Paul-Clark M., Bishop-Bailey D., Warner T.D., Mitchell J.A.",08926638,"FASEB Journal",20, 2,18,11,6,2,19,0,37
2005,"Ligand-specific glucocorticoid receptor activation in human platelets","Moraes L.A., Paul-Clark M.J., Rickman A., Flower R.J., Goulding N.J., Perretti M.",00064971,"Blood",106, 13,14,8,9,2,19,0,33
2005,"Prostaglandin F 2? produced by inducible cyclooxygenase may contribute to the resolution of inflammation","Colville-Nash P.R., Gilroy D.W., Willis D., Paul-Clark M.J., Moore A.R., Willoughby D.A.",09254692,"Inflammopharmacology",12, 5-6,5,2,1,1,4,0,9
2005,"Cigarette smoke activates human monocytes by an oxidant-AP-1 signaling pathway: Implications for steroid resistance","Walters M.J., Paul-Clark M.J., McMaster S.K., Ito K., Adcock I.M., Mitchell J.A.",0026895X,"Molecular Pharmacology",68, 5,23,5,4,2,11,0,34
2004,"15-Epi-lipoxin A4-mediated induction of nitric oxide explains how aspirin inhibits acute inflammation","Paul-Clark M.J., Van Cao T., Moradi-Bidhendi N., Cooper D., Gilroy D.W.",00221007,"Journal of Experimental Medicine",200, 1,61,15,13,3,31,0,92
2004,"Modulation of Inflammation and Response to Dexamethasone by Annexin 1 in Antigen-Induced Arthritis","Yang Y.H., Flower R.J., Morand E.F., Getting S.J., Paul-Clark M., Liu D.L., Yona S., Hannon R., Buckingham J.C., Perretti M.",00043591,"Arthritis and Rheumatism",50, 3,45,6,6,0,12,0,57
2004,"Synthesis of Nitro Esters of Prednisolone, New Compounds Combining Pharmacological Properties of Both Glucocorticoids and Nitric Oxide","Baraldi P.G., Romagnoli R., Nunez M.D.C., Perretti M., Paul-Clark M.J., Ferrario M., Govoni M., Benedini F., Ongini E.",00222623,"Journal of Medicinal Chemistry",47, 3,17,2,4,1,7,0,24
2004,"An isocratic HPLC method for the quantitation of eicosanoids in human platelets","Moraes L.A., Giner R.M., Paul-Clark M.J., Perretti M., Perrett D.",02693879,"Biomedical Chromatography",18, 1,4,1,0,0,1,0,5
2003,"Differential modulation of glucocorticoid action by FK506 in A549 cells","Croxtall J.D., Paul-Clark M., Van Hal P.Th.W.",02646021,"Biochemical Journal",376, 1,7,0,1,0,1,0,8
2003,"Glucocorticoid receptor nitration leads to enhanced anti-inflammatory effects of novel steroid ligands","Paul-Clark M.J., Roviezzo F., Flower R.J., Cirino G., Del Soldato P., Adcock I.M., Perretti M.",00221767,"Journal of Immunology",171, 6,38,8,3,1,12,0,50
2003,"The enhanced anti-inflammatory properties of nitro-prednisolone (NCX-1015) is linked to post-translational modification of the glucocorticoid receptor","Paul-Clark M.J., Perretti M.",10233830,"Inflammation Research",52, ,1,0,0,0,0,0,1
2003,"Generation of innovative anti-inflammatory and anti-arthritic glucocorticoid derivatives that release NO: The nitro-steroids","Perretti M., Paul-Clark M.J., Mancini L., Flower R.J.",15908658,"Digestive and Liver Disease",35, 2,18,1,1,1,3,0,21
2003,"Aberrant inflammation and resistance to glucocorticoids in annexin 1-/- mouse.","Hannon R., Buckingham J.C., Flower R.J., Croxtall J.D., Getting S.J., Roviezzo F., Yona S., Paul-Clark M.J., Gavins F.N., Perretti M., Morris J.F.",15306860,"The FASEB journal : official publication of the Federation of American Societies for Experimental Biology",17, 2,95,12,16,1,29,0,124
2002,"The annexin-1 knockout mouse: What it tells us about the inflammatory response","Roviezzo F., Flower R.J., Getting S.J., Paul-Clark M.J., Yona S., Gavins F.N.E., Perretti M., Hannon R., Croxtall J.D., Buckingham J.C.",08675910,"Journal of Physiology and Pharmacology",53, 4 I,42,5,4,2,11,0,53
2002,"NCX-1015, a nitric-oxide derivative of prednisolone, enhances regulatory T cells in the lamina propria and protects against 2,4,6-trinitrobenzene sulfonic acid-induced colitis in mice","Fiorucci S., Antonelli E., Distrutti E., Del Soldato P., Flower R.J., Paul Clark M.J., Morelli A., Perretti M., Ignarro L.J.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",99, 24,53,4,2,0,6,0,59
2002,"Potent antiarthritic properties of a glucocorticoid derivative, NCX-1015, in an experimental model of arthritis","Paul-Clark M.J., Mancini L., Del Soldato P., Flower R.J., Perretti M.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",99, 3,49,5,4,0,9,0,58
2001,"Neutrophil interaction with inflamed postcapillary venule endothelium alters annexin 1 expression","Oliani S.M., Paul-Clark M.J., Christian H.C., Flower R.J., Perretti M.",00029440,"American Journal of Pathology",158, 2,40,2,2,2,6,0,46
2001,"Nitric oxide synthase inhibitors have opposite effects on acute inflammation depending on their route of administration","Paul-Clark M.J., Gilroy D.W., Willis D., Willoughby D.A., Tomlinson A.",00221767,"Journal of Immunology",166, 2,41,1,3,0,4,0,45
2000,"21-NO-prednisolone is a novel nitric oxide-releasing derivative of prednisolone with enhanced anti-inflammatory properties","Paul-Clark M., Del Soldato P., Fiorucci S., Flower R.J., Perretti M.",00071188,"British Journal of Pharmacology",131, 7,48,4,0,0,4,0,52
1999,"Inducible cyclooxygenase may have anti-inflammatory properties","Gilroy D.W., Colville-Nash P.R., Willis D., Chivers J., Paul-Clark M.J., Willoughby D.A.",10788956,"Nature Medicine",5, 6,674,43,49,12,104,0,778
1996,"Control of inducible nitric oxide synthase in murine macrophages by diclofenac and hyaluronic acid","Colville-Nash P.R., Clarke A.E., Sy-Yed I., Gilroy D.W., Paul-Clark M., Tomlinson A., Willoughby D.A., De Weber",02683091,"Round Table Series - Royal Society of Medicine",, 45,0,0,0,0,0,0,0
1995,"Modulation of heme oxygenase activity in rat brain and spleen by inhibitors and donors of nitric oxide","Willis D., Tomlinson A., Frederick R., Paul-Clark M.J., Willoughby D.A.",0006291X,"Biochemical and Biophysical Research Communications",214, 3,45,1,2,0,3,0,48
