,"This is a citation overview for a set of 43 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 11 (Of the 43 documents considered for the h-Index, 11 have been cited at least 11 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,333,56,53,22,131,0,464
2009,"Comparison of the vascularity of fasciocutaneous tissue and muscle for coverage of open tibial fractures","Harry L.E., Sandison A., Pearse M.F., Paleolog E.M., Nanchahal J.",00321052,"Plastic and Reconstructive Surgery",124, 4,0,1,2,1,4,0,4
2009,"The ortho-plastic management of Gustilo grade IIIB fractures of the tibia in children: A systematic review of the literature","Glass G.E., Pearse M., Nanchahal J.",00201383,"Injury",40, 8,0,0,2,0,2,0,2
2009,"Improving lower limb salvage following fractures with vascular injury: a systematic review and new management algorithm","Glass G.E., Pearse M.F., Nanchahal J.",17486815,"Journal of Plastic, Reconstructive and Aesthetic Surgery",62, 5,0,4,3,2,9,0,9
2008,"Comparison of the healing of open tibial fractures covered with either muscle or fasciocutaneous tissue in a murine model","Harry L.E., Sandison A., Paleolog E.M., Hansen U., Pearse M.F., Nanchahal J.",07360266,"Journal of Orthopaedic Research",26, 9,4,4,5,1,10,0,14
2008,"Acute compartment syndrome: Reducing the risk","Pearse M.F., Nanchahal J.",13562622,"Clinical Risk",14, 3,0,0,0,0,0,0,0
2008,"The relationship between osteonecrosis of the proximal femur identified by MRI and lesions proven by histological examination","Calder J.D.F., Hine A.L., Pearse M.F., Revell P.A.",0301620X,"Journal of Bone and Joint Surgery - Series B",90, 2,2,0,3,0,3,0,5
2007,"Management of severe open ankle injuries","Khan U., Smitham P., Pearse M., Nanchahal J.",00321052,"Plastic and Reconstructive Surgery",119, 2,0,4,2,1,7,0,7
2006,"Peptide YY (PYY) is increased in elderly patients with femoral neck fractures: A prospective cohort study","Nematy M., Powell C.A., Brynes A.E., Pearse M., Patterson M., Ghatei M.A., Bloom S.R., Frost G.S.",01486071,"Journal of Parenteral and Enteral Nutrition",30, 6,0,0,0,0,0,0,0
2006,"Management of severe open tibial fractures. The need for combined orthopaedic and plastic surgical treatment in specialist centres","Naique S.B., Pearse M., Nanchahal J.",0301620X,"Journal of Bone and Joint Surgery - Series B",88, 3,22,13,8,8,29,0,51
2005,"Leg length preservation with pedicled fillet of foot flaps after traumatic amputations","Ghali S., Harris P.A., Khan U., Pearse M., Nanchahal J.",00321052,"Plastic and Reconstructive Surgery",115, 2,11,2,2,1,5,0,16
2004,"Apoptosis - A significant cause of bone cell death in osteonecrosis of the femoral head","Calder J.D.F., Buttery L., Revell P.A., Pearse M., Polak J.M.",0301620X,"Journal of Bone and Joint Surgery - Series B",86, 8,27,9,6,2,17,0,44
2003,"Fibrin Sealant Reduces Perioperative Blood Loss in Total Hip Replacement","Wang G.-J., McCoy T., Gie G., Pearse M., Thomas G., Goldthwaite Jr. C.A., Burks S., Crawford R., Spotnitz W.D., Hungerford D., Cardea J., Schmidt R., Kugler J.",10506934,"Journal of Long-Term Effects of Medical Implants",13, 5,8,2,2,2,6,0,14
2003,"Management of soft-tissue problems in leg trauma in conjunction with application of the ilizarov fixator assembly [7] (multiple letters)","Nanchahal J., Pearse M.F., Agarwal R., Agarwal S., Karacaoglan N., Ari C.",00321052,"Plastic and Reconstructive Surgery",111, 3,4,0,2,0,2,0,6
2002,"Acute compartment syndrome of the leg","Pearse M.F., Harry L., Nanchahal J.",09598146,"British Medical Journal",325, 7364,20,1,0,1,2,0,22
2002,"Cemented revision total hip arthroplasty with impaction bone grafting in Gaucher's disease","George M.D., Pearse M.F.",08835403,"Journal of Arthroplasty",17, 5,5,0,0,0,0,0,5
2002,"External fixation design strategies in the management of severe open tibial fractures","Pearse M.F., Nanchahal J.",08859698,"Techniques in Orthopaedics",17, 2,0,0,0,0,0,0,0
2001,"The extent of osteocyte death in the proximal femur of patients with osteonecrosis of the femoral head","Calder J.D.F., Pearse M.F., Revell P.A.",0301620X,"Journal of Bone and Joint Surgery - Series B",83, 3,21,6,2,1,9,0,30
2000,"Bilateral Pipkin type II fractures of the femoral head","Torres L., Coufal C., Pearse M.F., Morandi M.",01477447,"Orthopedics",23, 7,3,0,0,0,0,0,3
1999,"Screw versus suture fixation of Mitchell's osteotomy. A prospective, randomised study","Calder J.D.F., Hollingdale J.P., Pearse M.F.",0301620X,"Journal of Bone and Joint Surgery - Series B",81, 4,9,0,1,0,1,0,10
1998,"Periprosthetic acetabular fracture associated with extensive osteolysis","Chatoo M., Parfitt J., Pearse M.F.",08835403,"Journal of Arthroplasty",13, 7,12,3,2,0,5,0,17
1997,"The immediate treatment of pelvic ring disruption with the pelvic stabilizer","Ward L.D., Morandi M., Pearse M., Randelli P., Landi S.",00185647,"Bulletin: Hospital for Joint Diseases",56, 2,9,1,1,0,2,0,11
1996,"The Ilizarov method in the acute management of severe lower limb fractures","Pearse M.F., Morandi M.M.",08859698,"Techniques in Orthopaedics",11, 2,2,0,0,0,0,0,2
