,"This is a citation overview for a set of 33 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 21 (Of the 33 documents considered for the h-Index, 21 have been cited at least 21 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1254,135,153,47,335,0,1589
2009,"NeMeSys: A biological resource for narrowing the gap between sequence and function in the human pathogen Neisseria meningitidis","Rusniok C., Glaser P., Pelicic V., Vallenet D., Floquet S., Ewles H., Mouze-Soulama C., Brown D., Lajus A., Buchrieser C., Medigue C.",14747596,"Genome Biology",10, 10,0,4,11,0,15,0,15
2008,"Structure of a Widely Conserved Type IV Pilus Biogenesis Factor that Affects the Stability of Secretin Multimers","Trindade M.B., Job V., Contreras-Martel C., Pelicic V., Dessen A.",00222836,"Journal of Molecular Biology",378, 5,5,2,10,2,14,0,19
2008,"Type IV pili: e pluribus unum?","Pelicic V.",0950382X,"Molecular Microbiology",68, 4,15,21,28,8,57,0,72
2007,"3D structure/function analysis of PilX reveals how minor pilins can modulate the virulence properties of type IV pili","Helaine S., Dyer D.H., Nassif X., Pelicic V., Forest K.T.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",104, 40,13,9,5,1,15,0,28
2007,"Alternative Neisseria spp. type IV pilin glycosylation with a glyceramido acetamido trideoxyhexose residue","Chamot-Rooke J., Nassif X., Dumenil G., Rousseau B., Lanternier F., Mikaty G., Mairey E., Malosse C., Bouchoux G., Pelicic V., Camoin L.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",104, 37,8,4,10,3,17,0,25
2007,"Recent advances in the expression, evolution, and dynamics of prokaryotic genomes","Arraiano C.M., Bamford J., Brussow H., Carpousis A.J., Pelicic V., Pfluger K., Polard P., Vogel J.",00219193,"Journal of Bacteriology",189, 17,1,0,1,1,2,0,3
2006,"Meningococcal adhesion suppresses proapoptotic gene expression and promotes expression of genes supporting early embryonic and cytoprotective signaling of human endothelial cells","Linhartova I., Basler M., Ichikawa J., Pelicic V., Osicka R., Lory S., Nassif X., Sebo P.",03781097,"FEMS Microbiology Letters",263, 1,2,1,2,2,5,0,7
2006,"A systematic genetic analysis in Neisseria meningitidis defines the Pil proteins required for assembly, functionality, stabilization and export of type IV pili","Carbonnelle E., Helaine S., Nassif X., Pelicic V.",0950382X,"Molecular Microbiology",61, 6,32,6,6,6,18,0,50
2005,"Type IV pilus biogenesis in Neisseria meningitidis: PilW is involved in a step occurring after pilus assembly, essential for fibre stability and function","Carbonnelle E., Helaine S., Prouvensier L., Nassif X., Pelicic V.",0950382X,"Molecular Microbiology",55, 1,46,5,10,1,16,0,62
2005,"PilX, a pilus-associated protein essential for bacterial aggregation, is a key to pilus-facilitated attachment of Neisseria meningitidis to human cells","Helaine S., Carbonnelle E., Prouvensier L., Beretti J.-L., Nassif X., Pelicic V.",0950382X,"Molecular Microbiology",55, 1,22,7,6,0,13,0,35
2003,"Neisseria meningitidis RTX proteins are not required for virulence in infant rats","Forman S., Linhartova I., Osicka R., Nassif X., Sebo P., Pelicic V.",00199567,"Infection and Immunity",71, 4,9,1,1,0,2,0,11
2003,"Large-scale analysis of the meningococcus genome by gene distruption: Resistance to complement-mediated lysis","Geoffroy M.-C., Floquet S., Metais A., Nassif X., Pelicic V.",10889051,"Genome Research",13, 3,36,7,6,0,13,0,49
2002,"Phospholipases C are involved in the virulence of Mycobacterium tuberculosis","Raynaud C., Guilhot C., Rauzier J., Bordat Y., Pelicic V., Manganelli R., Smith I., Gicquel B., Jackson M.",0950382X,"Molecular Microbiology",45, 1,63,9,4,2,15,0,78
2001,"Culture at high density improves the ability of human macrophages to control mycobacterial growth","Boechat N., Bouchonnet F., Bonay M., Grodet A., Pelicic V., Gicquel B., Hance A.J.",00221767,"Journal of Immunology",166, 10,8,0,1,1,2,0,10
2000,"Mutagenesis of Neisseria meningitidis by in vitro transposition of Himar1 mariner","Pelicic V., Morelle S., Lampe D., Nassif X.",00219193,"Journal of Bacteriology",182, 19,30,2,2,0,4,0,34
1999,"Effect of stimulation of human macrophages on intracellular survival of Mycobacterium bovis bacillus Calmette-Guerin-evaluation with a mycobacterial reporter strain","Boney M., Hance A.J., Bouchonnet F., Pelicic V., Lagier B., Grandsaigne M., Lecossier D., Grodet A., Vokurka M., Gicquel B.",0148916X,"International Journal of Leprosy and Other Mycobacterial Diseases",67, 4,0,0,0,0,0,0,0
1999,"Towards deciphering the Helicobacter pylori cytotoxin","Reyrat J.-M., Pelicic V., Papini E., Montecucco C., Rappuoli R., Telford J.L.",0950382X,"Molecular Microbiology",34, 2,51,2,2,0,4,0,55
1999,"Use of fluorescence induction and sucrose counterselection to identify Mycobacterium tuberculosis genes expressed within host cells","Triccas J.A., Berthet F.-X., Pelicic V., Gicquel B.",13500872,"Microbiology",145, 10,53,1,4,1,6,0,59
1999,"Helicobacter pylori VacA cytotoxin associated with the bacteria increases epithelial permeability independently of its vacuolating activity","Pelicic V., Reyrat J.-M., Sartori L., Pagliaccia C., Rappuoli R., Telford J.L., Montecucco C., Papini E.",13500872,"Microbiology",145, 8,53,2,1,0,3,0,56
1999,"3D imaging of the 58 kDa cell binding subunit of the Helicobacter pylori cytotoxin","Reyrat J.-M., Ji X., Cabiaux V., Papini E., Rappuoli R., Telford J.L., Lanzavecchia S., Lupetti P., De Bernard M., Pagliaccia C., Pelicic V., Charrel M., Ulivieri C., Norais N.",00222836,"Journal of Molecular Biology",290, 2,50,5,1,0,6,0,56
