,"This is a citation overview for a set of 33 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 17 (Of the 33 documents considered for the h-Index, 17 have been cited at least 17 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,810,175,186,61,422,0,1232
2009,"Decay-accelerating factor suppresses complement C3 activation and retards atherosclerosis in low-density lipoprotein receptor-deficient mice","Leung V.W.Y., Yun S., Botto M., Mason J.C., Malik T.H., Song W., Paixao-Cavalcante D., Pickering M.C., Boyle J.J., Haskard D.O.",00029440,"American Journal of Pathology",175, 4,1,6,4,1,11,0,12
2009,"Lateral medullary syndrome with anti-neuronal antibodies (anti-Ta/Ma2) in primary Sögren's syndrome","Mehta P., Fernando M.M., Pickering M.C., Wilson Y., Molloy S., Bernard Colaco C.",14620324,"Rheumatology",48, 9,0,1,1,0,2,0,2
2009,"Complement in human diseases: Lessons from complement deficiencies","Botto M., Kirschfink M., Macor P., Pickering M.C., Wurzner R., Tedesco F.",01615890,"Molecular Immunology",46, 14,2,11,25,1,37,0,39
2009,"Factor H facilitates the clearance of GBM bound iC3b by controlling C3 activation in fluid phase","Paixao-Cavalcante D., Hanson S., Botto M., Cook H.T., Pickering M.C.",01615890,"Molecular Immunology",46, 10,0,2,3,0,5,0,5
2009,"P2X7 deficiency attenuates renal injury in experimental glomerulonephritis","Taylor S.R.J., Burnstock G., Pusey C.D., Unwin R.J., Tam F.W.K., Turner C.M., Elliott J.I., McDaid J., Hewitt R., Smith J., Pickering M.C., Whitehouse D.L., Cook H.T.",10466673,"Journal of the American Society of Nephrology",20, 6,0,1,7,3,11,0,11
2009,"Crry deficiency in complement sufficient mice: C3 consumption occurs without associated renal injury","Ruseva M.M., Hughes T.R., Donev R.M., Sivasankar B., Pickering M.C., Wu X., Harris C.L., Morgan B.P.",01615890,"Molecular Immunology",46, 5,1,2,0,1,3,0,4
