,"This is a citation overview for a set of 45 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 20 (Of the 45 documents considered for the h-Index, 20 have been cited at least 20 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1124,110,101,30,241,0,1365
2009,"Depletion and mutation of topoisomerase II in animal cells.","Porter A.C.",19406029,"Methods in molecular biology (Clifton, N.J.)",582, ,0,0,0,0,0,0,0
2009,"Topoisomerase II?-dependent and -independent apoptotic effects of dexrazoxane and doxorubicin","Yan T., Deng S., Metzger A., Godtel-Armbrust U., Porter A.C.G., Wojnowski L.",15357163,"Molecular Cancer Therapeutics",8, 5,0,2,3,2,7,0,7
2009,"Impaired telomerase activity in human cells expressing GFP-Ku86 fusion proteins","Badie C., Yanez-Munoz R.J., Muller C., Salles B., Porter A.C.G.",14248581,"Cytogenetic and Genome Research",122, 3-4,0,0,0,0,0,0,0
2008,"The role of topoisomerases and RNA transcription in the action of the antitumour benzonaphthyridine derivative SN 28049","Bridewell D.J.A., Porter A.C.G., Finlay G.J., Baguley B.C.",03445704,"Cancer Chemotherapy and Pharmacology",62, 5,1,1,0,0,1,0,2
2008,"Adenovirus-based targeting in myoblasts is hampered by nonhomologous vector integration","Isman O., Roberts M.L., Morgan J.E., Graham I.R., Goldring K., Lawrence-Watt D.J., Lu Q.L., Dunckley M.G., Porter A.C.G., Partridge T.A., Dickson G.",10430342,"Human Gene Therapy",19, 10,1,0,2,1,3,0,4
2008,"SUMO-2/3 Modification and Binding Regulate the Association of CENP-E with Kinetochores and Progression through Mitosis","Zhang X.-D., Goeres J., Zhang H., Yen T.J., Porter A.C.G., Matunis M.J.",10972765,"Molecular Cell",29, 6,23,17,18,5,40,0,63
2008,"Preventing DNA over-replication: A Cdk perspective","Porter A.C.G.",17471028,"Cell Division",3, ,6,3,1,0,4,0,10
2007,"Depletion of topoisomerase II? leads to shortening of the metaphase interkinetochore distance and abnormal persistence of PICH-coated anaphase threads","Spence J.M., Phua H.H., Mills W., Carpenter A.J., Porter A.C.G., Farr C.J.",00219533,"Journal of Cell Science",120, 22,7,4,4,2,10,0,17
2007,"C-Terminal regions of topoisomerase II? and II? determine isoform-specific functioning of the enzymes in vivo","Linka R.M., Porter A.C.G., Volkov A., Mielke C., Boege F., Christensen M.O.",03051048,"Nucleic Acids Research",35, 11,13,5,6,1,12,0,25
2007,"Stringent and reproducible tetracycline-regulated transgene expression by site-specific insertion at chromosomal loci with pre-characterised induction characteristics","Brough R., Papanastasiou A.M., Porter A.C.G.",14712199,"BMC Molecular Biology",8, ,3,1,0,1,2,0,5
2007,"Rescue of a human cell line from endogenous Cdk1 depletion by Cdk1 lacking inhibitory phosphorylation sites","Gupta M., Trott D., Porter A.C.G.",00219258,"Journal of Biological Chemistry",282, 7,2,0,0,0,0,0,2
2006,"Hypothesis: Transcript-templated repair of DNA double-strand breaks","Trott D.A., Porter A.C.G.",02659247,"BioEssays",28, 1,3,0,0,0,0,0,3
2005,"Two hands make light work of gene modification","Porter A.C.G.",15491684,"Rejuvenation Research",8, 4,1,0,0,0,0,0,1
