,"This is a citation overview for a set of 226 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 47 (Of the 226 documents considered for the h-Index, 47 have been cited at least 47 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,12361,1849,1695,491,4035,0,16396
2009,"Blood pressure and glucose control in subjects with diabetes: New analyses from ADVANCE","Poulter N.R.",02636352,"Journal of Hypertension",27, 1,1,4,2,1,7,0,8
2009,"Community-based interventions to promote blood pressure control in a developing country: A cluster randomized trial","Jafar T.H., Hatcher J., Poulter N., Islam M., Hashmi S., Qadri Z., Bux R., Khan A., Jafary F.H., Hameed A., Khan A., Badruddin S.H., Chaturvedi N.",00034819,"Annals of Internal Medicine",151, 9,0,3,6,4,13,0,13
2009,"Atorvastatin treatment is associated with less augmentation of the carotid pressure waveform in hypertension: A substudy of the anglo-scandinavian cardiac outcome trial (ASCOT)","Manisty C., Mayet J., Tapp R.J., Sever P.S., Poulter N., McG. Thom S.A., Hughes A.D.",0194911X,"Hypertension",54, 5,2,5,3,1,9,0,11
2009,"Cognitive function and risks of cardiovascular disease and hypoglycaemia in patients with type 2 diabetes: The action in diabetes and vascular disease: Preterax and diamicron modified release controlled evaluation (ADVANCE) trial","De Galan B.E., Hamet P., Heller S.R., Lisheng L., MacMahon S., Mancia G., Neal B., Pan C.Y., Patel A., Poulter N., Travert F., Zoungas S., Woodward M., Chalmers J., Anderson C., Dufouil C., Pillai A., Cooper M., Grobbee D.E., Hackett M.",0012186X,"Diabetologia",52, 11,0,6,9,2,17,0,17
2009,"Baseline Heart Rate, Antihypertensive Treatment, and Prevention of Cardiovascular Outcomes in ASCOT (Anglo-Scandinavian Cardiac Outcomes Trial)","Poulter N.R., Dobson J.E., Sever P.S., Dahlof B., Wedel H., Campbell N.R.C.",07351097,"Journal of the American College of Cardiology",54, 13,1,11,8,3,22,0,23
2009,"Blood pressure variables and cardiovascular risk: New findings from advance","Kengne A.-P., Hamet P., Harrap S.B., Mancia G., Poulter N., Williams B., Chalmers J., Czernichow S., Huxley R., Grobbee D., Woodward M., Neal B., Zoungas S., Cooper M., Glasziou P.",0194911X,"Hypertension",54, 2,1,10,7,0,17,0,18
2009,"Is Low Birth Weight an Antecedent of CKD in Later Life? A Systematic Review of Observational Studies","White S.L., Chadban S.J., Huxley R.R., Perkovic V., Cass A., Chang C.L., Poulter N.R., Spector T., Haysom L., Craig J.C., Salmi I.A.",02726386,"American Journal of Kidney Diseases",54, 2,3,7,14,7,28,0,31
2009,"Differential effects of antihypertensive treatment on the retinal microcirculation: An anglo-scandinavian cardiac outcomes trial substudy","Thom S., Stettler C., Stanton A., Witt N., Tapp R., Chaturvedi N., Allemann S., Mayet J., Sever P., Poulter N., O'Brien E., Hughes A.",0194911X,"Hypertension",54, 2,1,2,2,2,6,0,7
2009,"Albuminuria and kidney function independently predict cardiovascular and renal outcomes in diabetes","Ninomiya T., Poulter N., Mogensen C.-E., Cooper M., Marre M., Williams B., Hamet P., Mancia G., Woodward M., MacMahon S., Chalmers J., Perkovic V., De Galan B.E., Zoungas S., Pillai A., Jardine M., Patel A., Cass A., Neal B.",10466673,"Journal of the American Society of Nephrology",20, 8,6,56,57,21,134,0,140
2009,"Implementation of pay for performance policy in England","Falaschetti E., Campbell N.R.C., Mohan S., Poulter N.",0194911X,"Hypertension",54, 1,0,2,2,0,4,0,4
