,"This is a citation overview for a set of 263 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 42 (Of the 263 documents considered for the h-Index, 42 have been cited at least 42 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,4713,754,796,1550,550,6813
2009,"Urinary monocyte chemoattractant protein-1 (MCP-1) and connective tissue growth factor (CCN2) as prognostic markers for progression of diabetic nephropathy","Tam F.W.K., Riser B.L., Meeran K., Rambow J., Pusey C.D., Frankel A.H.",10434666,"Cytokine",47, 1,0,0,0,0,0,0
2009,"Shining a LAMP on pauci-immune focal segmental glomerulonephritis","Salama A.D., Pusey C.D.",00852538,"Kidney International",76, 1,0,0,0,0,1,1
2009,"Lymphocytes from P2X7-deficient mice exhibit enhanced P2X 7 responses","Taylor S.R.J., Gonzalez-Begne M., Sojka D.K., Richardson J.C., Sheardown S.A., Harrison S.M., Pusey C.D., Tam F.W.K., Elliott J.I.",07415400,"Journal of Leukocyte Biology",85, 6,0,0,0,0,0,0
2009,"P2X7 deficiency attenuates renal injury in experimental glomerulonephritis","Taylor S.R.J., Burnstock G., Pusey C.D., Unwin R.J., Tam F.W.K., Turner C.M., Elliott J.I., McDaid J., Hewitt R., Smith J., Pickering M.C., Whitehouse D.L., Cook H.T.",10466673,"Journal of the American Society of Nephrology",20, 6,0,0,0,0,0,0
2009,"Mucosal tolerance induced by an immunodominant peptide from rat ?3(IV)NC1 in established experimental autoimmune glomerulonephritis","Reynolds J., Abbott D.S., Karegli J., Evans D.J., Pusey C.D.",00029440,"American Journal of Pathology",174, 6,0,0,0,0,0,0
2009,"Pulse versus daily oral cyclophosphamide for induction of remission in antineutrophil cytoplasmic antibody-associated vasculitis: A randomized trial","De Groot K., Sinico R.A., Tesar V., Vanhille P., Westman K., Savage C.O.S., Harper L., Jayne D.R.W., Suarez L.F.F., Gregorini G., Gross W.L., Luqmani R., Pusey C.D., Rasmussen N.",00034819,"Annals of Internal Medicine",150, 10,0,0,0,0,1,1
2009,"Rituximab is effective in the treatment of refractory ophthalmic Wegener's granulomatosis","Taylor S.R.J., Salama A.D., Joshi L., Pusey C.D., Lightman S.L.",00043591,"Arthritis and Rheumatism",60, 5,0,0,0,0,0,0
2009,"Protein load impairs factor H binding promoting complement-dependent dysfunction of proximal tubular cells","Buelli S., Remuzzi G., Abbate M., Morigi M., Moioli D., Zanchi C., Noris M., Zoja C., Pusey C.D., Zipfel P.F.",00852538,"Kidney International",75, 10,0,0,0,0,0,0
2009,"Experimental autoimmune vasculitis: An animal model of anti-neutrophil cytoplasmic autoantibody-associated systemic vasculitis","Little M.A., Smyth L., Salama A.D., Mukherjee S., Smith J., Haskard D., Nourshargh S., Cook H.T., Pusey C.D.",00029440,"American Journal of Pathology",174, 4,0,0,0,0,0,0
2009,"European consensus statement on the terminology used in the management of lupus glomerulonephritis","Gordon C., Chizzolini C., Dayer J.M., Doria A., Ferrario F., Floege J., Guillevin L., Haubitz M., Hiepe F., Houssiau F., Lesavre P., Jayne D., Lightstone L., Meroni P.L., Meyer O., Moulin B., O'Reilly K., Praga M., Schulze-Koops H., Sinico R.A., Smith K.G.C., Tincani A., Pusey C., Vasconcelos C., Hughes G.R.V., Adu D., Amoura Z., Aringer M., Ballerin J., Cervera R., Calvo-Alen J.",09612033,"Lupus",18, 3,0,0,0,0,1,1
2009,"Identification of a nephritogenic immunodominant B and T cell epitope in experimental autoimmune glomerulonephritis","Reynolds J., Haxby J., Juggapah J.K., Pusey C.D.",00099104,"Clinical and Experimental Immunology",155, 2,0,0,0,0,1,1
2008,"The A20 gene protects kidneys from ischaemia/reperfusion injury by suppressing pro-inflammatory activation","Lutz J., Haskard D.O., Baumann M., Boyle J., Harten S., Maxwell P.H., Pusey C., Heemann U., Evans P.C., Luong L.A., Strobl M., Huang H., Anton M., Zakkar M., Enesa K., Chaudhury H.",09462716,"Journal of Molecular Medicine",86, 12,0,0,1,1,0,1
2008,"Preface","Mason J.C., Pusey C.D.",15715078,"Handbook of Systemic Autoimmune Diseases",7, ,0,0,0,0,0,0
2008,"Rituximab is effective in the treatment of refractory Churg-Strauss syndrome and is associated with diminished T-cell interleukin-5 production","Pepper R.J., Fabre M.A., Pavesio C., Gaskin G., Jones R.B., Jayne D., Pusey C.D., Salama A.D.",14620324,"Rheumatology",47, 7,0,0,1,1,4,5
2008,"Severe insulin resistance secondary to insulin antibodies: Successful treatment with the immunosuppressant MMF","Segal T., Webb E.A., Viner R., Pusey C., Wild G., Allgrove J.",1399543X,"Pediatric Diabetes",9, 3,0,0,0,0,1,1
2008,"Infliximab therapy for aggressive Mooren ulceration","Saw V.P.J., Cornelius N., Salama A.D., Pusey C., Lightman S.L.",00039950,"Archives of Ophthalmology",126, 5,0,0,0,0,1,1
2008,"Jund is a determinant of macrophage activation and is associated with glomerulonephritis susceptibility","Behmoaras J., Foxwell B.M., Pusey C.D., Cook H.T., Aitman T.J., Bhangal G., Smith J., McDonald K., Mutch B., Lai P.C., Domin J., Game L., Salama A.",10614036,"Nature Genetics",40, 5,0,0,2,2,2,4
2008,"Transplantation of human fetal mesenchymal stem cells improves glomerulopathy in a collagen type I?2-deficient mouse","Guillot P.V., Cook H.T., Pusey C.D., Fisk N.M., Harten S., Moss J., Shore I., Bou-Gharios G.",00223417,"Journal of Pathology",214, 5,0,0,3,3,5,8
2008,"Results of endoscopic surgery and intralesional steroid therapy for airway compromise due to tracheobronchial Wegener's granulomatosis","Nouraei S.A.R., Obholzer R., Ind P.W., Salama A.D., Pusey C.D., Porter F., Howard D.J., Sandhu G.S.",09059180,"European Respiratory Review",17, 107,0,0,1,1,0,1
2008,"A case of treated ANCA-associated vasculitis with recurrent renal failure","Salama A.D., Cook H.T., Pusey C.D., Pepper R.J.",15559041,"Clinical Journal of the American Society of Nephrology",3, 2,0,0,0,0,0,0
2008,"Results of endoscopic surgery and intralesional steroid therapy for airway compromise due to tracheobronchial Wegener's granulomatosis","Nouraei S.A.R., Obholzer R., Ind P.W., Salama A.D., Pusey C.D., Porter F., Howard D.J., Sandhu G.S.",00406376,"Thorax",63, 1,0,0,2,2,4,6
2007,"Erratum: Chances of renal recovery for dialysis-dependent ANCA-associated glomerulonephritis (Journal of the American Society of Nephrology (2007) 18, (2189-2197))","De Lind Van Wijngaarden, Pusey C.D.",10466673,"Journal of the American Society of Nephrology",18, 12,0,0,0,0,0,0
2007,"Interferon-? reduces proteinuria in experimental glomerulonephritis","Satchell S.C., Cook H.T., Mathieson P.W., Pusey C.D., Buchatska O., Khan S.B., Bhangal G., Tasman C.H., Saleem M.A., Baker D.P., Lobb R.R., Smith J.",10466673,"Journal of the American Society of Nephrology",18, 11,0,2,1,3,2,5
2007,"Platelet-derived growth factor reorganizes the actin cytoskeleton through 3-phosphoinositide-dependent and 3-phosphoinositide-independent mechanisms in human mesangial cells","Harper L., Kashiwagi Y., Pusey C.D., Hendry B.M., Domin J.",16602137,"Nephron - Physiology",107, 2,0,0,0,0,0,0
2007,"A patient with suspected miscarriage is found to have hypertension, renal failure, and thrombocytopenia: Case outcome","Laing C.M., Roberts R., Lightstone L., Graham A., Cook T.H., Summers S., Pusey C.D.",09598146,"British Medical Journal",335, 7612,0,0,1,1,0,1
