,"This is a citation overview for a set of 34 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 20 (Of the 34 documents considered for the h-Index, 20 have been cited at least 20 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,852,72,84,27,183,0,1035
2009,"Regulation of angiogenesis by ETS transcription factors","Randi A.M., Sperone A., Dryden N.H., Birdsey G.M.",03005127,"Biochemical Society Transactions",37, 6,0,1,8,2,11,0,11
2009,"Myeloid cell-induced angiogenesis: A sticky business","Randi A.M., Bussolati B.",00064971,"Blood",113, 26,0,1,0,0,1,0,1
2008,"Transcription factor erg regulates angiogenesis and endothelial apoptosis through VE-cadherin","Birdsey G.M., Dryden N.H., Amsellem V., Gebhardt F., Sahnan K., Haskard D.O., Dejana E., Mason J.C., Randi A.M.",00064971,"Blood",111, 7,17,10,22,6,38,0,55
2007,"Statin-mediated cytoprotection of human vascular endothelial cells: A role for Kruppel-like factor 2-dependent induction of heme oxygenase-1","Ali F., Mason J.C., Hamdulay S.S., Kinderlerer A.R., Boyle J.J., Lidington E.A., Yamaguchi T., Soares M.P., Haskard D.O., Randi A.M.",15387933,"Journal of Thrombosis and Haemostasis",5, 12,15,8,3,2,13,0,28
2007,"Foxs and Ets in the transcriptional regulation of endothelial cell differentiation and angiogenesis","Dejana E., Taddei A., Randi A.M.",0304419X,"Biochimica et Biophysica Acta - Reviews on Cancer",1775, 2,23,13,6,3,22,0,45
2006,"Aprotinin inhibits proinflammatory activation of endothelial cells by thrombin through the protease-activated receptor 1","Day J.R.S., Taylor K.M., Lidington E.A., Mason J.C., Haskard D.O., Randi A.M., Landis R.C.",00225223,"Journal of Thoracic and Cardiovascular Surgery",131, 1,17,5,1,0,6,0,23
2005,"Endothelial intercellular adhesion molecule (ICAM)-2 regulates angiogenesis","Huang M.-T., Mason J.C., Birdsey G.M., Amsellem V., Gerwin N., Haskard D.O., Ridley A.J., Randi A.M.",00064971,"Blood",106, 5,24,3,3,0,6,0,30
2005,"Atorvastatin affects leukocyte gene expression in dyslipidemia patients: In vivo regulation of hemostasis, inflammation and apoptosis","Wibaut-Berlaimont V., Randi A.M., Mandryko V., Lunnon M.W., Haskard D.O., Naoumova R.P.",15387933,"Journal of Thrombosis and Haemostasis",3, 4,17,3,3,2,8,0,25
2004,"Clinical inhibition of the seven-transmembrane thrombin receptor (PAR1) by intravenous aprotinin during cardiothoracic surgery","Day J.R.S., Punjabi P.P., Randi A.M., Haskard D.O., Lands R.C., Taylor K.M.",00097322,"Circulation",110, 17,42,4,4,0,8,0,50
2003,"Identification of differentially expressed genes in coronary atherosclerotic plaques from patients with stable or unstable angina by cDNA array analysis","Randi A.M., Biguzzi E., Falciani F., Merlini P., Blakemore S., Bramucci E., Lucreziotti S., Lennon M., Faioni E.M., SsiNo D.A., Mannucci P.M.",15387933,"Journal of Thrombosis and Haemostasis",1, 4,20,2,2,3,7,0,27
2002,"Statin-induced expression of decay-accelerating factor protects vascular endothelium against complement-mediated injury","Mason J.C., Ahmed Z., Mankoff R., Lidington E.A., Ahmad S., Bhatia V., Kinderlerer A., Randi A.M., Haskard D.O.",00097330,"Circulation Research",91, 8,47,4,5,3,12,0,59
2002,"Intercellular adhesion molecule (ICAM)-1, but not ICAM-2, activates RhoA and stimulates c-fos and rhoA transcription in endothelial cells","Thompson P.W., Randi A.M., Ridley A.J.",00221767,"Journal of Immunology",169, 2,50,6,5,1,12,0,62
2001,"Combined genomic and antisense analysis reveals that the transcription factor Erg is implicated in endothelial cell differentiation","McLaughlin F., Ludbrook V.J., Cox J., Von Carlowitz I., Brown S., Randi A.M.",00064971,"Blood",98, 12,26,0,7,2,9,0,35
1999,"Characterisation of the tumour necrosis factor (TNF)-? response elements in the human ICAM-2 promoter","McLaughlin F., Ludbrook V.J., Kola I., Campbell C.J., Randi A.M.",00219533,"Journal of Cell Science",112, 24,24,0,2,2,4,0,28
1998,"Tumor necrosis factor (TNF)-? and interleukin (IL)-1? down-regulate intercellular adhesion molecule (ICAM)-2 expression on the endothelium","Mclaughlin F., Hayes B.P., Horgan C.M.T., Beesley J.E., Campbell C.J., Randi A.M.",10615385,"Cell Adhesion and Communication",6, 5,26,1,2,0,3,0,29
1998,"The I domain of integrin leukocyte function-associated antigen-1 is involved in a conformational change leading to high affinity binding to ligand intercellular adhesion molecule 1 (ICAM-1)","McDowall A., Leitinger B., Stanley P., Bates P.A., Randi A.M., Hogg N.",00219258,"Journal of Biological Chemistry",273, 42,76,2,1,0,3,0,79
1994,"The sticking point: How integrins bind to their ligands","Hogg N., Clive Landis R., Bates P.A., Stanley P., Randi A.M.",09628924,"Trends in Cell Biology",4, 11,20,0,1,0,1,0,21
1994,"I domain of ?2 integrin lymphocyte function-associated antigen-1 contains a binding site for ligand intercellular adhesion molecule-1","Randi A.M., Hogg N.",00219258,"Journal of Biological Chemistry",269, 17,106,0,0,0,0,0,106
1993,"Effect of type IIB von Willebrand disease mutation Arg(545)Cys on platelet glycoprotein Ib binding studies with recombinant von Willebrand factor","Inbal A., Kornbrot N., Harrison P., Randi A.M., Sadler J.E.",03406245,"Thrombosis and Haemostasis",70, 6,17,0,0,0,0,0,17
1993,"The genetic defect of type I von Willebrand disease 'Vicenza' is linked to the von Willebrand factor gene","Randi A.M., Sacchi E., Castaman G.C., Rodeghiero F., Mannucci P.M.",03406245,"Thrombosis and Haemostasis",69, 2,5,0,0,0,0,0,5
1993,"Type IIB mutation His-505 ? Asp implicates a new segment in the control of von Willebrand factor binding to platelet glycoprotein Ib","Rabinowitz I., Randi A.M., Shindler K.S., Tuley E.A., Rustagi P.K., Sadler J.E.",00219258,"Journal of Biological Chemistry",268, 27,19,0,0,0,0,0,19
