,"This is a citation overview for a set of 10 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 6 (Of the 10 documents considered for the h-Index, 6 have been cited at least 6 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,469,15,18,33,22,524
2009,"Differential Mobilization of Subsets of Progenitor Cells from the Bone Marrow","Pitchford S.C., Furze R.C., Jones C.P., Wengner A.M., Rankin S.M.",19345909,"Cell Stem Cell",4, 1,0,0,0,0,6,6
2008,"Increased expression of CCL2 in insulin-producing cells of transgenic mice promotes mobilization of myeloid cells from the bone marrow, marked insulitis, and diabetes","Martin A.P., Rankin S., Pitchford S., Charo I.F., Furtado G.C., Lira S.A.",00121797,"Diabetes",57, 11,0,0,1,1,1,2
2008,"Neutrophil mobilization and clearance in the bone marrow","Furze R.C., Rankin S.M.",00192805,"Immunology",125, 3,0,0,0,0,1,1
2008,"Migration across the sinusoidal endothelium regulates neutrophil mobilization in response to ELR + CXC chemokines","Burdon P.C.E., Martin C., Rankin S.M.",00071048,"British Journal of Haematology",142, 1,0,0,2,2,0,2
2008,"Structural characterisation of neutrophil glycans by ultra sensitive mass spectrometric glycomics methodology","Babu P., Haslam S.M., North S.J., Jang-Lee J., Chalabi S., Mackerness K., Stowell S.R., Cummings R.D., Rankin S., Dell A.",02820080,"Glycoconjugate Journal",, ,0,0,1,1,2,3
1998,"Macrophage scavenger receptor(s) and oxidatively modified proteins in endometriosis","Murphy A.A., Palinski W., Rankin S., Morales A.J., Parthasarathy S.",00150282,"Fertility and Sterility",69, 6,25,2,3,5,2,32
1998,"Evidence for oxidatively modified lipid-protein complexes in endometrium and endometriosis","Murphy A.A., Palinski W., Rankin S., Morales A.J., Parthasarathy S.",00150282,"Fertility and Sterility",69, 6,24,2,6,8,2,34
1996,"Requirement for phosphatidylinositol 3?-kinase activity in platelet-derived growth factor-stimulated tyrosine phosphorylation of p125 focal adhesion kinase and paxillin","Rankin S., Hooshmand-Rad R., Claesson-Welsh L., Rozengurt E.",00219258,"Journal of Biological Chemistry",271, 13,85,4,1,5,2,92
1994,"Platelet-derived growth factor modulation of focal adhesion kinase (p125(FAK)) and paxillin tyrosine phosphorylation in Swiss 3T3 cells. Bell- shaped dose response and cross-talk with bombesin","Rankin S., Rozengurt E.",00219258,"Journal of Biological Chemistry",269, 1,223,6,3,9,5,237
1994,"Botulinum C3 exoenzyme blocks the tyrosine phosphorylation of p125(FAK) and paxillin induced by bombesin and endothelin","Rankin S., Morii N., Narurniya S., Rozengurt E.",00145793,"FEBS Letters",354, 3,112,1,1,2,1,115
