,"This is a citation overview for a set of 120 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 37 (Of the 120 documents considered for the h-Index, 37 have been cited at least 37 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2974,575,582,1157,383,4514
2009,"A novel method to aid in the visualisation and treatment of uterine fibroids with MRgFUS in patients with abdominal scars","Zaher S., Gedroyc W., Lyons D., Regan L.",0720048X,"European Journal of Radiology",, ,0,0,0,0,0,0
2009,"Seroprevalence of Coxiella burnetii and Brucella abortus among pregnant women","Baud D., Peter O., Langel C., Regan L., Greub G.",1198743X,"Clinical Microbiology and Infection",15, 5,0,0,0,0,0,0
2009,"Patient suitability for magnetic resonance guided focused ultrasound surgery of uterine fibroids","Zaher S., Gedroyc W.M., Regan L.",03012115,"European Journal of Obstetrics Gynecology and Reproductive Biology",143, 2,0,0,0,0,0,0
2008,"Human chorionic gonadotrophin for threatened miscarriage","Devaseelan J.P., Fogarty P.P., Regan L.",1469493X,"Cochrane Database of Systematic Reviews",, 4,0,0,0,0,0,0
2008,"Cost-effectiveness of magnetic resonance-guided focused ultrasound surgery for treatment of uterine fibroids","Zowall H., Cairns J.A., Brewer C., Lamping D.L., Gedroyc W.M.W., Regan L.",14700328,"BJOG: An International Journal of Obstetrics and Gynaecology",115, 5,0,0,2,2,2,4
2008,"Emerging role of Chlamydia and Chlamydia-like organisms in adverse pregnancy outcomes","Baud D., Regan L., Greub G.",09517375,"Current Opinion in Infectious Diseases",21, 1,0,0,2,2,8,10
2007,"Waddlia chondrophila, a potential agent of human fetal death","Baud D., Thomas V., Arafa A., Regan L., Greub G.",10806040,"Emerging Infectious Diseases",13, 8,0,0,4,4,8,12
2007,"Sustained relief of leiomyoma symptoms by using focused ultrasound surgery","Stewart E.A., Gostout B., Rabinovici J., Kim H.S., Regan L., Tempany C.M.C.",00297844,"Obstetrics and Gynecology",110, 2 I,0,4,15,19,14,33
2007,"Pelvic schwannoma: A retroperitoneal tumour mimicking uterine leiomyoma","Smart O.C., Gedroyc W.G., Regan L.R.",01443615,"Journal of Obstetrics and Gynaecology",27, 1,0,0,1,1,0,1
2007,"Counterfactual thinking and psychological distress following recurrent miscarriage","Callander G., Brown G.P., Tata P., Regan L.",02646838,"Journal of Reproductive and Infant Psychology",25, 1,0,0,2,2,1,3
2007,"Placental pathology of recurrent spontaneous abortion: The role of histopathological examination of products of conception in routine clinical practice: A mini review","Jindal P., Regan L., Fourkala E.O., Rai R., Moore G., Goldin R.D., Sebire N.J.",02681161,"Human Reproduction",22, 2,0,0,1,1,1,2
