,"This is a citation overview for a set of 50 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 22 (Of the 50 documents considered for the h-Index, 22 have been cited at least 22 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,865,259,303,69,631,0,1496
2009,"Management of relapse after allo-SCT for AML and the role of second transplantation","Savani B.N., Mielke S., Reddy N., Goodman S., Jagasia M., Rezvani K.",02683369,"Bone Marrow Transplantation",44, 12,0,3,1,3,7,0,7
2009,"Immunotherapy: Can we include vaccines with stem-cell transplantation?","Barrett J., Rezvani K.",17594774,"Nature Reviews Clinical Oncology",6, 9,0,2,4,0,6,0,6
2009,"The level of BCR-ABL1 kinase activity before treatment does not identify chronic myeloid leukemia patients who fail to achieve a complete cytogenetic response on imatinib","Khorashad J.S., Wagner S., Greener L., Marin D., Reid A., Milojkovic D., Patel H., Willimott S., Rezvani K., Gerrard G., Loaiza S., Davis J., Goldman J., Melo J., Apperley J., Foroni L.",03906078,"Haematologica",94, 6,0,1,2,0,3,0,3
2009,"Does a rise in the BCR-ABL1 transcript level identify chronic phase CML patients responding to imatinib who have a high risk of cytogenetic relapse?","Marin D., Khorashad J.S., Foroni L., Milojkovic D., Szydlo R., Reid A.G., Rezvani K., Bua M., Goldman J.M., Apperley J.F.",00071048,"British Journal of Haematology",145, 3,2,7,4,1,12,0,14
2009,"Ex vivo characterization of polyclonal memory CD8 + T-cell responses to PRAME-specific peptides in patients with acute lymphoblastic leukemia and acute and chronic myeloid leukemia","Rezvani K., Yong A.S.M., Tawab A., Jafarpour B., Eniafe R., Mielke S., Savani B.N., Keyvanfar K., Li Y., Kurlander R., Barrett A.J.",00064971,"Blood",113, 10,1,8,17,3,28,0,29
2008,"European LeukemiaNet criteria for failure or suboptimal response reliably identify patients with CML in early chronic phase treated with imatinib whose eventual outcome is poor","Marin D., Milojkovic D., Olavarria E., Khorashad J.S., De Lavallade H., Reid A.G., Foroni L., Rezvani K., Bua M., Dazzi F., Pavlu J., Klammer M., Kaeda J.S., Goldman J.M., Apperley J.F.",00064971,"Blood",112, 12,22,33,39,11,83,0,105
2008,"PR1 vaccination in myeloid malignancies","Rezvani K.",14760584,"Expert Review of Vaccines",7, 7,4,4,6,0,10,0,14
