,"This is a citation overview for a set of 22 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 8 (Of the 22 documents considered for the h-Index, 8 have been cited at least 8 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,121,29,31,18,78,0,199
2009,"Delivery of asthma and allergy care in Europe","Roberts N., Papageorgiou P., Partridge M.R.",02770903,"Journal of Asthma",46, 8,0,0,2,1,3,0,3
2009,"The development and comprehensibility of a pictorial asthma action plan","Roberts N.J., Mohamed Z., Wong P.-S., Johnson M., Loh L.-C., Partridge M.R.",07383991,"Patient Education and Counseling",74, 1,0,2,1,4,7,0,7
2008,"Health literacy in COPD","Roberts N.J., Ghiassi R., Partridge M.R.",11769106,"International Journal of COPD",3, 4,0,4,3,3,10,0,10
2008,"Nebulisers or spacers for the administration of bronchodilators to those with asthma attending emergency departments?","Mason N., Roberts N., Yard N., Partridge M.R.",09546111,"Respiratory Medicine",102, 7,2,1,1,1,3,0,5
2008,"A nurse led intermediate care package in patients who have been hospitalised with an acute exacerbation of chronic obstructive pulmonary disease","Sridhar M., Taylor R., Dawson S., Roberts N.J., Partridge M.R.",00406376,"Thorax",63, 3,14,4,7,2,13,0,27
2007,"Comparison of a web-based package with tutor-based methods of teaching respiratory medicine: Subjective and objective evaluations","Smith S.F., Roberts N.J., Partridge M.R.",14726920,"BMC Medical Education",7, ,3,3,1,0,4,0,7
2007,"Does the use of a glossary aid patient understanding of the letters sent to their general practitioner?","Brown C.E., Roberts N.J., Partridge M.R.",14702118,"Clinical Medicine, Journal of the Royal College of Physicians of London",7, 5,1,0,0,0,0,0,1
2007,"How much of a primary care nurse's time is spent on those with respiratory disease? A pilot study","Blake D., Roberts N.J., Partridge M.R.",14714418,"Primary Care Respiratory Journal",16, 5,2,1,0,0,1,0,3
2007,"Do newly qualified doctors use the knowledge and skills they learned as medical undergraduates? [3]","Smith S.F., Roberts N.J., Partridge M.R.",03080110,"Medical Education",41, 9,0,1,1,0,2,0,2
2007,"Why do patients decline to take part in a research project involving pulmonary rehabilitation?","Taylor R., Dawson S., Roberts N., Sridhar M., Partridge M.R.",09546111,"Respiratory Medicine",101, 9,7,2,4,0,6,0,13
2007,"Telephone consultations in secondary care","Roberts N.J., Partridge M.R.",09546111,"Respiratory Medicine",101, 8,1,2,0,1,3,0,4
2007,"The effect of telephone reminders on attendance in respiratory outpatient clinics","Roberts N., Meade K., Partridge M.",13558196,"Journal of Health Services Research and Policy",12, 2,8,3,3,3,9,0,17
2006,"How is difficult asthma managed?","Roberts N.J., Robinson D.S., Partridge M.R.",09031936,"European Respiratory Journal",28, 5,8,1,1,1,3,0,11
2006,"Writing to patients.","Partridge M.R., Roberts N.J.",14702118,"Clinical medicine (London, England)",6, 3,0,0,0,0,0,0,0
2006,"Writing to patients [8]","Partridge M.R., Roberts N.J.",14702118,"Clinical Medicine, Journal of the Royal College of Physicians of London",6, 3,0,0,0,0,0,0,0
2006,"How useful are post consultation letters to patients?","Roberts N.J., Partridge M.R.",17417015,"BMC Medicine",4, ,10,2,2,0,4,0,14
2005,"Do medical outpatients want 'out of hours' clinics?","Feeney C.L., Roberts N.J., Partridge M.R.",14726963,"BMC Health Services Research",5, ,6,0,0,0,0,0,6
2003,"Relationship between chronic nasal and respiratory symptoms in patients with COPD","Roberts N.J., Lloyd-Owen S.J., Rapado F., Patel I.S., Wilkinson T.M.A., Donaldson G.C., Wedzicha J.A.",09546111,"Respiratory Medicine",97, 8,20,2,2,2,6,0,26
2003,"Airway epithelial inflammatory responses and clinical parameters in COPD","Patel I.S., Roberts N.J., Lloyd-Owen S.J., Sapsford R.J., Wedzicha J.A.",09031936,"European Respiratory Journal",22, 1,36,1,3,0,4,0,40
2000,"Effect of rhinovirus infection of primary airway cells","Roberts N.J., Rachmanidou A., Sapsford R., Argent S., Wedzicha J.A.",00406376,"Thorax",55, 3,0,0,0,0,0,0,0
2000,"The effect of clarithromycin on endothelin-1 production by primary bronchial epithelial cell cultures from COPD patients","Roland M.A., Patel I., Roberts N.J., Sapsford R.J., Warner T., Wedzicha J.A.",00406376,"Thorax",55, 3,0,0,0,0,0,0,0
2000,"Teaching exchange","Eve R., White A., Roberts N., Crane S.",13678523,"Education for General Practice",11, 1,3,0,0,0,0,0,3
