,"This is a citation overview for a set of 88 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 32 (Of the 88 documents considered for the h-Index, 32 have been cited at least 32 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2275,193,188,67,448,0,2723
2009,"Bioluminescent monitoring of in vivo colonization and clearance dynamics by light-emitting bacteria.","Wiles S., Robertson B.D., Frankel G., Kerton A.",19406029,"Methods in molecular biology (Clifton, N.J.)",574, ,0,0,3,0,3,0,3
2009,"Virulence, immunopathology and transmissibility of selected strains of Mycobacterium tuberculosis in a murine model","Marquina-Castillo B., Garcia-Garcia L., Ponce-De-Leon A., Jimenez-Corona M.-E., Bobadilla-Del Valle M., Cano-Arellano B., Canizales-Quintero S., Martinez-Gamboa A., Kato-Maeda M., Robertson B., Young D., Small P., Schoolnik G., Sifuentes-Osornio J., Hernandez-Pando R.",00192805,"Immunology",128, 1,0,4,3,2,9,0,9
2009,"A celebration of the 50th anniversary of David Hubel and Torsten Wiesel's Receptive fields of single neurones in the cat's striate cortex","Robertson B.",00223751,"Journal of Physiology",587, 12,0,1,0,0,1,0,1
2009,"The burden of mycobacterial disease in Ethiopian cattle: Implications for public health","Berg S., Smith N.H., Engers H., Young D., Hewinson R.G., Aseffa A., Gordon S.V., Firdessa R., Habtamu M., Gadisa E., Mengistu A., Yamuah L., Ameni G., Vordermeier M., Robertson B.D.",19326203,"PLoS ONE",4, 4,2,11,9,3,23,0,25
2009,"Robotic multiwell planar patch-clamp for native and primary mammalian cells","Milligan C.J., McFadzean I., Beccano-Kelly D., Bahnasi Y., Cheong A., Naylor J., Zeng F., Liu X., Gamper N., Jiang L.-H., Pearson H.A., Li J., Peers C., Robertson B., Beech D.J., Sukumar P., Majeed Y., Dallas M.L., English A., Emery P., Porter K.E., Smith A.M.",17542189,"Nature Protocols",4, 2,1,8,9,2,19,0,20
2008,"Molecular Analysis of Mycobacterium tuberculosis Strains with an Intact pks15/1 Gene in a Rural Community of Mexico","Martinez-Gamboa A., Ponce-de-Leon A., Galindo-Fraga A., Bobadilla-del-Valle M., Kato-Maeda M., Robertson B.D., Young D.B., Small P.M., Sifuentes-Osornio J.",01884409,"Archives of Medical Research",39, 8,0,1,0,0,1,0,1
2008,"Inhibition of M current in sensory neurons by exogenous proteases: A signaling pathway mediating inflammatory nociception","Linley J.E., Rose K., Patil M., Robertson B., Akopian A.N., Gamper N.",02706474,"Journal of Neuroscience",28, 44,2,10,8,4,22,0,24
2008,"The Journal of Physiology annual report 2007","Large W.A., Robertson B.",00223751,"Journal of Physiology",586, 3,0,0,0,0,0,0,0
2007,"Systems biology and its impact on anti-infective drug development","Stumpf M.P., Robertson B.D., Duncan K., Young D.B.",0071786X,"Progress in Drug Research",64, ,0,0,0,0,0,0,0
2007,"Gating currents from a Kv3 subfamily potassium channel: Charge movement and modification by BDS-II toxin","Wang Z., Robertson B., Fedida D.",00223751,"Journal of Physiology",584, 3,2,1,0,0,1,0,3
