,"This is a citation overview for a set of 175 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 51 (Of the 175 documents considered for the h-Index, 51 have been cited at least 51 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,8501,857,807,1664,597,10762
2009,"Activin and transforming growth factor-? signaling pathways are activated after allergen challenge in mild asthma","Kariyawasam H.H., Pegorier S., Barkans J., Xanthou G., Aizen M., Ying S., Kay A.B., Lloyd C.M., Robinson D.S.",00916749,"Journal of Allergy and Clinical Immunology",124, 3,0,0,0,0,0,0
2009,"Activin-A induces regulatory T cells that suppress T helper cell immune responses and protect from allergic airway disease","Semitekolou M., Xanthou G., Alissafi T., Aggelakopoulou M., Kourepini E., Kariyawasam H.H., Kay A.B., Robinson D.S., Lloyd C.M., Panoutsakopoulou V.",00221007,"Journal of Experimental Medicine",206, 8,0,0,0,0,0,0
2009,"The mechanisms of differential sensitivity to an insulin-like growth factor-1 receptor inhibitor (BMS-536924) and rationale for combining with EGFR/HER2 inhibitors","Huang F., Li A., Lee F.Y., Gottardis M.M., Clark E., Helman L., Attar R.M., Dongre A., Carboni J.M., Greer A., Hurlburt W., Han X., Hafezi R., Wittenberg G.M., Reeves K., Chen J., Robinson D.",00085472,"Cancer Research",69, 1,0,0,0,0,5,5
2008,"CD4+CD25+ regulatory T cells reverse established allergic airway inflammation and prevent airway remodeling","Kearley J., Robinson D.S., Lloyd C.M.",00916749,"Journal of Allergy and Clinical Immunology",122, 3,0,0,0,0,7,7
2008,"New strategies for allergen immunotherapy","Carnes J., Robinson D.S.",1872213X,"Recent Patents on Inflammation and Allergy Drug Discovery",2, 2,0,0,0,0,0,0
2008,"Basal expression of bone morphogenetic protein receptor is reduced in mild asthma","Kariyawasam H.H., Xanthou G., Barkans J., Aizen M., Kay A.B., Robinson D.S.",1073449X,"American Journal of Respiratory and Critical Care Medicine",177, 10,0,0,0,0,4,4
2007,"The role of eosinophils in airway tissue remodelling in asthma","Kariyawasam H.H., Robinson D.S.",09527915,"Current Opinion in Immunology",19, 6,0,0,4,4,8,12
2007,"A study to evaluate safety and efficacy of mepolizumab in patients with moderate persistent asthma","Flood-Page P., Hansel T.T., Barnes N.C., Swenson C., Faiferman I., Matthews J., Williams M., Brannick L., Robinson D., Wenzel S., Busse W.",1073449X,"American Journal of Respiratory and Critical Care Medicine",176, 11,0,2,21,23,27,50
