,"This is a citation overview for a set of 93 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 17 (Of the 93 documents considered for the h-Index, 17 have been cited at least 17 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,440,106,134,240,99,779
2009,"Incidence and spectrum of sporadic Creutzfeldt-Jakob disease variants with mixed phenotype and co-occurrence of PrPSc types: an updated classification","Parchi P., Ghetti B., Pocchiari M., Kretzschmar H., Capellari S., Strammiello R., Notari S., Giese A., Langeveld J.P.M., Ladogana A., Zerr I., Roncaroli F., Cras P.",00016322,"Acta Neuropathologica",, ,0,0,0,0,0,0
2009,"Three redox states of nitrosyl: NO+, NO?, and NO-/HNO interconvert reversibly on the same pentacyanoferrate(II) platform","Montenegro A.C., Amorebieta V.T., Slep L.D., Martin D.F., Roncaroli F., Murgida D.H., Bari S.E., Olabe J.A.",14337851,"Angewandte Chemie - International Edition",48, 23,0,0,0,0,0,0
2009,"Muslin granuloma presenting with speech disturbance diagnosed by endoscopic biopsy","Hyam J.A., Akil H., Roncaroli F., Peterson D.",00016268,"Acta Neurochirurgica",151, 5,0,0,0,0,0,0
2009,"Nineteen-year follow-up of Waldenström's-associated neuropathy and Bing-Neel syndrome","Leschziner G.D., Roncaroli F., Moss J., Guiloff R.J.",0148639X,"Muscle and Nerve",39, 1,0,0,0,0,0,0
2009,"Intraosseous angiolipoma of the cranium: Case report","Yu K., Van Dellen J., Idaewor P., Roncaroli F.",0148396X,"Neurosurgery",64, 1,0,0,0,0,0,0
2008,"Galectin-3 expression is ubiquitous in tumors of the sellar region, nervous system, and mimics: An immunohistochemical and RT-PCR study","Rodriguez F.J., Scheithauer B.W., Roncaroli F., Silva A.I., Kovacs K., Brat D.J., Jin L.",01475185,"American Journal of Surgical Pathology",32, 9,0,0,0,0,1,1
2008,"Redox properties of ruthenium nitrosyl porphyrin complexes with different axial ligation: Structural, spectroelectrochemical (IR, UV-Visible, and EPR), and theoretical studies","Singh P., Das A.K., Sarkar B., Niemeyer M., Roncaroli F., Olabe J.A., Fiedler J., Zalis S., Kaim W.",00201669,"Inorganic Chemistry",47, 16,0,0,0,0,1,1
2008,"Novel reference region model reveals increased microglial and reduced vascular binding of11C-(R)-PK11195 in patients with Alzheimer's disease","Tomasi G., Edison P., Bertoldo A., Roncaroli F., Singh P., Gerhard A., Cobelli C., Brooks D.J., Turkheimer F.E.",01615505,"Journal of Nuclear Medicine",49, 8,0,0,1,1,2,3
2008,"Evaluation of ?-synuclein immunohistochemical methods used by invited experts","Beach T.G., Hladik C.L., Sue L.I., Noorigian J.V., Adler C.H., White C.L., Hamilton R.L., Duda J.E., Iwatsubo T., Dickson D.W., Leverenz J.B., Roncaroli F., Buttini M.",00016322,"Acta Neuropathologica",116, 3,0,0,0,0,4,4
2008,"Chromosomal profiles of gene expression in Huntington's disease","Anderson A.N., Roncaroli F., Hodges A., Deprez M., Turkheimer F.E.",00068950,"Brain",131, 2,0,0,3,3,4,7
2007,"P53 gene mutations in pituitary carcinomas","Tanizaki Y., Jin L., Scheithauer B.W., Kovacs K., Roncaroli F., Lloyd R.V.",10463976,"Endocrine Pathology",18, 4,0,0,0,0,2,2
2007,"Increased binding potential of [11C]PK11195 in Alzheimer disease using a new SRTM accounting for vascular binding","Tomasi G., Gerhard A., Turkheimer F., Bertoldo A., Edison P., Roncaroli F., Pavese N., Hammers A., Yen F.T., Cobelli C., Brooks D.J.",0271678X,"Journal of Cerebral Blood Flow and Metabolism",27, 1,0,0,0,0,0,0
2007,"The lack of expression of the peripheral benzodiazepine receptor characterises microglial response in anaplastic astrocytomas","Takaya S., Banati R.B., Roncaroli F., Hashikawa K., Turkheimer F.E., Mottram N., Deprez M., Ishizu K., Kawashima H., Akiyama H., Fukuyama H.",0167594X,"Journal of Neuro-Oncology",85, 1,0,0,0,0,1,1
2007,"New features in the redox coordination chemistry of metal nitrosyls {M-NO+; M-NO{radical dot}; M-NO-(HNO)}","Roncaroli F., Videla M., Slep L.D., Olabe J.A.",00108545,"Coordination Chemistry Reviews",251, 13-14,0,1,11,12,7,19
2007,"Papillary tumor of the pineal region and spindle cell oncocytoma of the pituitary: New tumor entities in the 2007 WHO classification","Roncaroli F., Scheithauer B.W.",10156305,"Brain Pathology",17, 3,0,0,8,8,4,12
2007,"Mechanistic studies on the activation of NO by iron and cobalt complexes","Franke A., Roncaroli F., Van Eldik R.",14341948,"European Journal of Inorganic Chemistry",, 6,0,0,6,6,4,10
2007,"Apparent diffusion coefficient changes and lesion evolution in Balo's type demyelination-correlation with histopathology","Ball T., Malik O., Roncaroli F., Quest R.A., Aviv R.I.",00099260,"Clinical Radiology",62, 5,0,0,2,2,1,3
2007,"Middle meningeal artery hemorrhage: An incorrect name","Fishpool S.J.C., Suren N., Roncaroli F., Ellis H.",08973806,"Clinical Anatomy",20, 4,0,0,0,0,0,0
2007,"October 2006: A 37-year old male with headache","Chopra I., Roncaroli F., Apostolopoulos V., Moss J., Peston D., O'Neill K.",10156305,"Brain Pathology",17, 2,0,0,0,0,0,0
2007,"Analysis of alpha-synuclein, dopamine and parkin pathways in neuropathologically confirmed parkinsonian nigra","Moran L.B., Croisier E., Duke D.C., Kalaitzakis M.E., Roncaroli F., Deprez M., Dexter D.T., Pearce R.K.B., Graeber M.B.",00016322,"Acta Neuropathologica",113, 3,0,1,2,3,4,7
2007,"Reactivity of reduced nitroprusside, [Fe(CN)5NO .]3-, toward oxygen","Videla M., Roncaroli F., Slep L.D., Olabe J.A.",00027863,"Journal of the American Chemical Society",129, 2,0,2,3,5,0,5
2007,"Reference and target region modeling of [11C]-(R)-PK11195 brain studies","Turkheimer F.E., Brooks D.J., Edison P., Pavese N., Roncaroli F., Anderson A.N., Hammers A., Gerhard A., Hinz R., Tai Y.F.",01615505,"Journal of Nuclear Medicine",48, 1,0,5,13,18,3,21
2006,"Chromosomal patterns of gene expression from microarray data: Methodology, validation and clinical relevance in gliomas","Turkheimer F.E., Deprez M., Roncaroli F., Hennuy B., Herens C., Nguyen M., Martin D., Evrard A., Bours V., Boniver J.",14712105,"BMC Bioinformatics",7, ,0,1,3,4,1,5
2006,"Treatment of newly diagnosed glioblastoma with concomitant and adjuvant temozolomide and radiotherapy: UK experience","Beresford M.J., Power D., Alexander E., Brock C., Thompson J., Roncaroli F., Waldman A.D., Van Dellen J., Glaser M.",11756357,"American Journal of Cancer",5, 6,0,0,0,0,0,0
2006,"Nitrite impurities are responsible for the reaction observed between vitamin B12 and nitric oxide in acidic aqueous solution","Roncaroli F., Shubina T.E., Clark T., Van Eldik R.",00201669,"Inorganic Chemistry",45, 19,0,1,1,2,1,3
2006,"The LG11/Epitempin gene encodes two protein isoforms differentially expressed in human brain","Furlan S., Nobile C., Roncaroli F., Forner F., Vitiello L., Calabria E., Piquer-Sirerol S., Valle G., Perez-Tur J., Michelucci R.",00223042,"Journal of Neurochemistry",98, 3,0,2,3,5,1,6
2006,"Mechanistic analysis of reductive nitrosylation on water-soluble cobalt(III)-porphyrins","Roncaroli F., Van Eldik R.",00027863,"Journal of the American Chemical Society",128, 24,1,5,0,5,0,6
2006,"Lesionectomy in epileptogenic gangliogliomas: Seizure outcome and surgical results","Giulioni M., Gardella E., Rubboli G., Roncaroli F., Zucchelli M., Bernardi B., Tassinari C.A., Calbucci F.",09675868,"Journal of Clinical Neuroscience",13, 5,0,1,1,2,0,2
2006,"Comparative study of commercially available anti-?-synuclein antibodies","Croisier E., MRes D.E., Deprez M., Goldring K., Dexter D.T., Pearce R.K.B., Graeber M.B., Roncaroli F.",03051846,"Neuropathology and Applied Neurobiology",32, 3,2,4,4,8,4,14
2005,"Primary glial tumor of the retina with features of myxopapillary ependymoma","Hegyi L., Peston D., Theodorou M., Moss J., Olver J., Roncaroli F.",01475185,"American Journal of Surgical Pathology",29, 10,0,0,0,0,2,2
2005,"Corticotroph adenoma of the pituitary in a patient with X-linked adrenal hypoplasia congenita due to a novel mutation of the DAX-1 gene","De Menis E., Roncaroli F., Calvari V., Chiarini V., Pauletto P., Camerino G., Cremonini N.",08044643,"European Journal of Endocrinology",153, 2,1,0,0,0,0,1
2005,"Supratentorial cortical ependymoma: Report of three cases","Roncaroli F., Consales A., Fioravanti A., Cenacchi G., Weingart J.D., Bruce J.N., Broggi G.",0148396X,"Neurosurgery",57, 1,1,2,4,6,2,9
2005,"The reactions of nitrosyl complexes with cysteine","Roncaroli F., Olabe J.A.",00201669,"Inorganic Chemistry",44, 13,4,6,3,9,0,13
2005,"Release of NO from reduced nitroprusside ion. Iron-dinitrosyl formation and NO-disproportionation reactions","Roncaroli F., Van Eldik R., Olabe J.A.",00201669,"Inorganic Chemistry",44, 8,8,4,6,10,5,23
2004,"The [Ru(Hedta)NO]0,1- system: Structure, chemical reactivity and biological assays","Zanichelli P.G., Olabe J.A., De Brito A.R.M.S., Franco D.W., Miotto A.M., Estrela H.F.G., Soares F.R., Grassi-Kassisse D.M., Spadari-Bratfisch R.C., Castellano E.E., Roncaroli F., Parise A.R.",01620134,"Journal of Inorganic Biochemistry",98, 11,7,5,4,9,1,17
2004,"A case of cerebral coenurosis | Su di un caso di cenurosi cerebrale","Sabbatani S., Zucchelli M., Calbucci F., Roncaroli F., Chiodo F.",11249390,"Infezioni in Medicina",12, 3,2,1,1,2,0,4
2004,"Tolosa-Hunt syndrome due to actinomycosis of the cavernous sinus: The infections hypothesis revisited","Mandrioli J., Frank G., Sola P., Leone M.E., Guaraldi G., Guaraldi P., Collina G., Roncaroli F., Cortelli P.",00178748,"Headache",44, 8,6,3,0,3,1,10
2004,"Leptomeningeal hemangioblastoma. Case illustration.","Agostinelli C., Roncaroli F., Galassi E., Bernardi B., Acciarri N., Tani G.",00223085,"Journal of neurosurgery",101, 1,1,0,1,1,0,2
2004,"EPR insensitivity of the metal-nitrosyl spin-bearing moiety in complexes [LnRuII-NO.]k","Frantz S., Sarkar B., Sieger M., Kaim W., Roncaroli F., Olabe J.A., Zalis S.",14341948,"European Journal of Inorganic Chemistry",, 14,6,5,6,11,1,18
2004,"Cerebral coenurosis: Case illustration","Sabattani S., Marliani A.F., Roncaroli F., Zucchelli M., Zini A., Calbucci F., Chiodo F.",00223085,"Journal of Neurosurgery",100, 5,0,0,1,1,0,1
2003,"Schwannoma with small cell component [2]","Roncaroli F., Consales A., Betts C., Dorji T., Calbucci F., Eusebi V.",09456317,"Virchows Archiv",443, 4,0,0,0,0,0,0
2003,"Gonadotropic pituitary carcinoma: HER-2/neu expression and gene amplification. Report of two cases","Roncaroli F., Fletcher J.A., Nose V., Scheithauer B.W., Kovacs K., Horvath E., Young Jr. W.F., Lloyd R.V., Bishop M.C., Hsi B.",00223085,"Journal of Neurosurgery",99, 2,7,0,2,2,3,12
2003,"Kinetics and mechanism of the interaction of nitric oxide with pentacyanoferrate(II). Formation and dissociation of [Fe(CN)5NO]3-","Roncaroli F., Olabe J.A., Van Eldik R.",00201669,"Inorganic Chemistry",42, 13,11,4,2,6,0,17
2003,"Amyloidoma of the brachial plexus","Consales A., Roncaroli F., Salvi F., Poppi M.",00903019,"Surgical Neurology",59, 5,2,3,0,3,1,6
2003,"Silent corticotroph carcinoma of the adenohypophysis: A report of five cases","Roncaroli F., Scheithauer B.W., Young W.F., Horvath E., Kovacs K., Kros J.M., Al-Sarraj S., Lloyd R.V., Faustini-Fustini M.",01475185,"American Journal of Surgical Pathology",27, 4,9,1,2,3,1,13
2003,"Ectopic TSH-secreting pituitary adenoma of the vomerosphenoidal junction","Pasquini E., Faustini-Fustini M., Sciarretta V., Saggese D., Roncaroli F., Serra D., Frank G.",08044643,"European Journal of Endocrinology",148, 2,6,2,1,3,1,10
2002,"Kinetic, mechanistic, and DFT study of the electrophilic reactions of nitrosyl complexes with hydroxide","Roncaroli F., Ruggiero M.E., Franco D.W., Estiu G.L., Olabe J.A.",00201669,"Inorganic Chemistry",41, 22,19,13,7,20,2,41
2002,"Kinetics and mechanism of the formation of nitroprusside from aquapentacyanoferrate(III) and NO: Complex formation controlled by outer-sphere electron transfer","Roncaroli F., Olabe J.A., Van Eldik R.",00201669,"Inorganic Chemistry",41, 21,11,2,1,3,0,14
2002,"Glubran 2: A new acrylic glue for neuroradiological endovascular use: Experimental study on animals","Leonardi M., Roncaroli F., Barbara C., Simonetti L., Giardino R., Nicoli Aldini N., Fini M., Martini L., Masetti L., Joechler M.",11239344,"Interventional Neuroradiology",8, 3,8,1,2,3,0,11
2002,"Crooke's hyalinization in silent corticotroph adenoma: Report of two cases","Roncaroli F., Faustini-Fustini M., Mauri F., Asioli S., Frank G.",10463976,"Endocrine Pathology",13, 3,2,1,0,1,0,3
2002,"'Spindle cell oncocytoma' of the adenohypophysis: A tumor of folliculostellate cells?","Roncaroli F., Scheithauer B.W., Cenacchi G., Horvath E., Kovacs K., Lloyd R.V., Abell-Aleff P., Santi M., Yates A.J.",01475185,"American Journal of Surgical Pathology",26, 8,10,3,6,9,8,27
2002,"Metallonitrosyl fragment as electron acceptor: Intramolecular charge transfer, long range electronic coupling, and electrophilic reactivity in the trans-[NCRu(py)4(CN)Ru(py)4NO]3+ Ion","Roncaroli F., Baraldo L.M., Slep L.D., Olabe J.A.",00201669,"Inorganic Chemistry",41, 7,10,2,1,3,2,15
