,"This is a citation overview for a set of 19 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 14 (Of the 19 documents considered for the h-Index, 14 have been cited at least 14 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1172,183,205,60,448,0,1620
2009,"Enhanced sensitivity to DSS colitis caused by a hypomorphic Mbtps1 mutation disrupting the ATF6-driven unfolded protein response","Brandl K., Rutschmann S., Li X., Du X., Xiao N., Schnabl B., Brenner D.A., Beutler B.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",106, 9,0,9,18,1,28,0,28
2008,"Inflammation and autoimmunity caused by a SHP1 mutation depend on IL-1, MyD88, and a microbial trigger (Proceedings of the National Academy of Sciences of the United States of America (2008) 105, 39, (15028-15033) DOI:10.1073/pnas.0806619105)","Croker B.A., Shultz L.D., Theofilopoulos A.N., Pettersson S., Beutler B.A., Lawson B.R., Rutschmann S., Berger M., Eidenschenk C., Blasius A.L., Moresco E.M.Y., Sovath S., Cengia L.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",105, 49,0,0,0,0,0,0,0
2008,"Dissecting innate immunity by germline mutagenesis","Rutschmann S., Hoebe K.",00192805,"Immunology",123, 4,1,0,0,0,0,0,1
2008,"Jinx, an MCMV susceptibility phenotype caused by disruption of Unc13d: A mouse model of type 3 familial hemophagocytic lymphohistiocytosis (Journal of Experimental Medicine (2007) 204, 4, (853-863))","Crozat K., Beutler B., Hoebe K., Ugolini S., Hong N.A., Janssen E., Rutschmann S., Mudd S., Sovath S., Vivier E.",00221007,"Journal of Experimental Medicine",205, 3,0,0,0,0,0,0,0
2007,"Jinx, an MCMV susceptibility phenotype caused by disruption of Unc13d: A mouse model of type 3 familial hemophagocytic lymphohistiocytosis","Crozat K., Beutler B., Hoebe K., Ugolini S., Hong N.A., Janssen E., Rutschmann S., Mudd S., Sovath S., Vivier E.",00221007,"Journal of Experimental Medicine",204, 4,29,9,15,3,27,0,56
2007,"Rab27a is a key component of the secretory machinery of azurophilic granules in granulocytes","Munafo D.B., Johnson J.L., Ellis B.A., Rutschmann S., Beutler B., Catz S.D.",02646021,"Biochemical Journal",402, 2,17,3,3,1,7,0,24
2006,"Details of Toll-like receptor:adapter interaction revealed by germ-line mutagenesis","Jiang Z., Sovath S., Wilson I.A., Olson A., Beutler B., Georgel P., Li C., Choe J., Crozat K., Rutschmann S., Du X., Bigby T., Mudd S.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",103, 29,29,9,10,7,26,0,55
2006,"PanR1, a dominant negative missense allele of the gene encoding TNF-? (Tnf), does not impair lymphoid development","Rutschmann S., Hoebe K., Zalevsky J., Du X., Mann N., Dahiyat B.I., Steed P., Beutler B.",00221767,"Journal of Immunology",176, 12,10,1,1,0,2,0,12
2006,"Efficient T Cell Activation via a Toll-Interleukin 1 Receptor-Independent Pathway","Janssen E., Hoebe K., Tabeta K., Barnes M.J., Rutschmann S., McBride S., Bahjat K.S., Schoenberger S.P., Theofilopoulos A.N., Beutler B.",10747613,"Immunity",24, 6,45,5,10,1,16,0,61
2006,"Genetic analysis of host resistance: Toll-like receptor signaling and immunity at large","Beutler B., Jiang Z., Georgel P., Crozat K., Croker B., Rutschmann S., Du X., Hoebe K.",07320582,"Annual Review of Immunology",24, ,234,56,35,20,111,0,345
2006,"Analysis of the MCMV resistome by ENU mutagenesis","Crozat K., Georgel P., Rutschmann S., Mann N., Du X., Hoebe K., Beutler B.",09388990,"Mammalian Genome",17, 5,17,2,4,1,7,0,24
2005,"Genetic analysis of innate resistance to mouse cytomegalovirus (MCMV)","Beutler B., Georgel P., Rutschmann S., Jiang Z., Croker B., Crozat K.",14739550,"Briefings in Functional Genomics and Proteomics",4, 3,6,1,2,0,3,0,9
2005,"A toll-like receptor 2-responsive lipid effector pathway protects mammals against skin infections with gram-positive bacteria","Georgel P., Jiang Z., Bigby T., Nizet V., Zouboulis C.C., Beutler B., Crozat K., Lauth X., Makrantonaki E., Seltmann H., Sovath S., Hoebe K., Du X., Rutschmann S.",00199567,"Infection and Immunity",73, 8,32,10,14,3,27,0,59
2005,"CD36 is a sensor of diacylglycerides","Hoebe K., Zahringer U., Beutler B., Georgel P., Rutschmann S., Du X., Mudd S., Crozat K., Sovath S., Shamel L., Hartung T.",00280836,"Nature",433, 7025,277,47,44,13,104,0,381
2003,"Dual Activation of the Drosophila Toll Pathway by Two Pattern Recognition Receptors","Gobert V., Gottar M., Matskevich A.A., Rutschmann S., Royet J., Belvin M., Hoffmann J.A., Ferrandon D.",00368075,"Science",302, 5653,115,7,17,5,29,0,144
2002,"Cutting edge: The toll pathway is required for resistance to Gram-positive bacterial infections in Drosophila","Rutschmann S., Kilinc A., Ferrandon D.",00221767,"Journal of Immunology",168, 4,74,6,9,0,15,0,89
2001,"Microfluorometer assay to measure the expression of ?-galactosidase and green fluorescent protein reporter genes in single Drosophila flies","Jung A.C., Criqui M.-C., Rutschmann S., Hoffmann J.A., Ferrandon D.",07366205,"BioTechniques",30, 3,12,0,2,1,3,0,15
2000,"The Rel protein DIF mediates the antifungal but not the antibacterial host defense in Drosophila","Rutschmann S., Jung A.C., Hetru C., Reichhart J.-M., Hoffmann J.A., Ferrandon D.",10747613,"Immunity",12, 5,147,10,12,0,22,0,169
2000,"Role of Drosophila IKK? in a Toll-independent antibacterial immune response","Rutschmann S., Jung A.C., Zhou R., Silverman N., Hoffmann J.A., Ferrandon D.",15292908,"Nature Immunology",1, 4,127,8,9,4,21,0,148
