,"This is a citation overview for a set of 27 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 10 (Of the 27 documents considered for the h-Index, 10 have been cited at least 10 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,78,75,113,188,83,349
2009,"Pathophysiological features of asthma develop in parallel in house dust mite-exposed neonatal mice","Saglani S., Mathie S.A., Gregory L.G., Bell M.J., Bush A., Lloyd C.M.",10441549,"American Journal of Respiratory Cell and Molecular Biology",41, 3,0,0,0,0,0,0
2009,"Asthma in preschool children: The next challenge","Saglani S., Bush A.",15284050,"Current Opinion in Allergy and Clinical Immunology",9, 2,0,0,0,0,1,1
2008,"Asthma, atopy, and airway inflammation: What does it mean in practice?","Saglani S., Bush A.",1073449X,"American Journal of Respiratory and Critical Care Medicine",178, 5,0,0,0,0,1,1
2008,"Increased airway smooth muscle mass in children with asthma, cystic fibrosis, and non-cystic fibrosis bronchiectasis","Regamey N., Jeffery P.K., Davies J.C., Ochs M., Hilliard T.N., Muhlfeld C., Cornish N., Fleming L., Saglani S., Alton E.W.F.W., Bush A.",1073449X,"American Journal of Respiratory and Critical Care Medicine",177, 8,0,0,1,1,6,7
2008,"Endobronchial biopsy in childhood [1]","Regamey N., Davies J.C., Hilliard T.N., Saglani S., Zhu J., Balfour-Lynn I.M., Rosenthal M., Jeffery P.K., Alton E.W.F.W., Bush A.",00123692,"Chest",133, 1,0,0,0,0,1,1
2007,"Early detection of airway wall remodeling and eosinophilic inflammation in preschool wheezers","Saglani S., Payne D.N., Zhu J., Wang Z., Nicholson A.G., Bush A., Jeffery P.K.",1073449X,"American Journal of Respiratory and Critical Care Medicine",176, 9,0,2,24,26,23,49
2007,"An infant with pneumonia, failure to thrive and persistent radiographical changes","Thompson N., Saglani S., Bush A.",09031936,"European Respiratory Journal",30, 1,0,0,0,0,0,0
2007,"Quality, size, and composition of pediatric endobronchial biopsies in cystic fibrosis","Regamey N., Bush A., Davies J.C., Hilliard T.N., Saglani S., Zhu J., Scallan M., Balfour-Lynn I.M., Rosenthal M., Jeffery P.K., Alton E.W.F.W.",00123692,"Chest",131, 6,0,1,7,8,1,9
2007,"Should preschool wheezers ever be treated with inhaled corticosteroids?","Saglani S., Wilson N., Bush A.",10693424,"Seminars in Respiratory and Critical Care Medicine",28, 3,0,0,2,2,4,6
2007,"The early-life origins of asthma","Saglani S., Bush A.",15284050,"Current Opinion in Allergy and Clinical Immunology",7, 1,0,1,5,6,4,10
2006,"Safety of endobronchial biopsy in children with cystic fibrosis","Molina-Teran A., Hilliard T.N., Saglani S., Haxby E., Scallan M., Bush A., Davies J.C.",87556863,"Pediatric Pulmonology",41, 11,2,6,5,11,1,14
2006,"Ultrastructure of the reticular basement membrane in asthmatic adults, children and infants","Saglani S., Payne D.N.R., Jeffery P.K., Molyneux C., Gong H., Rogers A., Malmstrom K., Pelkonen A., Makela M., Adelroth E., Bush A.",09031936,"European Respiratory Journal",28, 3,1,6,5,11,2,14
