,"This is a citation overview for a set of 116 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 39 (Of the 116 documents considered for the h-Index, 39 have been cited at least 39 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,4325,532,541,1073,281,5679
2009,"Fibroblast growth factor 2 is an intrinsic chondroprotective agent that suppresses ADAMTS-5 and delays cartilage degradation in murine osteoarthritis","Chia S.-L., Sawaji Y., Burleigh A., McLean C., Inglis J., Saklatvala J., Vincent T.",00043591,"Arthritis and Rheumatism",60, 7,0,0,0,0,1,1
2009,"The p38 MAPK pathway inhibits tristetraprolin-directed decay of interleukin-10 and pro-inflammatory mediator mRNAs in murine macrophages","Tudor C., Dean J.L.E., Marchese F.P., Hitti E., Aubareda A., Rawlinson L., Gaestel M., Blackshear P.J., Clark A.R., Saklatvala J.",00145793,"FEBS Letters",583, 12,0,0,0,0,0,0
2009,"Post-transcriptional gene regulation by MAP kinases via AU-rich elements.","Clark A., Dean J., Tudor C., Saklatvala J.",10934715,"Frontiers in bioscience : a journal and virtual library",14, ,0,0,0,0,1,1
2009,"Past, present and future insights into the understanding and treatment of osteoarthritis: Molecular and mechanical approaches","Couchman J., Vincent T., Loughlin J., Silman A., Blain E., Saklatvala J., Ngee H.L., Didangelos A., Garvican E., Nagase H., Kadler K., Kraus V., Scott J., Marson A., Huxley-Jones J., Hunziker E., Williams J., Edwards G., Wann A., Harrison R., Tuan R., Van Der Kraan P., Boyde A., Troeberg L., Curtin C., Roberts H., Flannery C., Baker N., Barr E., Lohmander S., Salter D., Poulet B., Webster R.",09599673,"International Journal of Experimental Pathology",90, 1,0,0,0,0,0,0
2008,"Fibroblast growth factor 2 inhibits induction of aggrecanase activity in human articular cartilage","Sawaji Y., Hynes J., Vincent T., Saklatvala J.",00043591,"Arthritis and Rheumatism",58, 11,0,0,0,0,3,3
2008,"Is the response of cartilage to injury relevant to osteoarthritis?","Vincent T.L., Saklatvala J.",00043591,"Arthritis and Rheumatism",58, 5,0,0,0,0,0,0
2007,"Two-dimensional electrophoresis of proteins secreted from articular cartilage.","Hermansson M., Saklatvala J., Wait R.",15431894,"Methods in molecular medicine",136, ,0,0,0,0,0,0
2007,"Mapping lymphocyte plasma membrane proteins: a proteomic approach.","Peirce M.J., Saklatvala J., Cope A.P., Wait R.",15431894,"Methods in molecular medicine",136, ,0,0,0,0,1,1
2007,"Activin a is an anticatabolic autocrine cytokine in articular cartilage whose production is controlled by fibroblast growth factor 2 and NF-?B","Alexander S., Watt F., Sawaji Y., Hermansson M., Saklatvala J.",00043591,"Arthritis and Rheumatism",56, 11,0,0,1,1,0,1
2007,"Mass spectrometric analysis of the endogenous type I interlukin-1 (IL-1) receptor signaling complex formed after IL-1 binding identifies IL-1RAcP, MyD88, and IRAK-4 as the stable components","Briskos C., Wait R., Begum S., O'Neil L.A.J., Saklatvala J.",15359476,"Molecular and Cellular Proteomics",6, 9,0,0,5,5,2,7
2007,"FGF-2 is bound to perlecan in the pericellular matrix of articular cartilage, where it acts as a chondrocyte mechanotransducer","Vincent T.L., McLean C.J., Full L.E., Peston D., Saklatvala J.",10634584,"Osteoarthritis and Cartilage",15, 7,0,1,14,15,6,21
2007,"Heat shock protein 27 functions in inflammatory gene expression and transforming growth factor-?-activated kinase-1 (TAK1)-mediated signaling","Alford K.A., Glennie S., Turrell B.R., Rawlinson L., Saklatvala J., Dean J.L.E.",00219258,"Journal of Biological Chemistry",282, 9,0,0,6,6,11,17
2007,"Inflammatory signaling in cartilage: MAPK and NF-?B pathways in chondrocytes and the use of inhibitors for research into pathogenesis and therapy of osteoarthritis","Saklatvala J.",13894501,"Current Drug Targets",8, 2,0,0,6,6,3,9
2006,"Development of a novel 2D proteomics approach for the identification of proteins secreted by primary chondrocytes after stimulation by IL-1 and oncostatin M","Catterall J.B., Rowan A.D., Sarsfield S., Saklatvala J., Wait R., Cawston T.E.",14620324,"Rheumatology",45, 9,0,5,8,13,4,17
2006,"Antiinflammatory effects of dexamethasone are partly dependent on induction of dual specificity phosphatase 1","Abraham S.M., Lawrence T., Kleiman A., Warden P., Medghalchi M., Tuckermann J., Saklatvala J., Clark A.R.",00221007,"Journal of Experimental Medicine",203, 8,2,20,25,45,12,59
2006,"Basic fibroblast growth factor: An extracellular mechanotransducer in articular cartilage?","Vincent T., Saklatvala J.",03005127,"Biochemical Society Transactions",34, 3,0,2,5,7,1,8
2006,"Posttranslational regulation of tristetraprolin subcellular localization and protein stability by p38 mitogen-activated protein kinase and extracellular signal-regulated kinase pathways","Brook M., Tchen C.R., Santalucia T., McIlrath J., Arthur J.S.C., Saklatvala J., Clark A.R.",02707306,"Molecular and Cellular Biology",26, 6,3,17,19,36,13,52
2005,"Two-stage affinity purification for inducibly phosphorylated membrane proteins","Peirce M.J., Begum S., Saklatvala J., Cope A.P., Wait R.",16159853,"Proteomics",5, 9,1,2,0,2,0,3
2005,"Erratum: The 3? untranslated region of tumor necrosis factor alpha mRNA is a target of the mRNA-stabilizing factor HuR (Molecular and Cellular Biology (2001) 21:3 (721-730))","Dean J.L.E., Wait R., Mahtani K.R., Sully G., Clark A.R., Saklatvala J.",02707306,"Molecular and Cellular Biology",25, 8,0,0,0,0,0,0
2004,"Proteomic analysis of articular cartilage shows increased type II collagen synthesis in osteoarthritis and expression of inhibin ?A (activin A), a regulatory molecule for chondrocytes","Hermansson M., Sawaji Y., Bolton M., Alexander S., Wallace A., Begum S., Wait R., Saklatvala J.",00219258,"Journal of Biological Chemistry",279, 42,12,12,22,34,8,54
2004,"Report on the Molecular Approaches to Osteoarthritis Symposium, Imperial College London, UK, 18-20 April 2004","Saklatvala J., Nagase H.",14786354,"Arthritis Research and Therapy",6, 5,0,0,0,0,0,0
2004,"The involvement of AU-rich element-binding proteins in p38 mitogen-activated protein kinase pathway-mediated mRNA stabilisation","Dean J.L.E., Sully G., Clark A.R., Saklatvala J.",08986568,"Cellular Signalling",16, 10,48,41,33,74,12,134
2004,"The p38 MAP kinase pathway as a therapeutic target in inflammatory disease","Saklatvala J.",14714892,"Current Opinion in Pharmacology",4, 4,66,37,30,67,13,146
2004,"Induction of interleukin-1 in articular cartilage by explantation and cutting","Gruber J., Vincent T.L., Hermansson M., Bolton M., Wait R., Saklatvala J.",00043591,"Arthritis and Rheumatism",50, 8,5,5,5,10,2,17
2004,"The stability of tristetraprolin mRNA is regulated by mitogen-activated protein kinase p38 and by tristetraprolin itself","Tchen C.R., Brook M., Saklatvala J., Clark A.R.",00219258,"Journal of Biological Chemistry",279, 31,19,9,8,17,6,42
