,"This is a citation overview for a set of 49 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 33 (Of the 49 documents considered for the h-Index, 33 have been cited at least 33 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,2182,385,294,105,784,0,2966
2008,"Interactions between APP secretases and inflammatory mediators","Sastre M., Walter J., Gentleman S.M.",17422094,"Journal of Neuroinflammation",5, ,4,12,11,4,27,0,31
2007,"Cystatin C inhibits amyloid-? deposition in Alzheimer's disease mouse models","Mi W., Mathews P.M., Levy E., Pawlik M., Sastre M., Jung S.S., Radvinsky D.S., Klein A.M., Sommer J., Schmidt S.D., Nixon R.A.",10614036,"Nature Genetics",39, 12,11,17,13,2,32,0,43
2007,"Development of ?-synuclein immunoreactive astrocytes in the forebrain parallels stages of intraneuronal pathology in sporadic Parkinson's disease","Braak H., Sastre M., Del Tredici K.",00016322,"Acta Neuropathologica",114, 3,13,11,9,1,21,0,34
2007,"Molecular targets of non-steroidal anti-inflammatory drugs in neurodegenerative diseases","Lleo A., Galea E., Sastre M.",1420682X,"Cellular and Molecular Life Sciences",64, 11,9,11,8,0,19,0,28
2007,"Parkinson's disease: Lesions in dorsal horn layer I, involvement of parasympathetic and sympathetic pre- and postganglionic neurons","Braak H., Sastre M., Bohl J.R.E., Vos R.A.I., Del Tredici K.",00016322,"Acta Neuropathologica",113, 4,31,12,18,7,37,0,68
2006,"GGA1 is expressed in the human brain and affects the generation of amyloid ?-peptide","Wahle T., Thal D.R., Sastre M., Rentmeister A., Bogdanovic N., Famulok M., Heneka M.T., Walter J.",02706474,"Journal of Neuroscience",26, 49,18,7,6,1,14,0,32
2006,"Inhibition of in vivo glioma growth and invasion by peroxisome proliferator-activated receptor ? agonist treatment","Grommes C., Landreth G.E., Sastre M., Beck M., Feinstein D.L., Jacobs A.H., Schlegel U., Heneka M.T.",0026895X,"Molecular Pharmacology",70, 5,27,6,7,0,13,0,40
2006,"Transcriptional and translational regulation of BACE1 expression-Implications for Alzheimer's disease","Rossner S., Sastre M., Bourne K., Lichtenthaler S.F.",03010082,"Progress in Neurobiology",79, 2,28,16,18,10,44,0,72
2006,"Contribution of inflammatory processes to Alzheimer's disease: Molecular mechanisms","Sastre M., Klockgether T., Heneka M.T.",07365748,"International Journal of Developmental Neuroscience",24, 2-3,70,14,12,5,31,0,101
2006,"Locus ceruleus degeneration promotes Alzheimer pathogenesis in amyloid precursor protein 23 transgenic mice","Heneka M.T., Hoehn M., Heiss W.-D., Klockgether T., Staufenbiel M., Ramanathan M., Jacobs A.H., Dumitrescu-Ozimek L., Bilkei-Gorzo A., Debeir T., Sastre M., Galldiks N., Zimmer A.",02706474,"Journal of Neuroscience",26, 5,33,17,16,7,40,0,73
2006,"Nonsteroidal anti-inflammatory drugs repress ?-secretase gene promoter activity by the activation of PPAR?","Sastre M., Landreth G., Walter J., Klockgether T., Van Leuven F., Heneka M.T., Dewachter I., Rossner S., Bogdanovic N., Rosen E., Borghgraef P., Evert B.O., Dumitrescu-Ozimek L., Thal D.R.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",103, 2,98,32,25,7,64,0,162
2005,"Erratum: Early age-related cognitive impairment in mice lacking cannabinoid CB1 receptors (Proceedings of the National Academy of Science of the United States of America (October 25, 2005) 102, 43 (15670-15675)) DOI: 10.1073/pnas.0504640102","Bilkei-Gorzo A., Racz I., Valverde O., Otto M., Michel K., Sastre M., Zimmer A.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",102, 51,0,0,0,0,0,0,0
2005,"Proinflammatory stimulation and pioglitazone treatment regulate peroxisome proliferator-activated receptor ? levels in peripheral blood mononuclear cells from healthy controls and multiple sclerosis patients","Klotz L., Schmidt M., Giese T., Sastre M., Knolle P., Klockgether T., Heneka M.T.",00221767,"Journal of Immunology",175, 8,37,13,4,3,20,0,57
2005,"Focal glial activation coincides with increased BACE1 activation and precedes amyloid plaque deposition in APP[V717I] transgenic mice","Heneka M.T., Sastre M., Dumitrescu-Ozimek L., Dewachter I., Walter J., Klockgether T., Van Leuven F.",17422094,"Journal of Neuroinflammation",2, ,30,14,15,2,31,0,61
2005,"Systemic inflammation induces apoptosis with variable vulnerability of different brain regions","Semmler A., Okulla T., Sastre M., Dumitrescu-Ozimek L., Heneka M.T.",08910618,"Journal of Chemical Neuroanatomy",30, 2-3,39,19,8,1,28,0,67
2005,"Acute treatment with the PPAR? agonist pioglitazone and ibuprofen reduces glial inflammation and A?1-42 levels in APPV717I transgenic mice","Heneka M.T., Landreth G.E., Sastre M., Dumitrescu-Ozimek L., Hanke A., Dewachter I., Kuiperi C., O'Banion K., Klockgether T., Van Leuven F.",00068950,"Brain",128, 6,120,45,33,11,89,0,209
2004,"Binding of cystatin C to Alzheimer's amyloid ? inhibits in vitro amyloid fibril formation","Sastre M., Levy E., Calero M., Pawlik M., Mathews P.M., Kumar A., Danilov V., Schmidt S.D., Nixon R.A., Frangione B.",01974580,"Neurobiology of Aging",25, 8,24,14,3,0,17,0,41
2004,"Anti-inflammatory and antiproliferative actions of PPAR-? agonists on T lymphocytes derived from MS patients","Schmidt S., Moric E., Schmidt M., Sastre M., Feinstein D.L., Heneka M.T.",07415400,"Journal of Leukocyte Biology",75, 3,44,6,3,1,10,0,54
2004,"Overexpression of human cystatin C in transgenic mice does not affect levels of endogenous brain amyloid ? peptide","Pawlik M., Sastre M., Calero M., Mathews P.M., Schmidt S.D., Nixon R.A., Levy E.",08958696,"Journal of Molecular Neuroscience",22, 1-2,5,2,0,0,2,0,7
2004,"Protection by pioglitazone in the MPTP model of Parkinson's disease correlates with I?B? induction and block of NF?B and iNOS activation","Dehmer T., Heneka M.T., Sastre M., Dichgans J., Schulz J.B.",00223042,"Journal of Neurochemistry",88, 2,99,24,20,6,50,0,149
2003,"Nonsteroidal Anti-Inflammatory Drugs and Peroxisome Proliferator-Activated Receptor-? Agonists Modulate Immunostimulated Processing of Amyloid Precursor Protein through Regulation of ?-Secretase","Sastre M., Dewachter I., Landreth G.E., Wilson T.M., Klockgether T., Van Leuven F., Heneka M.T.",02706474,"Journal of Neuroscience",23, 30,101,16,16,8,40,0,141
2003,"Noradrenaline induces expression of peroxisome proliferator activated receptor gamma (PPAR?) in murine primary astrocytes and neurons","Klotz L., Sastre M., Kreutz A., Gavrilyuk V., Klockgether T., Feinstein D.L., Heneka M.T.",00223042,"Journal of Neurochemistry",86, 4,24,3,2,0,5,0,29
2001,"Presenilin-dependent ?-secretase processing of ?-amyloid precursor protein at a site corresponding to the S3 cleavage of Notch","Sastre M., Steiner H., Fuchs K., Capell A., Multhaup G., Condron M.M., Teplow D.B., Haass C.",1469221X,"EMBO Reports",2, 9,247,15,14,8,37,0,284
2001,"Relationships between ?- and ?2-adrenoceptors and G coupling proteins in the human brain: Effects of age and suicide","Sastre M., Guimon J., Garcia-Sevilla J.A.",00068993,"Brain Research",898, 2,19,3,1,0,4,0,23
2001,"Codeposition of cystatin C with amyloid-? protein in the brain of alzheimer disease patients","Levy E., Sastre M., Kumar A., Gallo G., Piccardo P., Ghetti B., Tagliavini F.",00223069,"Journal of Neuropathology and Experimental Neurology",60, 1,71,10,4,1,15,0,86
1998,"X11 interaction with ?-amyloid precursor protein modulates its cellular stabilization and reduces amyloid ?-protein secretion","Sastre M., Turner R.S., Levy E.",00219258,"Journal of Biological Chemistry",273, 35,92,8,3,1,12,0,104
1998,"Metabolism of agmatine in macrophages: Modulation by lipopolysaccharide and inhibitory cytokines","Sastre M., Galea E., Feinstein D., Reis D.J., Regunathan S.",02646021,"Biochemical Journal",330, 3,33,4,2,1,7,0,40
1998,"Selective increase of ?(2A)-adrenoceptor agonist binding sites in brains of depressed suicide victims","Callado L.F., Meana J.J., Grijalba B., Pazos A., Sastre M., Garcia-Sevilla J.A.",00223042,"Journal of Neurochemistry",70, 3,69,8,6,0,14,0,83
1997,"Uptake of agmatine into rat brain synaptosomes: Possible role of cation channels","Sastre M., Regunathan S., Reis D.J.",00223042,"Journal of Neurochemistry",69, 6,42,0,0,1,1,0,43
1997,"Densities of I2-imidazoline receptors, ?2-adrenoceptors and monoamine oxidase B in brains of suicide victims","Sastre M., Garcia-Sevilla J.A.",01970186,"Neurochemistry International",30, 1,19,0,0,0,0,0,19
1996,"Decreased density of i2imidazoline receptors in the postmortem brains of heroin addicts","Sastre M., Ventayol P., Garcia-Sevilla J.A.",09594965,"NeuroReport",7, 2,27,0,1,1,2,0,29
1996,"Agmatinase activity in rat brain: A metabolic pathway for the degradation of agmatine","Sastre M., Regunathan S., Galea E., Reis D.J.",00223042,"Journal of Neurochemistry",67, 4,82,5,3,3,11,0,93
1996,"Immunodetection and quantitation of imidazoline receptor proteins in platelets of patients with major depression and in brains of suicide victims","Garcia-Sevilla J.A., Escriba P.V., Sastre M., Walzer C., Busquets X., Jaquet G., Reis D.J., Guimon J.",0003990X,"Archives of General Psychiatry",53, 9,59,4,1,6,11,0,70
1996,"Pharmacological modulation of immunoreactive imidazoline receptor proteins in rat brain: Relationship with non-adrenoceptor [3H]-idazoxan binding sites","Escriba P.V., Alemany R., Sastre M., Olmos G., Ozaita A., Garcia-Sevilla J.A.",00071188,"British Journal of Pharmacology",118, 8,34,0,0,0,0,0,34
1996,"Age-dependent increases in protein kinase C-?? immunoreactivity and activity in the human brain: Possible in vivo modulatory effects on guanine nucleotide regulatory Gi proteins","Busquets X., Ventayol P., Sastre M., Garcia-Sevilla J.A.",00068993,"Brain Research",710, 1-2,6,0,0,0,0,0,6
1995,"Decreased number and immunoreactivity of I2-imidazoline receptors in the frontal cortex of suicide victims","Sastre M., Escriba P.V., Reis D.J., Garcia-Sevilla J.A.",00778923,"Annals of the New York Academy of Sciences",763, ,14,1,0,1,2,0,16
1995,"I2-imidazoline receptors in the healthy and pathologic human brain","Garcia-Sevilla J.A., Miralles A., Sastre M., Escriba P.V., Olmos G., Meana J.J.",00778923,"Annals of the New York Academy of Sciences",763, ,9,0,0,0,0,0,9
1995,"Disruption of cellular signaling pathways by daunomycin through destabilization of nonlamellar membrane structures","Escriba P.V., Sastre M., Garcia-Sevilla J.A.",00278424,"Proceedings of the National Academy of Sciences of the United States of America",92, 16,43,3,3,0,6,0,49
1995,"Age-dependent increases of immunoreactive imidazoline receptors in the human brain: Possible association of a 29/30 kDa protein with the Imidazoline receptor identified by [3H]idazoxan","Garcia-Sevilla J.A., Sastre M., Escriba P.V.",03043940,"Neuroscience Letters",184, 2,26,0,0,0,0,0,26
1995,"Loss of protein kinase C-?? in brain of heroin addicts and morphine- dependent rats","Busquets X., Escriba P.V., Sastre M., Garcia-Sevilla J.A.",00223042,"Journal of Neurochemistry",64, 1,35,2,1,0,3,0,38
1994,"Immunodetection of putative imidazoline receptor proteins in the human and rat brain and other tissues","Escriba P.V., Sastre M., Wang H., Regunathan S., Reis D.J., Garcia-Sevilla J.A.",03043940,"Neuroscience Letters",178, 1,44,0,0,0,0,0,44
1994,"?-Opioid receptor and ?2-adrenoceptor agonist binding sites in the postmortem brain of heroin addicts","Gabilondo A.M., Meana J.J., Barturen F., Sastre M., Garcia-Sevilla J.A.",00333158,"Psychopharmacology",115, 1-2,38,1,2,1,4,0,42
1994,"Increased density of guanine nucleotide-binding proteins in the postmortem brains of heroin addicts","Escriba P.V., Sastre M., Garcia-Sevilla J.A.",0003990X,"Archives of General Psychiatry",51, 6,65,0,2,1,3,0,68
1994,"Density of alpha-2A adrenoceptors and G(i) proteins in the human brain: Ratio of high-affinity agonist sites to antagonist sites and effect of age","Sastre M., Garcia-Sevilla J.A.",00223565,"Journal of Pharmacology and Experimental Therapeutics",269, 3,31,2,0,0,2,0,33
1994,"?2-Adrenoceptor subtypes identified by [3H]RX821002 binding in the human brain: The agonist guanoxabenz does not discriminate different forms of the predominant ?(2A) subtype","Sastre M., Garcia-Sevilla J.A.",00223042,"Journal of Neurochemistry",63, 3,39,2,1,1,4,0,43
1993,"Opposite age-dependent changes of ?(2A)-adrenoceptors and nonadrenoceptor [3H]idazoxan binding sites (I2-imidazoline sites) in the human brain: Strong correlation of I2 with monoamine oxidase-B sites","Sastre M., Garcia-Sevilla J.A.",00223042,"Journal of Neurochemistry",61, 3,68,2,0,0,2,0,70
1993,"Discrimination and pharmacological characterization of I2-imidazoline sites with [3H]idazoxan and alpha-2 adrenoceptors with [3H]RX821002 (2- methoxy idazoxan) in the human and rat brains","Miralles A., Olmos G., Sastre M., Barturen F., Martin I., Garcia-Sevilla J.A.",00223565,"Journal of Pharmacology and Experimental Therapeutics",264, 3,89,2,1,1,4,0,93
1992,"?-2-Adrenoceptor and ?-opioid receptor densities in the postmortem brain of heroin addicts","Garcia-Sevilla J.A., Gabilondo A.M., Sastre M., Meana J.J., Barturen F.",0924977X,"European Neuropsychopharmacology",2, 3,0,0,0,0,0,0,0
1991,"A role played by the vitelline diverticulum in the yolk sac resorption in young post-hatched chickens","Esteban S., Rayo J.M., Moreno M., Sastre M., Rial R.V., Tur J.A.",01741578,"Journal of Comparative Physiology - B Biochemical, Systemic, and Environmental Physiology",160, 6,16,2,2,2,6,0,22
