,"This is a citation overview for a set of 52 documents.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 16 (Of the 52 documents considered for the h-Index, 16 have been cited at least 16 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,592,221,285,506,197,1295
2009,"Cyclooxygenase-2 in mucosal DC mediates induction of regulatory T cells in the intestine through suppression of IL-4","Broere F., Samsom J.N., du Pre M.F., van Berkel L.A., Garssen J., Schmidt-Weber C.B., Lambrecht B.N., Hendriks R.W., Nieuwenhuis E.E.S., Kraal G.",19330219,"Mucosal Immunology",2, 3,0,0,0,0,0,0
2009,"Differentiation and functional analysis of human TH17 cells","Burgler S., Ouaked N., Bassin C., Basinski T.M., Mantel P.-Y., Siegmund K., Meyer N., Akdis C.A., Schmidt-Weber C.B.",00916749,"Journal of Allergy and Clinical Immunology",123, 3,0,0,0,0,4,4
2009,"Unique phenotype of human tonsillar and in vitro-induced FOXP3+CD8+ T cells.","Siegmund K., Ruckert B., Ouaked N., Burgler S., Speiser A., Akdis C.A., Schmidt-Weber C.B.",15506606,"Journal of immunology (Baltimore, Md. : 1950)",182, 4,0,0,0,0,3,3
2009,"Regulation of the foxp3 gene by the Th1 cytokines: the role of IL-27-induced STAT1.","Ouaked N., Mantel P.Y., Bassin C., Burgler S., Siegmund K., Akdis C.A., Schmidt-Weber C.B.",15506606,"Journal of immunology (Baltimore, Md. : 1950)",182, 2,0,0,0,0,1,1
2008,"Th17 and Treg cells innovate the Th1/Th2 concept and allergy research","Schmidt-Weber C.",16602242,"Chemical Immunology and Allergy",94, ,0,0,0,0,1,1
2008,"T-cell regulation in chronic paranasal sinus disease","Van Bruaene N., Bachert C., Gevaert P., Perez-Novo C.A., Basinski T.M., Van Zele T., Holtappels G., De Ruyck N., Schmidt-Weber C., Akdis C., Van Cauwenberge P.",00916749,"Journal of Allergy and Clinical Immunology",121, 6,0,0,2,2,9,11
2007,"GATA3-driven Th2 responses inhibit TGF-beta1-induced FOXP3 expression and the formation of regulatory T cells.","Mantel P.Y., Crameri R., Akdis C.A., Blaser K., Schmidt-Weber C.B., Kuipers H., Boyman O., Rhyner C., Ouaked N., Ruckert B., Karagiannidis C., Lambrecht B.N., Hendriks R.W.",15457885,"PLoS biology",5, 12,0,0,3,3,3,6
2007,"GATA3-driven Th2 responses inhibit TGF-?1-induced FOXP3 expression and the formation of regulatory T cells","Mantel P.-Y., Crameri R., Akdis C.A., Blaser K., Schmidt-Weber C.B., Kuipers H., Boyman O., Rhyner C., Ouaked N., Ruckert B., Karagiannidis C., Lambrecht B.N., Hendriks R.W.",15449173,"PLoS Biology",5, 12,0,0,11,11,14,25
2007,"Characterization of FOXP3+CD4+ regulatory T cells in Crohn's disease","Saruta M., Yu Q.T., Fleshner P.R., Mantel P.-Y., Schmidt-Weber C.B., Banham A.H., Papadakis K.A.",15216616,"Clinical Immunology",125, 3,0,0,2,2,5,7
2007,"TH17 cells in the big picture of immunology","Schmidt-Weber C.B., Akdis M., Akdis C.A.",00916749,"Journal of Allergy and Clinical Immunology",120, 2,0,0,30,30,24,54
2007,"Connective tissue growth factor expression is regulated by histamine in lung fibroblasts: Potential role of histamine in airway remodeling","Kunzmann S., Schmidt-Weber C., Zingg J.-M., Azzi A., Kramer B.W., Blaser K., Akdis C.A., Speer C.P.",00916749,"Journal of Allergy and Clinical Immunology",119, 6,0,2,5,7,2,9
2006,"TGF-?1 in SP-A preparations influence immune suppressive properties of SP-A on human CD4+ T lymphocytes","Kunzmann S., Wright J.R., Steinhilber W., Kramer B.W., Blaser K., Speer C.P., Schmidt-Weber C.",10400605,"American Journal of Physiology - Lung Cellular and Molecular Physiology",291, 4,1,3,3,6,1,8
2006,"Potential of regulatory T cells for disease and treatment | Die bedeutung von regulatorischen T-zellen für erkrankungen und therapie","Schmidt-Weber C.B., Blaser K.",09418849,"Allergo Journal",15, 6,0,0,0,0,0,0
2006,"-Omics for prevention: gene, protein and metabolite profiling to better understand individual disposition to disease.","Affolter M., Mercenier A., Mutch D.M., Panchaud A., Raymond F., Schmidt-Weber C., Schumann A., Spertini F., Williamson G., Kussmann M., Bergonzelli G.E., Blaser K., Blum-Sperisen S., Corthesy B., Fay L.B., Garcia-Rodenas C., Lopes L.V., Marvin-Guy L.",16616677,"Nestlé Nutrition workshop series. Paediatric programme.",, 57,0,0,1,1,0,1
2006,"The Role of TGF-? in Allergic Inflammation","Schmidt-Weber C.B., Blaser K.",08898561,"Immunology and Allergy Clinics of North America",26, 2,0,5,3,8,2,10
2006,"High-altitude climate therapy reduces local airway inflammation and modulates lymphocyte activation","Karagiannidis C., Hense G., Rueckert B., Mantel P.Y., Ichters B., Blaser K., Menz G., Schmidt-Weber C.B.",03009475,"Scandinavian Journal of Immunology",63, 4,0,5,1,6,3,9
2006,"Molecular mechanisms underlying FOXP3 induction in human T cells","Mantel P.-Y., Ouaked N., Ruckert B., Karagiannidis C., Welz R., Blaser K., Schmidt-Weber C.B.",00221767,"Journal of Immunology",176, 6,11,31,36,67,30,108
2006,"Gene expression profiling in allergy and asthma","Schmidt-Weber C.B.",16602242,"Chemical Immunology and Allergy",91, ,0,1,1,2,0,2
