,"This is a citation overview for a set of 177 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 50 (Of the 177 documents considered for the h-Index, 50 have been cited at least 50 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,6847,541,533,189,1263,0,8110
2009,"Heritability and genetic correlations of insulin resistance and component phenotypes in Asian Indian families using a multivariate analysis","Zabaneh D., Chambers J.C., Elliott P., Scott J., Balding D.J., Kooner J.S.",0012186X,"Diabetologia",52, 12,0,1,3,1,5,0,5
2009,"Genome-wide association study identifies variants in TMPRSS6 associated with hemoglobin levels","Chambers J.C., Zhang W., Li Y., Sehmi J., Wass M.N., Zabaneh D., Hoggart C., Bayele H., McCarthy M.I., Peltonen L., Freimer N.B., Srai S.K., Maxwell P.H., Sternberg M.J.E., Ruokonen A., Abecasis G., Jarvelin M.-R., Scott J., Elliott P., Kooner J.S.",10614036,"Nature Genetics",41, 11,1,15,18,8,41,0,42
2009,"Common genetic variation near melatonin receptor MTNR1B contributes to raised plasma glucose and increased risk of type 2 diabetes among Indian Asians and European Caucasians","Chambers J.C., Jarvelin M.-R., Scott J., Elliott P., Kooner J.S., Weihua Z., Zabaneh D., Sehmi J., Jain P., McCarthy M.I., Froguel P., Ruokonen A., Balding D.",00121797,"Diabetes",58, 11,0,7,9,6,22,0,22
2009,"Genetic loci associated with C-reactive protein levels and risk of coronary heart disease","Elliott P., Bennett D., Coin L., Ashby D., Tzoulaki I., Brown I.J., Mt-Isa S., McCarthy M.I., Peltonen L., Freimer N.B., Farrall M., Chambers J.C., Ruokonen A., Hamsten A., Lim N., Froguel P., Waterworth D.M., Vollenweider P., Waeber G., Jarvelin M.-R., Mooser V., Scott J., Zhang W., Hall A.S., Schunkert H., Anand S.S., Collins R., Samani N.J., Watkins H., Kooner J.S., Clarke R., Hopewell J.C., Peden J.F., Erdmann J., Braund P., Engert J.C.",00987484,"JAMA - Journal of the American Medical Association",302, 1,14,62,57,19,138,0,152
