,"This is a citation overview for a set of 23 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 13 (Of the 23 documents considered for the h-Index, 13 have been cited at least 13 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,486,240,185,77,502,0,988
2009,"Reply","Sen-Chowdhry S., Syrris P., Prasad S.K., Hughes S.E., Merrifield R., Ward D., Pennell D.J., McKenna W.J.",07351097,"Journal of the American College of Cardiology",53, 17,0,1,0,0,1,0,1
2008,"Left-Dominant Arrhythmogenic Cardiomyopathy. An Under-Recognized Clinical Entity","Sen-Chowdhry S., Syrris P., Prasad S.K., Hughes S.E., Merrifield R., Ward D., Pennell D.J., McKenna W.J.",07351097,"Journal of the American College of Cardiology",52, 25,14,22,24,12,58,0,72
2008,"From teare to the present day: A fifty year odyssey in hypertrophic cardiomyopathy, a paradigm for the logic of the discovery process | De Teare a nuestros días: Una odisea de cincuenta años en la miocardiopatía hipertrófica, un paradigma en la lógica del proceso de descubrimiento","McKenna W.J., Sen-Chowdhry S.",03008932,"Revista Espanola de Cardiologia",61, 12,1,0,0,0,0,0,1
2008,"Syncope in an adolescent: A case of conflicting tests and dual pathology","Sen-Chowdhry S., Sevdalis E., Wage R., Mist B., Kilner P.J., McKenna W.J.",13685031,"International Journal of Clinical Practice",62, 11,0,0,0,0,0,0,0
2008,"Non-invasive risk stratification in hypertrophic cardiomyopathy: Don't throw out the baby with the bathwater","Sen-Chowdhry S., McKenna W.J.",0195668X,"European Heart Journal",29, 13,5,1,0,1,2,0,7
2008,"Left ventricular noncompaction and cardiomyopathy: Cause, contributor, or epiphenomenon?","Sen-Chowdhry S., McKenna W.J.",02684705,"Current Opinion in Cardiology",23, 3,8,11,9,1,21,0,29
2008,"The utility of magnetic resonance imaging in the evaluation of arrhythmogenic right ventricular cardiomyopathy","Sen-Chowdhry S., McKenna W.J.",02684705,"Current Opinion in Cardiology",23, 1,2,4,3,0,7,0,9
2008,"Is there a role for the 12-lead ECG in pre-participation screening of athletes? Authors' response to 'sudden cardiac death in the young: Calling for new tools' [2]","Sen-Chowdhry S., McKenna W.J.",00086312,"Cardiology",109, 2,0,0,0,0,0,0,0
2007,"Role of Genetic Analysis in the Management of Patients With Arrhythmogenic Right Ventricular Dysplasia/Cardiomyopathy","Sen-Chowdhry S., Syrris P., McKenna W.J.",07351097,"Journal of the American College of Cardiology",50, 19,29,38,18,8,64,0,93
2007,"Clinical and genetic characterization of families with arrhythmogenic right ventricular dysplasia/cardiomyopathy provides novel insights into patterns of disease expression","Sen-Chowdhry S., Syrris P., Ward D., Asimaki A., Sevdalis E., McKenna W.J.",00097322,"Circulation",115, 13,59,27,27,15,69,0,128
2007,"Desmoglein-2 mutations in arrhythmogenic right ventricular cardiomyopathy: A genotype-phenotype characterization of familial disease","Syrris P., Ward D., Asimaki A., Evans A., Sen-Chowdhry S., Hughes S.E., McKenna W.J.",0195668X,"European Heart Journal",28, 5,27,15,7,4,26,0,53
2006,"Cardiovascular Magnetic Resonance in Arrhythmogenic Right Ventricular Cardiomyopathy Revisited. Comparison With Task Force Criteria and Genotype","Sen-Chowdhry S., McKenna W.J., Prasad S.K., Syrris P., Wage R., Ward D., Merrifield R., Smith G.C., Firmin D.N., Pennell D.J.",07351097,"Journal of the American College of Cardiology",48, 10,35,26,13,6,45,0,80
2006,"Arrhythmogenic right ventricular dysplasia/cardiomyopathy associated with mutations in the desmosomal gene desmocollin-2","Syrris P., Ward D., Evans A., Asimaki A., Gandjbakhch E., Sen-Chowdhry S., McKenna W.J.",00029297,"American Journal of Human Genetics",79, 5,50,28,24,7,59,0,109
2006,"Sudden cardiac death in the young: A strategy for prevention by targeted evaluation","Sen-Chowdhry S., McKenna W.J.",00086312,"Cardiology",105, 4,30,7,6,2,15,0,45
2006,"Response","Sen-Chowdhry S., Syrris P., McKenna W.J., Norman M., Mogensen J., Shaw A., Rowland E., Simpson M., Crosby A., Hughes S.",00097322,"Circulation",113, 5,0,0,0,0,0,0,0
2006,"Clinical expression of plakophilin-2 mutations in familial arrhythmogenic right ventricular cardiomyopathy","Syrris P., Ward D., Asimaki A., Sen-Chowdhry S., Ebrahim H.Y., Evans A., Hitomi N., Norman M., Pantazis A., Shaw A.L., Elliott P.M., McKenna W.J.",00097322,"Circulation",113, 3,61,17,15,5,37,0,98
