,"This is a citation overview for a set of 316 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 37 (Of the 316 documents considered for the h-Index, 37 have been cited at least 37 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,8392,989,882,245,2116,0,10508
2009,"Gene-centric Association Signals for Lipids and Apolipoproteins Identified via the HumanCVD BeadChip","Talmud P.J., Li K., Casas J.P., Sofat R., Kumari M., Rodriguez S., Johnson T., Newhouse S.J., Dominiczak A., Samani N.J., Caulfield M., Drenos F., Sever P., Stanton A., Shields D.C., Padmanabhan S., Melander O., Hastie C., Delles C., Ebrahim S., Marmot M.G., Smith G.D., Shah S., Lawlor D.A., Munroe P.B., Day I.N., Kivimaki M., Whittaker J., Humphries S.E., Hingorani A.D., Shah T., Palmen J., Verzilli C., Gaunt T.R., Pallas J., Lovering R.",00029297,"American Journal of Human Genetics",85, 5,0,12,26,5,43,0,43
2009,"Atorvastatin treatment is associated with less augmentation of the carotid pressure waveform in hypertension: A substudy of the anglo-scandinavian cardiac outcome trial (ASCOT)","Manisty C., Mayet J., Tapp R.J., Sever P.S., Poulter N., McG. Thom S.A., Hughes A.D.",0194911X,"Hypertension",54, 5,2,5,3,1,9,0,11
2009,"Baseline Heart Rate, Antihypertensive Treatment, and Prevention of Cardiovascular Outcomes in ASCOT (Anglo-Scandinavian Cardiac Outcomes Trial)","Poulter N.R., Dobson J.E., Sever P.S., Dahlof B., Wedel H., Campbell N.R.C.",07351097,"Journal of the American College of Cardiology",54, 13,1,11,8,3,22,0,23
2009,"Is systolic blood pressure all that matters? Yes.","Sever P.",14685833,"BMJ (Clinical research ed.)",339, ,0,2,0,0,2,0,2
2009,"Differential effects of antihypertensive treatment on the retinal microcirculation: An anglo-scandinavian cardiac outcomes trial substudy","Thom S., Stettler C., Stanton A., Witt N., Tapp R., Chaturvedi N., Allemann S., Mayet J., Sever P., Poulter N., O'Brien E., Hughes A.",0194911X,"Hypertension",54, 2,1,2,2,2,6,0,7
2009,"Managing cardiovascular and renal risk: The potential of direct renin inhibition","Sever P.S., Gradman A.H., Azizi M.",14703203,"JRAAS - Journal of the Renin-Angiotensin-Aldosterone System",10, 2,5,19,12,1,32,0,37
2009,"Is systolic blood pressure all that matters? Yes","Sever P.",17561833,"BMJ (Online)",339, 7713,0,0,1,0,1,0,1
2009,"Coronary heart disease benefits from blood pressure and lipid-lowering","Sever P.S., Poulter N.R., Mastorantonakis S., Chang C.L., Dahlof B., Wedel H.",01675273,"International Journal of Cardiology",135, 2,0,1,0,0,1,0,1
2009,"Antihypertensive therapy and the benefits of atorvastatin in the Anglo-Scandinavian Cardiac Outcomes Trial: Lipid-lowering arm extension","Sever P.S., Poulter N.R., Dahlof B., Wedel H.",02636352,"Journal of Hypertension",27, 5,2,8,3,1,12,0,14
2009,"The lifetime cost effectiveness of amlodipine-based therapy plus atorvastatin compared with atenolol plus atorvastatin, amlodipine-based therapy alone and atenolol-based therapy alone: Results from ASCOT","Lindgren P., Buxton M., Kahan T., Poulter N.R., Dahlof B., Sever P.S., Wedel H., Jonsson B.",11707690,"PharmacoEconomics",27, 3,0,4,1,0,5,0,5
2009,"Effect of Beta Blockers (Metoprolol or Propranolol) on Effect of Simvastatin in Lowering C-Reactive Protein in Acute Myocardial Infarction","Quinaglia e Silva J.C., Munhoz D.B., Morato T.N., Gurgel A., Macedo A.C.T., Sever P., Sposito A.C.",00029149,"American Journal of Cardiology",103, 4,1,0,0,1,1,0,2
2008,"10 steps before you refer for hypertension","Sever P.",09696113,"British Journal of Cardiology",15, 6,0,0,0,0,0,0,0
