,"Author: Shaheen, Seif O.",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 15 (Of the 33 documents considered for the h-Index, 15 have been cited at least 15 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1416,175,218,393,128,1937
2009,"Copy-number variation genotyping of GSTT1 and GSTM1 gene deletions by real-time PCR","Rose-Zerilli M.J., Barton S.J., Henderson A.J., Shaheen S.O., Holloway J.W.",00099147,"Clinical Chemistry",55, 9,0,0,0,0,0,0
2009,"Dietary patterns in pregnancy and respiratory and atopic outcomes in childhood","Shaheen S.O., Northstone K., Newson R.B., Emmett P.M., Sherriff A., Henderson A.J.",00406376,"Thorax",64, 5,0,0,0,0,1,1
2008,"A case-control study of the relation between plasma selenium and asthma in European populations: A GA2LEN project (Allergy: European Journal of Allergy and Clinical Immunology (2008) 63, (865-874))","Burney P., Van Zele T., Verbruggen K., Van Durme Y., Derudder I., Wohrl S., Godnic-Cvar J., Salameh B., Skadhauge L., Thomsen G., Zuberbier T., Potts J., Bergmann K.C., Heinzerling L., Renz H., Al-Fakhri N., Kosche B., Hildenberg A., Papadopoulos N.G., Xepapadaki P., Zannikos K., Gjomarkaj M., Makowska J., Bruno A., Pace E., Bresciani M., Gramiccioni C., Fokkens W., Weersink E.J.M., Carlsen K.-H., Bakkeheim E., Loureiro C., Kowalski M., Villanueva C.M., Sanjuas C., Zock J.-P., Lundback B., Janson C., Phillips J., Gnatiuc L., Shaheen S., Joos G., Van Cauwenberge P.",01054538,"Allergy: European Journal of Allergy and Clinical Immunology",63, 12,0,0,0,0,0,0
2008,"Associations of wheezing phenotypes in the first 6 years of life with atopy, lung function and airway responsiveness in mid-childhood","Henderson J., Granell R., Heron J., Sheriff A., Simpson A., Woodcock A., Strachan D.P., Shaheen S.O., Sterne J.A.C.",00406376,"Thorax",63, 11,0,0,2,2,8,10
2008,"The relation between paracetamol use and asthma: A GA2LEN European case-control study","Shaheen S., Wohrl S., Godnic-Cvar J., Skadhauge L., Thomsen G., Zuberbier T., Bergmann K.C., Heinzerling L., Gjomarkaj M., Bruno A., Pace E., Potts J., Bonini S., Fokkens W., Weersink E.J.M., Loureiro C., Todo-Bom A., Villanueva C.M., Sanjuas C., Zock J.-P., Janson C., Burney P., Gnatiuc L., Makowska J., Kowalski M.L., Joos G., Van Zele T., Van Durme Y., De Rudder I.",09031936,"European Respiratory Journal",32, 5,0,0,0,0,5,5
2008,"Peanuts in pregnancy : What is a mother to do?","Shaheen S.O., Cullinan P.",1073449X,"American Journal of Respiratory and Critical Care Medicine",178, 2,0,0,0,0,0,0
2008,"A case-control study of the relation between plasma selenium and asthma in European populations: A GA2LEN project","Burney P., Van Zele T., Verbruggen K., Van Durme Y., Derudder I., Wohrl S., Godnic-Cvar J., Salameh B., Skadhauge L., Thomsen G., Zuberbier T., Potts J., Bergmann K.C., Heinzerling L., Renz H., Al-Fakhri N., Kosche B., Hildenberg A., Papadopoulos N.G., Xepapadaki P., Zannikos K., Gjomarkaj M., Makowska J., Bruno A., Pace E., Bresciani M., Gramiccioni C., Fokkens W., Weersink E.J.M., Carlsen K.-H., Bakkeheim E., Loureiro C., Kowalski M., Villanueva C.M., Sanjuas C., Zock J.-P., Lundback B., Janson C., Phillips J., Gnatiuc L., Shaheen S., Joos G., Van Cauwenberge P.",01054538,"Allergy: European Journal of Allergy and Clinical Immunology",63, 7,0,0,2,2,3,5
2008,"Prenatal nutrition and asthma: Hope or hype?","Shaheen S.O.",00406376,"Thorax",63, 6,0,0,0,0,2,2
2008,"Vitamin D deficiency and the asthma epidemic","Shaheen S.O.",00406376,"Thorax",63, 3,0,0,0,0,0,0
2007,"Randomised, double blind, placebo-controlled trial of selenium supplementation in adult asthma","Shaheen S.O., Burney P.G.J., Newson R.B., Rayman M.P., Wong A.P.-L., Tumilty M.K., Phillips J.M., Potts J.F., Kelly F.J., White P.T.",00406376,"Thorax",62, 6,0,2,7,9,2,11
2007,"Childhood asthma and fruit consumption","Okoko B.J., Burney P.G., Newson R.B., Potts J.F., Shaheen S.O.",09031936,"European Respiratory Journal",29, 6,0,0,3,3,1,4
2007,"Maternal testosterone in pregnancy and atopic outcomes in childhood","Shaheen S.O., Hines M., Newson R.B., Wheeler M., Herrick D.R.M., Strachan D.P., Jones R.W., Burney P.G.J., Henderson A.J.",01054538,"Allergy: European Journal of Allergy and Clinical Immunology",62, 1,0,0,2,2,2,4
2006,"Nutrition and allergic disease","Tricon S., Shaheen S., Warner J.O., Calder P.C., Willers S., Smit H.A., Burney P.G., Devereux G., Frew A.J., Halken S., Host A., Nelson M.",14729725,"Clinical and Experimental Allergy Reviews",6, 5,2,4,9,13,4,19
2005,"Dietary intake of flavonoids and asthma in adults","Garcia V., Arts I.C.W., Sterne J.A.C., Thompson R.L., Shaheen S.O.",09031936,"European Respiratory Journal",26, 3,0,4,3,7,2,9
2005,"Prenatal paracetamol exposure and risk of asthma and elevated immunoglobulin E in childhood","Shaheen S.O., Newson R.B., Henderson A.J., Headley J.E., Stratton F.D., Jones R.W., Strachan D.P.",09547894,"Clinical and Experimental Allergy",35, 1,10,10,14,24,9,43
2004,"Umbilical cord and maternal blood red cell fatty acids and early childhood wheezing and eczema","Newson R.B., Shaheen S.O., Henderson A.J., Emmett P.M., Sherriff A., Calder P.C.",00916749,"Journal of Allergy and Clinical Immunology",114, 3,12,4,11,15,4,31
2004,"Umbilical cord trace elements and minerals and risk of early childhood wheezing and eczema","Shaheen S.O., Newson R.B., Henderson A.J., Emmett P.M., Sherriff A., Cooke M.",09031936,"European Respiratory Journal",24, 2,8,7,10,17,1,26
2002,"Paracetamol use in pregnancy and wheezing in early childhood","Shaheen S.O., Newson R.B., Sherriff A., Henderson A.J., Heron J.E., Burney P.G.J., Golding J.",00406376,"Thorax",57, 11,28,8,13,21,7,56
2002,"2002 Year in Review: Introduction","Mitchell D.M., Shaheen S.O., Woodcock A.A.",00406376,"Thorax",57, 2,0,0,0,0,0,0
2001,"Dietary antioxidants and asthma in adults: Population-based case-control study","Shaheen S.O., Sterne J.A.C., Thompson R.L., Songhurst C.E., Margetts B.M., Burney P.G.J.",1073449X,"American Journal of Respiratory and Critical Care Medicine",164, 10 I,61,22,15,37,11,109
2001,"Thorax: Introduction","Mitchell D.M., Shaheen S.O., Woodcock A.A.",00406376,"Thorax",56, 2,0,0,0,0,0,0
2000,"Paracetamol sales and atopic disease in children adults: An ecological analysis","Newson R.B., Shaheen S.O., Chinn S., Burney P.G.J.",09031936,"European Respiratory Journal",16, 5,30,9,11,20,5,55
2000,"Early BCG vaccination and reduction in atopy in Guinea-Bissau","Aaby P., Shaheen S.O., Heyes C.B., Goudiaby A., Hall A.J., Shiell A.W., Jensen H., Marchant A.",09547894,"Clinical and Experimental Allergy",30, 5,119,13,13,26,5,150
2000,"Shots in the desert and Gulf war syndrome","Shaheen S.",09598146,"British Medical Journal",320, 7246,5,1,1,2,0,7
2000,"Frequent paracetamol use and asthma in adults","Shaheen S.O., Sterne J.A.C., Songhurst C.E., Burney P.G.J.",00406376,"Thorax",55, 4,56,12,14,26,4,86
2000,"Paracetamol and asthma [1] (multiple letters)","Wong I.C.K., Archer G.J., Mudge D., Shaheen S., Burney P., Sterne J., Furness J., Macdonald F., Gee Yen Shin, Dargan P., Jones A.L., Balzer B., Varner A., Raghuram A.",00406376,"Thorax",55, 10,4,1,0,1,2,7
1999,"Birth weight, body mass index and asthma in young adults","Shaheen S.O., Sterne J.A.C., Montgomery S.M., Azima H.",00406376,"Thorax",54, 5,157,17,17,34,10,201
1998,"Birth weight, childhood lower respiratory tract infection, and adult lung function","Shaheen S.O., Sterne J.A.C., Tucker J.S., Du V Florey C.",00406376,"Thorax",53, 7,38,5,8,13,4,55
1997,"Pneumonia before two years of age and adult lung function","Shaheen S.O., Sterne J.A.C., Tucker J.S., Florey Cdu.V.",00406376,"Thorax",52, 6,0,0,0,0,0,0
1997,"Relation of fetal growth to adult lung function in South India","Stein C.E., Kumaran K., Fall C.H.D., Shaheen S.O., Osmond C., Barker D.J.P.",00406376,"Thorax",52, 10,64,6,6,12,5,81
1997,"The beginnings of chronic airflow obstruction","Shaheen S.",00071420,"British Medical Bulletin",53, 1,14,2,4,6,0,20
1996,"Cell mediated immunity after measles in Guinea-Bissau: Historical cohort study","Shaheen S.O., Aaby P., Hall A.J., Barker D.J.P., Heyes C.B., Shiell A.W., Goudiaby A.",09598146,"British Medical Journal",313, 7063,38,2,4,6,0,44
