,"This is a citation overview for a set of 52 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"h index = 19 (Of the 52 documents considered for the h-Index, 19 have been cited at least 19 times.)",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,1503,203,174,75,452,0,1955
2012,"The utility of collaborative biobanks for cardiovascular research","Shalhoub J., Davies K.J., Hasan N., Thapar A., Sharma P., Davies A.H.",00033197,"Angiology",63, 5,0,0,0,0,0,0,0
2012,"Genome-wide association study identifies a variant in HDAC9 associated with large vessel ischemic stroke","Bellenguez C., Bevan S., Gschwendtner A., Spencer C.C.A., Burgess A.I., Pirinen M., Jackson C.A., Traylor M., Strange A., Su Z., Band G., Syme P.D., Malik R., Pera J., Bo N., Lemmens R., Freeman C., Schanz R., James T., Poole D., Murphy L., Segal H., Cortellini L., Cheng Y.-C., Woo D., Nalls M.A., Muller-Myhsok B., Meisinger C., Seedorf U., Ross-Adams H., Boonen S., Wloch-Kopec D., Valant V., Slark J., Furie K., Delavaran H., Langford C., Deloukas P., Edkins S., Hunt S., Gray E., Dronov S., Peltonen L., Gretarsdottir S., Thorleifsson G., Thorsteinsdottir U., Stefansson K., Boncoraglio G.B., Parati E.A., Attia J., Holliday E., Levi C., Franzosi M.-G., Goel A., Helgadottir A., Blackwell J.M., Bramon E., Brown M.A., Casas J.P., Corvin A., Duncanson A., Jankowski J., Mathew C.G., Palmer C.N.A., Plomin R., Rautanen A., Sawcer S.J., Trembath R.C., Viswanathan A.C., Wood N.W., Worrall B.B., Kittner S.J., Mitchell B.D., Kissela B., Meschia J.F., Thijs V., Lindgren A., MacLeod M.J., Slowik A., Walters M., Rosand J., Sharma P., Farrall M., Sudlow C.L.M., Rothwell P.M., Dichgans M., Donnelly P., Markus H.S.",10614036,"Nature Genetics",44, 3,0,0,0,0,0,0,0
2012,"JRSM cardiovascular disease: A new journal for cardiac and cerebrovascular disease","Sharma P., Abbasi K.",01410768,"Journal of the Royal Society of Medicine",105, 1,0,0,0,0,0,0,0
2011,"Does higher quality primary health care reduce stroke admissions? A national cross-sectional study","Soljak M., Calderon-Larranaga A., Sharma P., Cecil E., Bell D., Abi-Aad G., Majeed A.",09601643,"British Journal of General Practice",61, 593,0,0,0,0,0,0,0
